q46_9,q34_3,q37_1,q25_9,q49_2,q28,q46_2,q49a_5,q25_11,q46_12,q49a_refused
2.0,,,2,0,1.0,2.0,0,2,2.0,0
,,,2,0,1.0,,0,2,,0
1.0,,,2,0,,1.0,0,2,2.0,0
,,,2,0,1.0,,0,2,,0
2.0,,,2,1,1.0,2.0,0,1,1.0,0
,,,2,0,1.0,,0,2,,0
,,,2,0,,,0,2,,0
,,,2,1,,,0,2,,0
2.0,2.0,1.0,2,0,2.0,1.0,0,2,2.0,0
,,,2,0,,,0,2,,0
,,,2,1,1.0,,0,2,,0
2.0,2.0,1.0,2,0,2.0,1.0,1,2,2.0,0
,,,2,0,,,0,2,,0
2.0,2.0,1.0,2,1,2.0,1.0,0,2,2.0,0
2.0,2.0,1.0,2,0,2.0,1.0,0,2,2.0,0
2.0,,,2,0,,1.0,0,2,2.0,0
1.0,1.0,1.0,2,0,2.0,1.0,1,2,1.0,0
,2.0,2.0,2,0,2.0,,0,2,,0
2.0,2.0,1.0,2,0,2.0,1.0,0,2,2.0,0
2.0,,,2,0,1.0,1.0,0,2,2.0,0
2.0,2.0,1.0,2,0,2.0,2.0,0,2,2.0,0
1.0,,,2,0,,1.0,0,2,2.0,0
1.0,,,2,0,,1.0,0,2,2.0,0
2.0,1.0,1.0,2,0,2.0,1.0,1,2,2.0,0
2.0,,,2,0,1.0,2.0,0,2,2.0,0
2.0,,,2,0,1.0,1.0,0,2,2.0,0
2.0,,,2,0,1.0,2.0,0,2,2.0,0
1.0,,,2,0,,1.0,0,2,-1.0,0
,,,2,1,1.0,,0,2,,0
,,,2,1,1.0,,0,2,,0
,,,2,0,1.0,,0,2,,0
2.0,,,2,0,,1.0,0,2,2.0,0
2.0,2.0,1.0,2,0,2.0,1.0,0,2,2.0,0
,,,2,1,1.0,,0,2,,0
,,,2,0,,,0,2,,0
2.0,2.0,1.0,2,0,2.0,1.0,0,2,2.0,0
2.0,2.0,1.0,2,0,2.0,2.0,0,2,2.0,0
2.0,2.0,1.0,2,0,2.0,1.0,0,2,2.0,0
,,,1,1,,,0,2,,0
2.0,,,2,0,1.0,1.0,0,2,2.0,0
,,,2,1,1.0,,0,2,,0
2.0,2.0,2.0,2,0,2.0,2.0,1,2,2.0,0
,,,2,0,1.0,,0,2,,0
,,,2,0,1.0,,0,2,,0
,,,2,1,1.0,,0,2,,0
1.0,,,2,0,,1.0,0,2,2.0,0
2.0,,,2,1,1.0,2.0,0,2,2.0,0
2.0,,,2,0,,1.0,1,2,2.0,0
,,,2,0,1.0,,0,2,,0
,,,1,1,1.0,,0,2,,0
,,,2,0,1.0,,1,2,,0
2.0,2.0,1.0,2,0,2.0,2.0,0,2,1.0,0
2.0,,,2,0,,1.0,0,2,2.0,0
2.0,1.0,1.0,2,0,2.0,1.0,0,2,2.0,0
2.0,,,2,0,,1.0,0,2,2.0,0
2.0,,,2,0,,1.0,0,2,2.0,0
,,,2,0,1.0,,0,1,,0
2.0,,,2,1,1.0,2.0,0,2,2.0,0
,,,2,0,1.0,,0,2,,0
,,,2,1,1.0,,0,2,,0
,,,2,0,1.0,,0,2,,0
2.0,,,2,0,,1.0,0,2,1.0,0
1.0,,,2,0,,1.0,0,2,2.0,0
2.0,2.0,1.0,2,0,2.0,2.0,0,2,2.0,0
,,,2,0,1.0,,0,2,,0
2.0,,,2,0,,1.0,0,2,2.0,0
,2.0,2.0,2,0,2.0,,0,2,,0
2.0,,,2,0,,1.0,0,2,2.0,0
2.0,,,2,1,,2.0,0,2,2.0,0
2.0,2.0,1.0,2,0,2.0,1.0,0,2,2.0,0
,,,2,0,,,0,2,,0
,,,2,0,,,0,2,,0
,,,2,1,1.0,,0,2,,0
,,,2,0,,,0,2,,0
1.0,,,2,0,,1.0,0,2,2.0,0
1.0,,,2,0,,1.0,0,2,1.0,0
2.0,,,2,1,,2.0,0,2,2.0,0
,,,2,0,1.0,,0,2,,0
,,,2,1,1.0,,0,2,,0
2.0,,,2,0,,1.0,0,2,2.0,0
,,,2,0,1.0,,0,2,,0
,,,2,0,,,0,2,,0
,,,2,0,,,0,2,,0
,,,2,1,1.0,,0,2,,0
2.0,2.0,1.0,2,0,2.0,2.0,1,2,1.0,0
,,,2,1,1.0,,0,2,,0
2.0,2.0,1.0,2,0,2.0,1.0,0,2,1.0,0
2.0,,,2,1,1.0,2.0,0,2,2.0,0
2.0,,,1,0,1.0,2.0,0,2,2.0,0
,,,2,0,,,0,2,,0
,,,2,0,1.0,,0,2,,0
2.0,,,2,0,1.0,2.0,0,2,2.0,0
2.0,,,2,0,,1.0,0,2,2.0,0
2.0,2.0,1.0,2,0,2.0,1.0,0,2,1.0,0
,,,2,0,1.0,,0,2,,0
1.0,,,2,0,,2.0,0,2,1.0,0
2.0,2.0,1.0,2,0,2.0,1.0,0,2,2.0,1
,,,2,0,1.0,,0,2,,0
1.0,,,2,0,,1.0,0,2,2.0,0
2.0,2.0,1.0,2,0,2.0,1.0,0,2,2.0,0
,,,2,0,,,0,2,,0
,,,2,0,1.0,,0,2,,0
2.0,1.0,1.0,2,0,2.0,2.0,0,2,1.0,0
2.0,2.0,1.0,2,0,2.0,1.0,0,2,2.0,0
2.0,,,2,1,1.0,2.0,0,2,1.0,0
2.0,,,2,0,,2.0,1,2,-1.0,0
,,,2,0,,,0,2,,1
2.0,,,2,0,1.0,2.0,0,2,2.0,0
,,,2,0,1.0,,0,2,,0
2.0,,,2,0,,1.0,0,2,1.0,0
,,,2,0,,,0,2,,0
,,,2,0,1.0,,0,2,,0
,,,2,0,,,0,2,,0
,,,2,0,1.0,,1,2,,0
1.0,1.0,1.0,2,0,2.0,1.0,0,2,2.0,0
,,,2,0,1.0,,0,2,,0
,,,2,0,,,0,2,,0
2.0,2.0,1.0,2,0,2.0,1.0,0,2,2.0,0
2.0,2.0,1.0,2,0,2.0,1.0,0,2,2.0,0
2.0,1.0,1.0,2,0,2.0,1.0,0,2,2.0,0
2.0,,,2,0,1.0,2.0,0,2,2.0,0
2.0,,,2,0,,2.0,0,2,2.0,0
,,,2,0,1.0,,0,2,,0
,,,2,0,1.0,,0,2,,0
,2.0,1.0,2,0,2.0,,0,2,,0
2.0,2.0,1.0,2,0,2.0,1.0,0,2,2.0,0
2.0,2.0,1.0,2,0,2.0,1.0,0,2,2.0,0
2.0,2.0,1.0,2,0,2.0,1.0,0,2,2.0,0
2.0,,,2,0,1.0,2.0,1,2,2.0,0
,,,2,0,,,0,2,,0
,2.0,1.0,2,0,2.0,,0,2,,0
,,,2,0,,,0,2,,0
,,,2,0,,,0,2,,0
,,,2,0,,,0,2,,0
1.0,,,2,0,1.0,1.0,0,1,2.0,0
,,,2,1,,,0,2,,0
,,,2,0,1.0,,0,2,,0
2.0,,,2,0,,1.0,0,2,2.0,0
2.0,2.0,1.0,2,1,2.0,1.0,0,2,2.0,0
,,,2,0,1.0,,0,2,,0
,,,2,1,1.0,,0,2,,0
2.0,2.0,1.0,2,0,2.0,1.0,0,2,2.0,0
1.0,2.0,2.0,2,0,2.0,1.0,0,2,2.0,0
1.0,,,2,0,,1.0,0,2,1.0,0
,,,2,0,,,0,2,,0
,,,2,0,,,0,2,,0
2.0,2.0,1.0,2,0,2.0,2.0,0,2,1.0,0
,2.0,1.0,2,0,2.0,,0,2,,0
2.0,,,2,0,1.0,2.0,0,2,2.0,0
,,,2,0,1.0,,0,2,,0
2.0,2.0,1.0,2,0,2.0,1.0,0,2,2.0,0
1.0,2.0,1.0,2,0,2.0,1.0,0,2,2.0,0
1.0,,,2,0,,1.0,0,2,-1.0,0
,2.0,1.0,2,0,2.0,,0,2,,0
,,,2,0,1.0,,0,2,,0
,,,2,0,1.0,,0,2,,0
2.0,2.0,1.0,2,0,2.0,2.0,0,2,2.0,0
1.0,,,2,0,,1.0,0,2,2.0,0
,,,2,0,1.0,,0,2,,0
2.0,2.0,1.0,2,1,2.0,2.0,0,2,2.0,0
1.0,1.0,2.0,2,0,2.0,2.0,0,2,2.0,0
,,,1,0,1.0,,0,2,,0
1.0,2.0,1.0,2,0,2.0,1.0,1,2,2.0,0
,,,2,0,,,0,2,,0
