program_code,site_id,program_name,class_most_recent_assessment_year,ecers_personal_care_routines_score,supportive_environment_survey_percent_positive,collaborative_teachers_survey_percent_positive,ecers_language_reasoning_score,ecers_observation_average_score
28Q354,27Q123,P.S. 354,2016-17 School Year,3.3,0.98,0.82,6.0,3.9
31R044,30Q084,P.S. 44 Thomas C. Brown,2015-16 School Year,1.8,0.97,0.61,4.5,3.7
08X140,08X072,P.S. 140 The Eagle School,,2.5,1.0,0.76,4.3,3.6
22K277,Z010,P.S. 277 Gerritsen Beach,2016-17 School Year,2.7,1.0,0.96,6.8,4.7
22KBQU,KBPL,KESHET LEARNING CENTER,2016-17 School Year,2.5,1.0,,6.3,5.1
01M363,01M363,Neighborhood School,,1.5,1.0,0.94,4.8,3.3
08X335,08X130,The Academy of the Arts,2016-17 School Year,1.7,1.0,0.92,4.5,3.0
21KABN,31R057,Barkai Yeshivah,2014-15 School Year,2.8,0.95,,4.8,4.5
24Q153,Z064,P1ME,2016-17 School Year,2.4,1.0,0.92,5.0,4.6
05M123,04M497,P.S. 123 Mahalia Jackson,2016-17 School Year,2.2,0.96,0.77,5.3,3.7
26Q026,Z078,P.S. 26 Rufus King,2016-17 School Year,1.2,0.94,0.9,4.8,3.9
10X033,09X443,P.S. 33 Timothy Dwight,,2.3,0.99,0.8,6.3,4.2
09X073,08X392,-P.S. 73 Bronx,2015-16 School Year,2.0,1.0,0.75,5.0,3.6
18K233,17K289,P.S. 233 Langston Hughes,2014-15 School Year,3.0,0.98,0.96,6.3,4.3
15K295,15K032,P.S. 295,,2.3,0.96,0.84,5.3,3.4
07X049,07X018,P.S. 49 Willis Avenue,2016-17 School Year,2.7,0.98,0.78,3.8,3.1
18K276,17K398,P.S. 276 Louis Marshall,2014-15 School Year,4.3,0.95,0.92,5.8,4.6
09XANZ,XAZD,Walton (Center #5),2015-16 School Year,3.2,0.97,,5.5,4.3
31RAFV,XAIF,Small World Preschool,2016-17 School Year,2.7,0.93,,5.0,4.1
22K197,21K177,P.S. 197 - The Kings Highway Academy,2016-17 School Year,2.3,0.91,0.94,5.8,3.7
08X146,08X075,P.S. 146 Edward Collins,2016-17 School Year,4.2,1.0,0.74,5.3,3.3
15KANO,84M518,Yeshivas Boyan Tifereth Mordechai Shlomo,2016-17 School Year,2.8,,,6.0,4.6
26Q046,Z081,P.S. 046 Alley Pond,,2.3,1.0,0.91,4.8,3.8
19KBBL,KAPB,SAINT PETER'S PRESCHOOL,2016-17 School Year,3.3,0.99,,5.0,3.9
14KABG,31R056,Yeshiva Jesode Hatorah,2015-16 School Year,2.8,1.0,,5.5,4.7
21K212,20K204,P.S. 212 Lady Deborah Moody,2016-17 School Year,1.8,0.98,0.89,5.0,3.2
08X036,07X157,P.S. 36 Unionport,,2.8,0.99,0.95,4.8,4.6
03M185,03M087,P.S. 185 - The Early Childhood Discovery and Design Magnet School,2016-17 School Year,2.5,0.95,0.84,6.3,4.2
12XAFK,XAPA,Phipps Neighborhoods Daly Avenue ECEC,2014-15 School Year,2.7,0.91,,4.3,3.7
17KBOL,KBMB,"PHEBEANA PRESCHOOL, INC.",2016-17 School Year,2.2,1.0,,6.0,5.0
12X195,Z038,P.S. 195,2016-17 School Year,1.5,0.97,0.75,4.8,3.9
04M146,04M072,P.S. 146 Ann M. Short,2016-17 School Year,2.2,,0.62,4.5,3.4
25Q163,24Q058,P.S. 163 Flushing Heights,2016-17 School Year,1.3,0.89,0.81,4.3,3.3
10X209,10X033,P.S. 209,2016-17 School Year,1.5,1.0,0.92,5.5,4.1
19KBCZ,KASC,Crescent-Pine Day Care,2014-15 School Year,2.5,1.0,,3.8,3.0
27QADN,QAKA,Ave Maria Catholic Academy,2016-17 School Year,2.7,0.95,,6.3,4.8
14K031,13K093,P.S. 31 Samuel F. Dupont,,2.0,1.0,0.92,5.8,4.8
26Q221,25Q107,P.S. 221 The North Hills School,,3.2,,0.98,7.0,5.3
05M175,05M092,P.S. 175 Henry H Garnet,2016-17 School Year,2.2,0.97,0.89,3.0,2.8
23K446,22K217,Riverd ale Avenue Community School,2014-15 School Year,2.3,0.94,0.91,5.5,3.9
