address_street,full_location_address,full_location_phone_number,community_district,wireline_up,device_loaning,nta_code,calendar_year,borough_name,sat_open,:@computed_region_sbqj_enih
"78 West 168th Street, 10452, Bronx, New York, USA","78 West 168th Street, 10452, Bronx, New York, USA",(718) 293-7800,204.0,1000.0,Y,BX0402,2025,Bronx,10:00 AM - 5:00 PM,27.0
"10-25 41st Avenue, 11101, Queens, New York, USA","10-25 41st Avenue, 11101, Queens, New York, USA",(718) 784-7447,401.0,0.0,N,QN0105,2025,Queens,Closed,72.0
"3601 Surf Avenue , 11224, Brooklyn, New York, USA","3601 Surf Avenue , 11224, Brooklyn, New York, USA",(718) 373-3954,313.0,60.0,Y,BK1302,2025,Brooklyn,Closed,35.0
"1901 Mermaid Ave. (Near W. 19th St.), 11224, Brooklyn, New York, USA","1901 Mermaid Ave. (Near W. 19th St.), 11224, Brooklyn, New York, USA",(718) 265-3220,313.0,15.0,Y,BK1302,2025,Brooklyn,10:00AM - 5:00 PM,35.0
"109-04 160th Street, 11433, Queens, New York, USA","109-04 160th Street, 11433, Queens, New York, USA",(718) 297-7237 ext273,412.0,293.9,Y,QN1202,2025,Queens,10:00 AM - 5:00 PM,61.0
"86-25 Francis Lewis Boulevard, 11427, Queens, New York, USA","86-25 Francis Lewis Boulevard, 11427, Queens, New York, USA",(718) 454-6157,408.0,20.9,N,QN0804,2025,Queens,Closed,65.0
"476 Fountain Avenue, 11208, Brooklyn, New York, USA","476 Fountain Avenue, 11208, Brooklyn, New York, USA",(347) 529-7333,305.0,30.4,N,BK0503,2025,Brooklyn,Closed,47.0
"211 West 131st Street, 10027, Manhattan, New York, USA","211 West 131st Street, 10027, Manhattan, New York, USA",(212) 749-8428,110.0,420.2,Y,MN1002,2025,Manhattan,Closed,20.0
"501 Brielle Avenue, 10314, Staten Island, New York, USA","501 Brielle Avenue, 10314, Staten Island, New York, USA",(718) 667-3545,502.0,,Y,SI0203,2025,Staten Island,8am-3pm,75.0
"203 West 115th Street, 10026, Manhattan, New York, USA","203 West 115th Street, 10026, Manhattan, New York, USA",(212)-666-9393,110.0,1000.0,Y,MN1001,2025,Manhattan,10:00 AM - 5:00 PM,18.0
"975 Waring Avenue, 10469, Bronx, New York, USA","975 Waring Avenue, 10469, Bronx, New York, USA",(718)-881-1758,211.0,80.0,Y,BX1104,2025,Bronx,Closed,32.0
