location_name,url,:@computed_region_f5dn_yrer,access_requirements,productivity_tools_ex_using,:@computed_region_yeji_bk3q,digital_literacy,wheelchair_accessible,certifications_ex_in_software,location_1,sun_open,tue_open
High Bridge Library,{'url': 'http://nypl.org/techconnect'},50.0,N,Y,5.0,N,Y,N,"{'type': 'Point', 'coordinates': [-73.9235476, 40.8379658]}",Closed,10:00 AM - 7:00 PM
Jacob A. Riis Neighborhood Settlement Community Center,{'url': 'http://riissettlement.org'},39.0,,N,3.0,Y,,N,"{'type': 'Point', 'coordinates': [-73.9445698, 40.7556163]}",Closed,1:00 AM - 9:00 AM
Scheuer House of Coney Island Older Adult Center,{'url': 'http://jasa.org'},21.0,Y,N,2.0,Y,Y,N,"{'type': 'Point', 'coordinates': [-74.00235239999999, 40.5736461]}",Closed,9:00 AM - 5:00 PM
Coney Island Library,{'url': 'https://www.bklynlibrary.org/locations/coney-island'},21.0,N,N,2.0,Y,Y,N,"{'type': 'Point', 'coordinates': [-73.98610459999999, 40.5767798]}",Closed,1:00PM - 8:00PM
South Jamaica Cornerstone Community Center,{'url': 'http://sqpa.org'},41.0,,N,3.0,N,Y,N,"{'type': 'Point', 'coordinates': [-73.7920635, 40.6936896]}",Closed,9:00 AM - 11:00 PM
Club Holliswood Older Adult Center,{'url': 'https://www.jasa.org/services/older-adult-centers'},25.0,Y,N,3.0,N,Y,N,"{'type': 'Point', 'coordinates': [-73.764817, 40.7250606]}",Closed,8:00 AM - 4:00 PM
Cypress Hills Adult Social Club,{'url': 'https://dftavirtualprogramfinder.cityofnewyork.us/providers/cypress-hills-adult-social-club-208'},45.0,Y,N,2.0,N,Partially,N,"{'type': 'Point', 'coordinates': [-73.87293489999999, 40.6681668]}",Closed,8:15 AM - 4:15 PM
Saint Nicholas Social Club,{'url': 'http://www.chscc.org'},18.0,Y,N,4.0,Y,Y,N,"{'type': 'Point', 'coordinates': [-73.94628039999999, 40.8132605]}",Closed,9:00 AM - 5:00 PM
Greenbelt Media Lab,{'url': 'https://www.nycgovparks.org/facilities/recreationcenters/r129'},30.0,Y,N,1.0,N,Y,N,"{'type': 'Point', 'coordinates': [-74.1392587, 40.59177820000001]}",Closed,6:30am-8:30pm
Harry Belafonte 115th Street Library,{'url': 'http://nypl.org/techconnect'},18.0,N,Y,4.0,N,Y,N,"{'type': 'Point', 'coordinates': [-73.9535293, 40.8030902]}",Closed,11:00 AM - 7:00 PM
Sue Ginsburg Older Adult Center,{'url': 'https://jasa.org/'},59.0,Y,Y,5.0,N,Y,Y,"{'type': 'Point', 'coordinates': [-73.8594416, 40.8614942]}",Closed,8:30 AM - 4:30 PM
SAGE Center Harlem,{'url': 'http://sageserves.org'},18.0,Y,N,4.0,N,Y,N,"{'type': 'Point', 'coordinates': [-73.94103009999999, 40.82115719999999]}",Closed,10:00 AM - 6:00 PM
North Forest Park Library,{'url': 'https://www.queenslibrary.org/about-us/locations/north-forest-park'},40.0,N,N,3.0,N,,N,"{'type': 'Point', 'coordinates': [-73.8536863, 40.7111911]}",Closed,1pm - 6pm
Stanley M. Isaacs Neighborhood Community Center,{'url': 'http://isaacscenter.org'},23.0,,N,4.0,Y,,N,"{'type': 'Point', 'coordinates': [-73.9458387, 40.7809304]}",Closed,9:00 AM - 9:00 PM
Melrose Mott Haven Neighborhood Senior Center,{'url': 'https://www.eastsidehouse.org/programs/seniors/'},49.0,Y,Y,5.0,Y,Y,N,"{'type': 'Point', 'coordinates': [-73.9177493, 40.8182828]}",Closed,9:00 AM - 3:00 PM
Independence Plaza Older Adult Center,{'url': 'https://greenwichhouse.org/network-of-older-adult-centers/'},56.0,Y,Y,4.0,Y,Y,N,"{'type': 'Point', 'coordinates': [-74.0106018, 40.7165872]}",Closed,9:00 AM - 3:00 PM
Carver Neighborhood Older Adults Center,{'url': 'http://acacianetwork.org'},7.0,Y,Y,4.0,Y,Y,N,"{'type': 'Point', 'coordinates': [-73.95035589999999, 40.7910818]}",Closed,9:00 AM - 5:00 PM
St Charles Neighborhood Senior Center,{'url': 'https://www.ccbq.org/older-adult-centers/st-charles-jubilee-older-adult-center/'},68.0,Y,N,2.0,N,Y,N,"{'type': 'Point', 'coordinates': [-73.9951007, 40.6959779]}",Closed,9:00 AM - 5:00 PM
McCarren Media Lab,{'url': 'https://www.nycgovparks.org/facilities/recreationcenters/B058/schedule#MediaLab'},36.0,Y,N,2.0,N,Y,Y,"{'type': 'Point', 'coordinates': [-73.9496702, 40.7201776]}",Closed,10am-6pm
Rugby Library,{'url': 'http://bklynlibrary.org/locations/rugby'},61.0,N,Y,2.0,N,Y,N,"{'type': 'Point', 'coordinates': [-73.93038709999999, 40.6486442]}",Closed,1:00PM - 8:00PM
Broad Channel Library,{'url': 'https://www.queenslibrary.org/about-us/locations/broad-channel'},51.0,N,N,3.0,N,,N,"{'type': 'Point', 'coordinates': [-73.8200576, 40.60074480000001]}",Closed,1pm - 6pm
Lenox Hill Neighborhood House,{'url': 'https://www.lenoxhill.org/center-lenox-hill-neighborhood-house'},23.0,Y,Y,4.0,Y,Y,N,"{'type': 'Point', 'coordinates': [-73.95778299999999, 40.7666347]}",Varies,8:00 AM - 6:00 PM
