attendance_06,register_05,register_last_report,attendance_07,register_04,period
0,0,384.0,0,406,1
0,0,182.0,0,220,1
0,0,326.0,0,298,1
0,0,379.0,0,377,1
0,0,506.0,0,481,1
0,0,522.0,0,472,1
0,0,564.0,0,636,1
0,0,232.0,0,297,1
0,0,537.0,0,514,1
0,0,849.0,0,1013,1
0,0,266.0,0,239,1
0,0,871.0,0,994,1
0,0,600.0,0,625,1
0,0,494.0,0,477,1
0,0,555.0,0,637,1
0,0,501.0,0,440,1
0,0,268.0,0,276,1
0,0,355.0,0,336,1
0,0,137.0,0,135,1
0,0,333.0,0,393,1
0,0,278.0,0,266,1
0,0,929.0,0,1022,1
0,0,120.0,0,115,1
0,0,344.0,0,325,1
0,0,359.0,0,341,1
0,0,315.0,0,298,1
0,0,478.0,0,462,1
0,0,442.0,0,453,1
0,0,663.0,0,753,1
0,0,486.0,0,468,1
0,0,,0,0,1
0,0,874.0,0,1010,1
0,0,422.0,0,485,1
0,0,952.0,0,1066,1
0,0,364.0,0,424,1
0,0,400.0,0,458,1
0,0,309.0,0,408,1
0,0,285.0,0,285,1
0,0,737.0,0,871,1
0,0,598.0,0,705,1
0,0,272.0,0,227,1
0,0,542.0,0,519,1
0,0,387.0,0,484,1
0,0,636.0,0,620,1
0,0,410.0,0,434,1
0,0,1124.0,0,1278,1
0,0,780.0,0,888,1
0,0,1140.0,0,1064,1
0,0,421.0,0,402,1
0,0,243.0,0,243,1
0,0,1530.0,0,1398,1
0,0,160.0,0,153,1
0,0,894.0,0,1007,1
0,0,599.0,0,593,1
0,0,206.0,0,196,1
0,0,847.0,0,895,1
0,0,566.0,0,566,1
0,0,270.0,0,300,1
0,0,136.0,0,183,1
0,0,205.0,0,187,1
0,0,205.0,0,281,1
0,0,380.0,0,356,1
0,0,461.0,0,430,1
0,0,358.0,0,384,1
0,0,421.0,0,401,1
0,0,158.0,0,185,1
0,0,436.0,0,517,1
0,0,389.0,0,359,1
0,0,64.0,0,81,1
0,0,183.0,0,180,1
0,0,888.0,0,851,1
0,0,462.0,0,447,1
0,0,680.0,0,780,1
0,0,325.0,0,313,1
0,0,1728.0,0,1738,1
0,0,982.0,0,1010,1
0,0,212.0,0,238,1
0,0,507.0,0,471,1
0,0,635.0,0,608,1
0,0,125.0,0,157,1
0,0,729.0,0,780,1
0,0,178.0,0,221,1
0,0,412.0,0,388,1
0,0,511.0,0,548,1
0,0,432.0,0,490,1
0,0,544.0,0,653,1
0,0,540.0,0,618,1
0,0,168.0,0,210,1
0,0,449.0,0,441,1
0,0,493.0,0,572,1
0,0,299.0,0,309,1
0,0,302.0,0,294,1
0,0,404.0,0,458,1
0,0,415.0,0,395,1
0,0,434.0,0,468,1
0,0,91.0,0,126,1
0,0,614.0,0,644,1
0,0,537.0,0,600,1
0,0,609.0,0,647,1
0,0,342.0,0,331,1
0,0,399.0,0,387,1
0,0,166.0,0,188,1
0,0,685.0,0,704,1
0,0,440.0,0,409,1
0,0,558.0,0,645,1
0,0,454.0,0,450,1
0,0,539.0,0,587,1
0,0,50.0,0,48,1
0,0,202.0,0,205,1
0,0,318.0,0,311,1
0,0,703.0,0,784,1
0,0,634.0,0,696,1
0,0,582.0,0,624,1
0,0,408.0,0,402,1
0,0,324.0,0,335,1
0,0,170.0,0,190,1
0,0,323.0,0,306,1
0,0,1384.0,0,1535,1
0,0,806.0,0,778,1
0,0,145.0,0,144,1
0,0,275.0,0,297,1
0,0,638.0,0,588,1
0,0,89.0,0,78,1
0,0,479.0,0,455,1
0,0,499.0,0,479,1
0,0,189.0,0,200,1
0,0,,0,279,1
0,0,626.0,0,631,1
0,0,623.0,0,728,1
0,0,373.0,0,390,1
0,0,430.0,0,419,1
0,0,362.0,0,347,1
0,0,359.0,0,344,1
0,0,706.0,0,672,1
0,0,580.0,0,599,1
0,0,115.0,0,186,1
0,0,500.0,0,495,1
0,0,196.0,0,180,1
0,0,356.0,0,387,1
0,0,438.0,0,413,1
0,0,321.0,0,304,1
0,0,273.0,0,262,1
0,0,280.0,0,243,1
0,0,255.0,0,266,1
0,0,47.0,0,41,1
0,0,1335.0,0,1365,1
0,0,671.0,0,786,1
0,0,274.0,0,277,1
0,0,626.0,0,600,1
0,0,314.0,0,363,1
0,0,546.0,0,591,1
0,0,201.0,0,209,1
0,0,171.0,0,155,1
0,0,513.0,0,581,1
0,0,386.0,0,404,1
0,0,474.0,0,481,1
0,0,1620.0,0,1703,1
0,0,549.0,0,523,1
0,0,476.0,0,444,1
0,0,155.0,0,159,1
0,0,408.0,0,451,1
0,0,522.0,0,591,1
0,0,607.0,0,677,1
0,0,1322.0,0,1272,1
0,0,757.0,0,722,1
0,0,331.0,0,320,1
0,0,809.0,0,902,1
0,0,467.0,0,441,1
0,0,603.0,0,735,1
0,0,954.0,0,933,1
0,0,109.0,0,106,1
0,0,141.0,0,184,1
0,0,566.0,0,548,1
0,0,579.0,0,646,1
0,0,517.0,0,607,1
0,0,653.0,0,665,1
0,0,605.0,0,686,1
0,0,476.0,0,516,1
0,0,429.0,0,423,1
0,0,265.0,0,314,1
0,0,415.0,0,457,1
0,0,504.0,0,561,1
0,0,206.0,0,214,1
0,0,,0,79,1
0,0,120.0,0,128,1
