ela_level_4,math_level_4,math_l3_l4_1,grade_8,grade_1,ell_bengali_1,female_1,grade_6,grade_k,ela_level_1,ell_russian,ela_test_takers,asian_1,math_level_3,ell_other_1
9,13,s,,s,,76.0%,,s,s,,17,48.0%,s,
,s,s,,,,s,,,,,,s,s,
,s,s,,,s,s,,,,s,,s,s,s
s,s,s,,9,s,52.3%,,10,7,s,12,s,s,s
s,s,s,,15,s,51.9%,,15,19,s,34,s,s,s
s,s,s,,s,,s,,s,s,,s,88.9%,s,
19,27,100.0%,,14,,42.1%,,19,s,,35,32.6%,8,
42,71,96.4%,,24,,51.7%,,19,s,,84,10.6%,9,
13,16,s,,,,s,,,s,,16,93.8%,s,
,,,,,s,s,,s,,s,,s,,s
s,s,s,,,,46.5%,,,12,,42,s,s,
,,,,,,s,,s,,,,s,,
,,,,s,s,s,,,,s,,s,,s
s,s,s,,s,,43.8%,,s,s,,s,s,s,
7,11,37.8%,8,15,,53.8%,8,,27,,82,s,20,
,,,,,,s,,s,,,,s,,
,,,,s,,s,,s,,,,s,,
,,,,,,s,,s,,,,s,,
s,s,s,,6,,56.3%,,s,s,,s,s,s,
s,s,s,,,,s,,,s,,s,s,s,
s,s,s,,,,s,,s,s,,s,s,s,
s,s,s,17,28,s,40.2%,27,35,96,s,165,s,s,s
24,33,97.9%,,28,,52.6%,,26,s,,47,s,13,
s,s,s,,s,,s,,,s,,s,s,s,
,,,,,s,s,,,,s,,s,,s
,,,,21,,41.2%,,29,,,,s,,
s,s,s,,,,s,,s,s,,s,s,s,
s,s,s,,s,,34.6%,,7,s,,11,s,s,
,,,,9,,50.0%,,6,,,,s,,
16,22,s,,s,,59.4%,,,s,,25,21.9%,s,
s,s,s,,,,s,,,s,,s,s,s,
s,s,s,,,,s,,,s,,6,s,s,
s,s,s,10,,,s,,,s,,10,s,s,
,,,,14,,46.7%,,16,,,,40.0%,,
s,s,s,,,,s,,,s,,s,s,s,
,,,,,,s,,,,,,s,,
11,6,28.8%,24,,,52.1%,26,,12,,72,s,15,
s,s,s,,s,,s,,,s,,s,s,s,
,,,,16,,60.0%,,14,,,,s,,
s,s,s,,28,,50.4%,,19,14,,30,s,s,
9,13,s,,s,,45.0%,,s,s,,25,s,s,
s,14,68.6%,,s,,47.4%,,s,s,,35,22.8%,10,
s,s,s,,44,,58.3%,,35,s,,17,s,9,
s,s,s,,s,,53.3%,,s,s,,s,s,s,
s,s,s,,s,s,47.1%,,12,15,s,31,s,s,s
s,s,s,,,,s,,s,s,,s,s,s,
,,,,s,,s,,,,,,s,,
,,,,20,,59.0%,,19,,,,s,,
