fam_hom_meth_firearm,fel_aslt_rel_othrelative,fam_dir,dv_fel_assault,ipv_hom_prior_dir_yes,fel_rape_rel_parent,fel_aslt_rel_parent,fam_hom_meth_sharpe
,,795,76,,,,
,,1336,110,,,,
,,1266,126,,,,
,,2878,236,,,,
,,554,50,,,,
,,1500,141,,,,
,,3092,191,,,,
,,3284,414,,,,
,,13351,1090,,,,
,,365,66,,,,
,,1591,164,,,,
,,1243,85,,,,
,,3,0,,,,
,,2466,221,,,,
,,1072,120,,,,
