lotid,originaloverride,privateind,lotissysflageddupoverridden,logno,operid,house2,old_lot_id,lotconversion_notes,issysflageddupoverridden,requestentrydate,issysflagednjoverridden,psid,used_crossstreetone,inspectorfindings,used_streetaddress,salestax,districtid,perimeter_ind,lotentrydate,block
130151,0,682,,,332,,LOT51196,PB STATUS = COMPLETE;,,2001-03-01T12:45:15.000,,,,,,,6,,,2777
79234,0,681,,,332,,LOT187142,PB STATUS = COMPLETE;,,2009-04-06T07:05:05.000,,,,,,36.46,52,,,11767
122541,0,682,,,332,,LOT43502,PB STATUS = COMPLETE;,,2000-09-26T08:17:35.000,,,,,,,20,,,3151
126197,0,682,,,332,,LOT47180,PB STATUS = COMPLETE;,,2000-12-13T15:34:13.000,,,,,,,5,,,2646
67726,0,681,,,332,,LOT175743,PB STATUS = COMPLETE;,,2008-05-09T00:00:00.000,,,,,,77.22,54,,,10254
107635,0,682,,,332,,LOT28723,PB STATUS = COMPLETE;,,1999-11-16T13:58:48.000,,,,,,,39,,,1950
106434,0,682,,,332,,LOT2755,PB STATUS = COMPLETE;,,1998-03-09T10:57:33.000,,,,,,,41,,,1775
185409,0,682,0.0,,678,,,,1.0,2012-06-26T09:40:26.000,0.0,0.0,ROCKAWAY AVENUE,fenced locked gate,FULTON STREET,0.0,30,0.0,2012-06-27T12:54:48.000,1541
112453,0,682,,,332,,LOT33481,PB STATUS = COMPLETE;,,1999-11-03T11:42:48.000,,,,,,,19,,,1780
148982,0,682,,,332,,LOT73462,PB STATUS = COMPLETE;,,2002-03-28T00:00:00.000,,,,,,,40,,,1914
167219,0,682,,,332,,LOT9441,PB STATUS = COMPLETE;,,1998-06-10T08:58:32.000,,,,,,,30,,,3543
3501,0,682,,,332,,LOT106215,PB STATUS = COMPLETE;,,2003-12-19T11:44:55.000,,,,,,,54,,,12152
36588,0,682,,,332,,LOT145494,PB STATUS = COMPLETE;,,2006-04-12T07:02:10.000,,,,,,,30,,,1571
94024,0,682,,,332,,LOT201440,PB STATUS = COMPLETE;,,2010-05-21T00:00:00.000,,,,,,,30,,,1537
211158,0,681,0.0,,770,,,,,2015-12-09T13:38:15.000,,0.0,108 AVENUE,"FENCED OPEN,LITTER,DUMPOUTS",164 STREET,160.36,54,0.0,2015-12-16T11:13:58.000,10166
101001,0,682,,,332,,LOT2199,PB STATUS = COMPLETE;,,1998-03-05T15:51:10.000,,,,,,,19,,,1864
80421,0,682,,,332,,LOT188327,PB STATUS = COMPLETE;,,2009-05-07T00:00:00.000,,,,,,,27,,,7053
210567,0,682,0.0,,774,,,,0.0,2015-11-19T13:40:58.000,0.0,0.0,MARCY AVENUE,plastic basin with standing water; weeds; food waste; litter,MYRTLE AVENUE,0.0,19,0.0,2015-11-23T08:46:23.000,1754
109674,0,681,,,332,,LOT30709,PB STATUS = COMPLETE;,,1999-07-02T11:42:38.000,,,,,,64.85,33,,,1340
49531,0,682,,,332,,LOT158150,PB STATUS = COMPLETE;,,2007-03-01T11:28:28.000,,,,,,,59,,,6458
41841,0,682,,,332,,LOT150651,PB STATUS = COMPLETE;,,2006-08-21T10:25:30.000,,,,,,,10,,,3119
131159,0,682,,,332,,LOT52263,PB STATUS = COMPLETE;,,1999-03-15T14:14:27.000,,,,,,,3,,,4565
182361,0,682,0.0,,678,,,,0.0,2012-02-29T10:50:18.000,0.0,0.0,EAST 181 STREET,FENCED & OPEN,VALENTINE AVENUE,0.0,9,0.0,2012-03-02T13:49:10.000,3149
32165,0,682,,,332,,LOT1412,PB STATUS = COMPLETE;,,1998-02-26T15:41:34.000,,,,,,,8,,,2453
147281,0,682,,,332,,LOT71300,PB STATUS = COMPLETE;,,2002-02-25T00:00:00.000,,,,,,,5,,,2280
181903,0,682,0.0,,678,,,,0.0,2012-01-31T12:46:10.000,0.0,0.0,BILLIOU STREET,OPEN,ANDROVETTE AVENUE,0.0,59,0.0,2012-02-03T10:22:45.000,6616
182954,0,682,0.0,,675,,,,1.0,2012-03-23T11:43:04.000,0.0,0.0,107 AVENUE,OPEN,164 STREET,0.0,54,0.0,2012-03-28T14:49:34.000,10162
134747,0,682,,,332,,LOT56322,PB STATUS = COMPLETE;,,2001-05-18T00:00:00.000,,,,,,,7,,,2385
204033,1,682,0.0,,770,,,,0.0,2014-12-17T12:19:47.000,0.0,0.0,BEACH 39 STREET,OPEN,EDGEMERE AVENUE,0.0,56,0.0,2015-01-02T11:14:35.000,15847
31105,0,682,,,332,,LOT140178,PB STATUS = COMPLETE;,,2005-11-25T15:26:18.000,,,,,,,19,,,1549
152654,0,682,,,332,,LOT77847,PB STATUS = COMPLETE;,,2002-07-01T00:00:00.000,,,,,,,10,,,4007
8132,0,682,,,332,,LOT11378,PB STATUS = COMPLETE;,,1998-07-03T14:30:30.000,,,,,,,56,,,15954
7338,0,682,,,332,,LOT112498,PB STATUS = COMPLETE;,,2004-03-24T00:00:00.000,,,,,,,10,,,3098
75266,0,682,,,332,,LOT18313,PB STATUS = COMPLETE;,,1999-03-05T09:52:05.000,,,,,,,40,,,1923
13967,0,682,,,332,,LOT121856,PB STATUS = COMPLETE;,,2004-08-25T00:00:00.000,,,,,,,54,,,10121
207691,0,682,0.0,,740,8525,,,0.0,2015-06-03T11:48:27.000,0.0,0.0,EAST   86 STREET,"fenced & open,weeds",AVENUE J,0.0,32,0.0,2015-07-10T09:43:15.000,8022
209541,0,682,0.0,,695,,,,0.0,2015-10-02T12:44:15.000,0.0,0.0,SARATOGA AVENUE,fenced litter,FULTON STREET,0.0,19,0.0,2015-10-05T12:42:29.000,1549
134136,0,682,,,332,,LOT55606,PB STATUS = COMPLETE;,,2001-05-02T00:00:00.000,,,,,,,7,,,2384
163786,0,682,,,332,,LOT90540,PB STATUS = COMPLETE;,,2003-01-15T13:55:05.000,,,,,,,40,,,1846
40251,0,682,,,332,,LOT149114,PB STATUS = COMPLETE;,,2006-07-19T10:10:21.000,,,,,,,20,,,3408
56436,0,682,,,332,,LOT1648,PB STATUS = COMPLETE;,,1998-03-04T15:59:55.000,,,,,,,19,,,1827
45939,0,682,,,332,,LOT154650,PB STATUS = COMPLETE;,,2006-11-22T12:43:38.000,,,,,,,40,,,1954
51402,0,682,,,332,,LOT159950,PB STATUS = COMPLETE;,,2007-04-12T09:31:02.000,,,,,,,20,,,3232
10285,0,682,,,332,,LOT116929,PB STATUS = COMPLETE;,,2004-06-04T00:00:00.000,,,,,,,41,,,1615
111750,0,682,,,332,,LOT3276,PB STATUS = COMPLETE;,,1998-03-18T09:16:06.000,,,,,,,10,,,3053
