cy_2020_source_mmbtu,source_full,cy_2019_source_mmbtu,cy_2021_tco2e_20_yr_gwp,cy_2015_tco2e_20_yr_gwp,cy_2020_tco2e_20_yr_gwp,cy_2009_consumed,cy_2022_tco2e_20_yr_gwp,cy_2023_consumed,cy_2007_source_mmbtu,cy_2015_tco2e,cy_2019_tco2e_20_yr_gwp,cy_2012_consumed,cy_2013_source_mmbtu,cy_2024_consumed,cy_2021_tco2e,cy_2008_consumed,cy_2022_consumed,cy_2005_consumed,_2005_2024_change_tco2e,cy_2011_source_mmbtu,cy_2024_source_mmbtu,cy_2013_consumed,cy_2012_tco2e
21111.33,Electricity,18060.43,884.22,0.0,676.09,0.0,1063.58,1894752.86,0.0,0.0,578.38,0.0,0.0,1915153.69,1041.19,0.0,1705594.77,0.0,100.0,0.0,37291.76,0.0,0.0
95408.94,Biofuel,95408.94,7.1,5.54,10.4,96009.6,7.68,485392.96,10081.53,2.61,10.4,313617.69,58063.17,541335.75,3.34,63515.73,545033.57,31833.49,100.0,13509.64,69983.89,449127.25,2.08
415284.93,Upstream Electricity,416575.01,14308.39,130.38,9913.83,727182.05,17132.92,389504965.46,989.68,0.0,9944.63,1226104.25,3672.51,455424959.85,0.0,550757.29,274957546.26,0.0,0.0,2775.04,529616.55,1406993.82,0.0
6465.13,CNG,5156.12,818.25,0.0,679.77,0.0,957.59,262467.25,0.0,0.0,542.14,0.0,0.0,257690.2,649.68,0.0,313423.9,0.0,100.0,0.0,7487.89,0.0,0.0
12726.17,Upstream CNG,16585.01,12088.75,64.57,12149.51,804560.59,11509.94,1039662.15,5208.7,0.0,15870.6,1374297.45,16627.48,803796.46,0.0,633521.19,1249609.37,0.0,0.0,12878.9,7828.18,1624978.9,0.0
0.0,#6 fuel oil,0.0,0.0,1362.83,0.0,1919702.52,0.0,0.0,291615.2,1359.95,0.0,1333214.97,149903.45,0.0,0.0,1681696.34,0.0,1937458.28,-100.0,258859.51,0.0,989461.72,15074.83
3147983.91,Diesel,3467454.88,394745.19,163490.39,332522.1,130817432.29,452621.62,293678805.58,1739841.69,163137.61,366277.11,135989624.63,1983864.52,278513932.35,451714.78,135065444.53,302218535.14,121490182.96,329.536409806641,1823798.12,3949009.31,142928229.15,135552.74
18229.45,Electricity,16756.74,777.84,0.0,583.8,0.0,977.31,10614688.92,0.0,0.0,536.63,0.0,0.0,18679605.83,915.93,0.0,3771484.98,0.0,100.0,0.0,151147.11,0.0,0.0
2135042.91,Biofuel,1914779.67,158.89,123.98,232.83,2148484.42,171.95,10862030.92,225602.63,58.36,208.81,7018076.62,1299326.52,12113907.93,74.79,1421342.93,12196657.04,712363.73,1599.57716701903,302316.12,1566086.02,10050483.63,46.57
0.0,Downstream CNG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
354104.15,Gasoline,277925.89,41080.43,0.0,33598.29,0.0,49568.11,53771088.79,0.0,0.0,26370.3,0.0,0.0,64489073.48,46741.72,0.0,49205405.23,0.0,100.0,0.0,465096.9,0.0,0.0
247795358.77,Downstream Natural gas,264037982.43,1462533.58,1137585.9,1475359.58,138210347563.96,1497653.53,228307193527.52,185955161.05,0.0,1572067.24,147155810320.07,81212705.93,198422098985.29,0.0,140712584224.4,233490912154.27,164840051823.53,0.0,175731995.46,213760127.24,75385413471.51,0.0
719051.96,CNG,1015525.18,76357.68,68642.57,47127.14,40570785.48,103914.63,45325026.96,1531931.04,68504.64,63644.08,37340822.5,1433847.52,36865744.61,64021.73,42055202.25,43719633.61,6523813.14,396.407819668861,1358545.67,1452467.94,38351608.59,65931.84
31114.82,Gasoline,24814.93,2530.19,0.0,2101.98,0.0,2961.04,1952808.75,0.0,0.0,1676.38,0.0,0.0,1936538.05,2462.18,0.0,1946773.76,0.0,100.0,0.0,43600.78,0.0,0.0
