cy_2009_tco2e_20_yr_gwp,cy_2006_source_mmbtu,cy_2017_tco2e_20_yr_gwp,cy_2010_tco2e_20_yr_gwp,cy_2023_source_mmbtu,cy_2022_tco2e,cy_2016_tco2e_20_yr_gwp,cy_2019_consumed,cy_2024_tco2e,cy_2012_source_mmbtu,cy_2008_tco2e_100_yr_gwp,cy_2023_tco2e_20_yr_gwp,cy_2015_consumed,cy_2017_consumed,cy_2006_consumed,cy_2008_tco2e_20_yr_gwp,cy_2021_source_mmbtu
0.0,0.0,0.0,0.0,36894.52,1313.15,0.0,927510.28,1490.94,0.0,0.0,1470.45,0.0,0.0,0.0,0.0,27610.35
1.35,8538.62,7.36,0.9,62751.6,3.62,4.65,738002.29,3.59,40544.49,0.42,6.84,392986.97,522026.47,66047.5,0.9,65111.89
67.63,492.72,5366.12,81.48,454460.89,0.0,3662.57,159596277.86,0.0,3200.35,0.0,31552.64,1813721.5,87437912.78,188770.47,56.39,599370.69
0.0,0.0,109.72,0.0,7626.7,798.43,68.33,177444.02,656.45,0.0,0.0,1058.76,0.0,67890.07,0.0,0.0,7782.2
177031.48,7045248.67,101839.61,178142.17,3595159.03,0.0,123979.43,1436706192.14,0.0,4692057.43,0.0,75591.03,1595541286.11,1401500853.17,2230366020.87,198799.55,3938388.89
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5647489.4,58902077.89,4040033.66,4844878.8,80142818.78,4220547.0,5530263.55,78532479995.06,3267990.34,91806967.48,5466667.57,4058169.29,104250511239.56,74059841270.5,54675650135.08,5472174.66,78540639.48
839063.22,23484162.23,431285.34,745523.95,11983863.42,409437.97,482033.02,4789020634.25,317926.56,15640191.4,814219.82,327726.91,5318470946.78,4671669504.48,7434553402.9,815508.01,13127962.95
196439.91,2210102.83,141824.53,189323.5,1648719.15,140111.7,164389.42,18418173.6,114922.36,2279851.01,175445.02,121425.74,20949824.55,13816142.39,15856671.16,175819.31,1848123.36
0.0,0.0,0.0,0.0,2731437.82,0.0,0.0,0.0,369.85,0.0,0.0,422.53,0.0,0.0,0.0,0.0,0.0
1503673.71,16917506.57,1085613.44,1449200.28,12620325.52,1072502.42,1258339.2,137018579.18,879687.48,17451402.73,1342965.67,929468.41,160363033.9,105757377.85,121376858.73,1345830.76,14146689.79
376806.63,17670623.37,627474.25,873885.8,15421084.06,0.0,1032813.99,15257268031.74,0.0,21572077.6,0.0,594020.0,24884990545.43,15120741324.63,16402695040.52,447401.79,14589553.95
4296116.41,58902077.89,3073304.56,3685560.41,80142818.78,0.0,4206941.23,78532479995.06,0.0,91806967.48,0.0,3087100.56,104250511239.56,74059841270.5,54675650135.08,4162752.27,78540639.48
664040.53,58902077.89,475033.4,569668.34,80142818.78,0.0,650256.94,78532479995.06,0.0,91806967.48,0.0,477165.82,104250511239.56,74059841270.5,54675650135.08,643426.75,78540639.48
590104.92,23484162.23,339465.36,593807.24,11983863.42,0.0,413264.78,4789020634.25,0.0,15640191.4,0.0,251970.1,5318470946.78,4671669504.48,7434553402.9,662665.15,13127962.95
71.51,492.72,8111.49,90.43,454460.89,28377.0,4831.52,159596277.86,47526.29,3200.35,62.89,40520.24,1813721.5,87437912.78,188770.47,62.96,599370.69
10709505.33,171705220.19,11096077.6,11230265.04,175460335.19,7809623.0,10922896.66,18253238957.49,7901661.1,159170776.5,10907038.57,7954583.92,17213569780.41,18103690663.37,17323987851.26,10918875.43,167826145.0
7539503.82,168802691.03,12590169.51,8556569.07,245955339.59,12724329.39,10380399.47,245092344217.5,10813218.05,158530954.46,7668278.2,12454371.1,177354752086.9,230796580831.19,156690514277.53,7676003.18,245641156.49
62646.13,944295.49,63134.35,62832.25,937570.15,68995.63,64725.78,39239869.96,69432.26,959701.56,62422.24,69374.06,40020902.66,39633563.13,38741310.93,62460.53,938404.99
8071266.94,236076921.23,6628750.16,8346483.68,197407961.03,7709058.58,7540236.48,23806571570.0,7828276.7,209445124.17,9954863.27,7867797.61,24309477657.3,24400061835.53,27133407032.74,9966850.51,189653023.85
