fy_2004,fy_2008,fy_1988,fy_1985,fy_2015,fy_2002
11.0,11.0,13.0,13.0,9.0,13.0
30.0,48.0,58.0,41.0,46.0,31.0
1205.0,1245.0,1040.0,1005.0,1378.0,1138.0
696.0,755.0,550.0,557.0,0.0,734.0
1204.0,1211.0,1057.0,937.0,1331.0,1300.0
91.0,110.0,99.0,78.0,156.0,83.0
0.0,0.0,88.0,83.0,0.0,0.0
228.0,333.0,351.0,359.0,422.0,214.0
1669.0,1646.0,,,1916.0,1542.0
3693.0,5202.0,4243.0,3722.0,4349.0,2953.0
16.0,21.0,4.0,3.0,22.0,21.0
211.0,206.0,199.0,165.0,197.0,231.0
107932.0,112852.0,74002.0,69659.0,112272.0,94162.0
16.0,16.0,18.0,20.0,15.0,15.0
0.0,0.0,302.0,286.0,0.0,207.0
52.0,61.0,102.0,72.0,50.0,72.0
228.0,263.0,340.0,263.0,367.0,222.0
9677.0,10760.0,8439.0,7262.0,11693.0,8158.0
,,,,,
0.0,0.0,36.0,35.0,0.0,0.0
0.0,0.0,265.0,239.0,0.0,0.0
5.0,7.0,7.0,7.0,8.0,7.0
2613.0,2872.0,3872.0,3725.0,4023.0,2253.0
14725.0,13994.0,27080.0,24142.0,13487.0,12349.0
