bin,comparable_rental_1_building_classification,_comparable_rental_1_boro_block_lot,comparable_rental_2_neighborhood,brooklyn_condominium_property_neighborhood,brooklyn_condominium_property_market_value_per_sqft,comparable_rental_2_address,comparable_rental_2_market_value_per_sqft,comparable_rental_1_gross_income_per_sqft
3393894.0,D5-ELEVATOR,3-02764-0008,WILLIAMSBURG-EAST,GREENPOINT,109.0,68 RICHARDSON STREET,136.0,28.7
3323172.0,D9-ELEVATOR,3-02412-0027,WILLIAMSBURG-SOUTH,WILLIAMSBURG-SOUTH,43.2,286 SOUTH 2 STREET,75.0,19.02
3133700.0,D9-ELEVATOR,3-02145-0018,BEDFORD STUYVESANT,BOROUGH PARK,148.0,640 LAFAYETTE AVENUE,138.0,18.02
3388220.0,C7-WALK-UP,3-00936-0008,PARK SLOPE,PARK SLOPE,94.0,325 1 STREET,98.0,23.19
3196296.0,C7-WALK-UP,3-00714-0044,,BRIGHTON BEACH,64.0,,,16.69
3387922.0,D1-ELEVATOR,3-01637-0001,CLINTON HILL,BOROUGH PARK,114.0,92 GATES AVENUE,98.0,29.0
3329552.0,C1-WALK-UP,3-05707-0059,,BOROUGH PARK,47.1,,,13.28
3026638.0,C1-WALK-UP,3-01087-0023,PARK SLOPE,PARK SLOPE SOUTH,103.0,558 7 STREET,103.0,25.5
3397575.0,D1-ELEVATOR,3-01091-0040,CLINTON HILL,SUNSET PARK,88.0,92 GATES AVENUE,98.0,22.04
3329040.0,C7-WALK-UP,3-05570-0001,CLINTON HILL,BENSONHURST,89.0,98 GRAND AVENUE,92.0,11.56
3348705.0,D9-ELEVATOR,3-02145-0018,BRIGHTON BEACH,BRIGHTON BEACH,89.0,3160 CONEY ISLAND AVENUE,43.8,18.02
3020044.0,C1-WALK-UP,3-00965-0071,PARK SLOPE,PARK SLOPE,69.0,118 GARFIELD PLACE,70.0,23.59
3197094.0,C1-WALK-UP,3-01149-0006,,MADISON,83.0,,,28.4
3391456.0,C7-WALK-UP,3-05545-0047,,BOROUGH PARK,71.0,,,14.93
3329554.0,C1-WALK-UP,3-02073-0033,FORT GREENE,FORT GREENE,68.0,162 ADELPHI STREET,65.0,17.31
3392803.0,C1-WALK-UP,3-01149-0006,,MADISON,85.0,,,28.4
3.40e+06,D1-ELEVATOR,3-05279-0043,OCEAN PARKWAY-NORTH,OCEAN PARKWAY-NORTH,112.0,1320 CONEY ISLAND AVENUE,58.0,21.27
3339139.0,C1-WALK-UP,3-01824-0070,,CANARSIE,113.0,,,24.12
3256345.0,C1-WALK-UP,3-02494-0026,WILLIAMSBURG-SOUTH,WILLIAMSBURG-NORTH,72.0,209 SOUTH 3 STREET,46.4,21.82
3054756.0,C1-WALK-UP,3-01866-0021,BEDFORD STUYVESANT,BEDFORD STUYVESANT,71.0,614 MARCY AVENUE,104.0,16.1
3390791.0,D1-ELEVATOR,3-01637-0001,,BEDFORD STUYVESANT,139.0,,,29.0
3332581.0,C7-WALK-UP,3-01464-0043,MIDWOOD,MIDWOOD,40.4,918 EAST 15 STREET,34.2,11.2
339243800.00%,D1-ELEVATOR,3-02368-0029,WILLIAMSBURG-SOUTH,WILLIAMSBURG-NORTH,70.0,279 SOUTH 1 STREET,36.3,18.82
3350125.0,C1-WALK-UP,3-01043-0001,,GRAVESEND,97.0,,,22.76
3059499.0,D7-ELEVATOR,3-02130-0017,WILLIAMSBURG-SOUTH,WILLIAMSBURG-SOUTH,86.0,247 SOUTH 3 STREET,44.3,22.22
3256092.0,D9-ELEVATOR,3-02305-0018,WILLIAMSBURG-EAST,WILLIAMSBURG-CENTRAL,71.0,740 GRAND STREET,68.0,33.4
3387577.0,C1-WALK-UP,3-01789-0033,,BEDFORD STUYVESANT,141.0,,,29.6
3340277.0,C7-WALK-UP,3-05892-0041,,CANARSIE,42.1,,,16.38
3392416.0,D1-ELEVATOR,3-01081-0043,PARK SLOPE,PARK SLOPE,91.0,150 PROSPECT PARK WEST,105.0,20.43
3389357.0,D9-ELEVATOR,3-02409-0015,WILLIAMSBURG-SOUTH,WILLIAMSBURG-CENTRAL,89.0,260 SOUTH 1 STREET,44.0,21.07
3255748.0,C1-WALK-UP,3-00925-0019,BOROUGH PARK,BOROUGH PARK,100.0,873 45 STREET,68.0,19.13
3062332.0,D9-ELEVATOR,3-02408-0038,WILLIAMSBURG-SOUTH,WILLIAMSBURG-NORTH,27.0,276 SOUTH 1 STREET,44.6,21.2
3378374.0,D7-ELEVATOR,3-02130-0017,WILLIAMSBURG-SOUTH,WILLIAMSBURG-CENTRAL,88.0,318 GRAND STREET,118.0,22.22
3388304.0,C1-WALK-UP,3-01909-0011,MADISON,MADISON,41.4,2992 NOSTRAND AVENUE,29.6,19.53
3033569.0,C1-WALK-UP,3-01185-0052,CROWN HEIGHTS,CROWN HEIGHTS,39.6,658 MONTGOMERY STREET,39.8,10.15
3320065.0,C4-WALK-UP,3-01979-0039,CLINTON HILL,CLINTON HILL,48.9,83 CLIFTON PLACE,53.0,11.06
