brooklyn_condominium_property_address,comparable_rental_1_full_market_value,comparable_rental_2_dist_from_coop_in_miles,comparable_rental_2_gross_sqft,comparable_rental_2_boro_block_lot
400 OCEAN PARKWAY,9220000,,,
415 CARLTON AVENUE,945000,0.5,14604.0,3-02073-0035
153/-59 BAY 26 STREET,1020000,0.5,78063.0,3-06463-0012
273 ALBANY AVENUE,869000,0.95,13200.0,3-01281-0009
284 20 STREET,454000,1.2,15000.0,3-00740-0006
1642 WEST 9 STREET,2540000,5.0,24150.0,3-00376-0023
416 BEDFORD AVENUE,646000,0.3,19422.0,3-02433-0018
1405 8 AVENUE,1340000,0.6,15140.0,3-01041-0011
202 QUENTIN ROAD,991000,,,
169 ENGERT AVENUE,2470000,0.3,57927.0,3-02658-0026
50 BRIDGE STREET,5260000,0.2,50457.0,3-00051-0012
60 STATE STREET,3140000,0.45,13104.0,3-00208-0506
622 FOSTER AVENUE,800000,,,
25 MESEROLE STREET,570000,1.25,6400.0,3-03166-0035
420 CLASSON AVENUE,1970000,0.25,11356.0,3-01979-0039
461 FLUSHING AVENUE,2450000,0.9,23400.0,3-02408-0007
42 TIFFANY PLACE,2340000,0.6,19622.0,3-00265-0050
1865 52 STREET,834000,,,
297 DRIGGS AVENUE,4430000,0.8,48000.0,3-02789-0011
125 NORTH 10 STREET,16400000,,,
1569 WEST 7 STREET,1390000,,,
420 64 STREET,868000,4.25,71470.0,3-01959-0027
260 SKILLMAN STREET,1510000,,,
551 FLUSHING AVENUE,646000,0.7,21197.0,3-02424-0012
2 LEE AVENUE,16400000,2.05,107000.0,3-03303-0001
610 UNION AVENUE,1300000,0.65,20430.0,3-02437-0003
609 MYRTLE AVENUE,3420000,2.3,35298.0,3-01093-0038
134 SOUTH 9 STREET,963000,0.2,26631.0,3-02130-0017
144 NORTH 8 STREET,3480000,1.05,57927.0,3-02658-0026
4721 8 AVENUE,1420000,2.35,29700.0,3-06558-0008
2523 OCEAN AVENUE,717000,,,
72 BERRY STREET,2450000,0.75,28800.0,3-02412-0027
126 STERLING PLACE,477000,0.55,14348.0,3-01173-0070
