hh_id,person_id,micromobility_devices_206,no_freq_bike_nyc_1,no_freq_bike_nyc_5,school_park_loc,no_bike_share_8,bike_purp_997,disability_follow_5,num_jobs,r_work_mode,num_trips,harassment_change_7,ethnicity_997,work_mode_bus,no_bike_nyc_5,work_in_region,harassment_change_6,kid_mode_own,job_type,r_age,citi_bike_type,r_student,is_participant,school_park_amount,race_3,no_freq_bike_nyc_4,ethnicity_1,race_5,school_type,no_bike_share_1,race_4,share_1,wfh_policy,ethnicity_4,bike_purp_6,no_bike_nyc_3,no_bike_nyc_7,disability_follow_3,work_cms_zone,ethnicity_999,bike_purp_1,bike_purp_3,no_freq_bike_nyc_6,r_race,race_999,second_home_in_region,can_drive,student,work_county,micromobility_devices_207,race_1,work_mode_ferry,gender,relationship,share_5,no_freq_bike_nyc_3,micromobility_devices_204,work_scooter_park,micromobility_devices_205,school_freq,harassment_change_5
22002583,2200258301,0,995,995,995,0,0,995,995,995,31,0,0,995,995,995,0,995,995,2,995,3,1,,0,995,0,0,995,0,0,1,995,0,0,995,995,995,995,0,0,1,995,999,1,0,3,2,,0,0,995,1,0,0,995,0,995,0,995,0
22053075,2205307501,0,1,0,995,995,0,995,1,105,2,0,0,995,995,1,0,995,5,2,1,3,1,,0,0,1,1,995,995,0,1,996,0,0,995,995,995,4,0,1,1,1,5,0,0,1,2,36061.0,0,0,995,2,0,0,0,0,995,0,995,0
22044496,2204449601,0,995,995,995,995,0,995,1,103,7,0,0,995,995,1,0,995,5,3,1,3,1,,0,995,1,1,995,995,0,1,3,0,1,995,995,995,4,0,1,1,995,5,0,0,1,2,36061.0,0,0,995,2,0,0,995,0,995,0,995,0
22023215,2202321501,0,995,995,995,995,995,995,995,995,28,995,0,995,0,995,995,995,995,3,995,3,1,,0,995,0,0,995,995,0,0,995,0,995,0,0,995,995,0,995,995,995,6,0,0,1,2,,0,0,995,1,0,0,995,0,995,0,995,995
22060260,2206026001,0,995,995,995,995,995,995,1,995,16,0,0,995,0,995,0,995,3,3,995,3,1,,0,995,1,1,995,995,0,1,995,0,995,0,1,995,995,0,995,995,995,5,0,0,1,2,,0,0,995,2,0,0,995,0,995,0,995,0
22042302,2204230201,0,995,995,995,0,0,995,1,1,23,995,0,995,995,1,995,995,1,2,995,1,1,,1,995,1,0,12,0,0,1,1,0,0,995,995,995,4,0,0,0,995,2,0,0,1,0,36061.0,0,0,995,2,0,0,995,0,995,0,3,995
22006248,2200624801,0,995,995,995,0,0,995,1,105,4,995,0,995,995,995,995,995,2,2,995,3,1,,0,995,0,0,995,0,0,1,1,0,0,995,995,995,995,0,0,1,995,3,0,1,1,2,,0,1,995,2,0,0,995,0,995,0,995,995
22051924,2205192401,0,0,0,995,995,0,995,1,105,2,0,0,995,995,1,0,995,5,3,1,3,1,,0,0,1,1,995,995,0,1,996,0,0,995,995,995,4,0,0,1,1,5,0,0,1,2,36061.0,0,0,995,2,0,0,0,0,995,0,995,0
22064188,2206418801,0,995,995,995,995,995,995,995,995,0,995,0,995,0,995,995,995,995,4,995,3,1,,0,995,0,0,995,995,0,0,995,0,995,0,0,995,995,1,995,995,995,3,0,0,1,2,,0,1,995,1,0,0,995,0,995,0,995,995
22044940,2204494001,0,1,0,995,995,0,0,1,995,21,0,0,995,995,995,0,995,3,3,1,3,1,,0,0,1,1,995,995,0,1,995,0,0,995,995,0,995,0,0,1,0,5,0,0,1,2,,0,0,995,1,0,0,0,0,995,0,995,0
22045410,2204541001,0,0,0,995,995,0,995,1,995,2,0,0,995,995,995,0,995,995,2,4,3,1,,0,0,0,0,995,995,0,1,995,0,0,995,995,995,995,0,0,1,0,6,0,0,3,2,,0,0,995,2,0,0,0,0,995,0,995,0
22045226,2204522601,0,995,995,995,995,995,995,995,995,38,995,0,995,0,995,995,995,995,4,995,3,1,,0,995,1,0,995,995,0,1,995,0,995,0,0,995,995,0,995,995,995,3,0,0,1,2,,0,1,995,1,0,0,995,0,995,0,995,995
22051353,2205135301,0,995,995,995,995,995,995,1,105,63,0,0,995,0,1,0,995,5,2,995,3,1,,0,995,0,0,995,995,0,1,6,0,995,0,0,995,4,1,995,995,995,999,1,0,1,2,36061.0,0,0,995,1,0,0,995,0,995,0,995,1
22014046,2201404601,0,995,995,995,995,995,995,995,995,48,995,0,995,0,995,995,995,995,3,995,2,1,,0,995,0,0,11,995,0,1,995,0,995,0,0,995,995,0,995,995,995,3,0,0,3,3,,0,1,995,1,0,0,995,0,995,0,995,995
22005260,2200526001,0,995,995,995,995,995,995,995,995,55,995,0,995,0,995,995,995,995,3,995,3,1,,0,995,0,0,995,995,0,1,995,0,995,0,1,995,995,0,995,995,995,3,0,0,3,2,,0,1,995,1,0,0,995,0,995,0,995,995
22066050,2206605001,0,995,995,995,995,995,0,995,995,4,995,0,995,0,995,995,995,995,4,995,3,1,,0,995,1,1,995,995,0,0,995,0,995,0,0,1,995,0,995,995,995,5,0,0,1,2,,0,0,995,1,0,0,995,0,995,0,995,995
