council_district,program_address_1-office_wed_from_time
32.0,107-14 Liberty Avenue-nan
24.0,89-31 161st Street-9:00 AM
8.0,1968 2nd Avenue-9:00 AM
,336 Fort Washington-9:00 AM
45.0,1957 Nostrand Avenue-9:00 AM
8.0,205 East 122nd Street-9:00 AM
16.0,1130 Grand Concourse-9:00 AM
9.0,301 W 140th Street-9:00 AM
9.0,380 West 114 Street-9:00 AM
39.0,521 Ocean Parkway-9:00 AM
1.0,84 Stanton Street-9:00 AM
26.0,37-10 30th Street-9:00 AM
37.0,2924 Fulton Street-9:00 AM
27.0,163-18 Jamaica Avenue-9:00 AM
49.0,358 Saint Marks Place-9:00 AM
,444 Thomas S Boyland Street-9:00 AM
17.0,369 East 148th Street-nan
9.0,69 West 118th Street-9:00 AM
38.0,345 43rd Street-9:00 AM
,450 Saint Paul`s Place-9:00 AM
1.0,100 Hester Street-9:00 AM
9.0,689 Lenox Avenue-9:00 AM
,19-31 Mott Avnue-nan
15.0,2488 Grand Concourse-9:00 AM
28.0,133-25 Guy R. Brewer Boulevard-nan
42.0,1165 Rockaway Avenue-9:00 AM
24.0,89-56 162nd Street-nan
,2488 Grnad Concourse-9:00 AM
