marketplace_id,identifier,identifier_type,asin-_fivetran_synced
MPIDRANDOM,5947985,ASIN,B0E7STG9484-2024-04-12 06:55:44
MPIDRANDOM,5947986,EAN,B0E7STG1865-2024-07-11 07:45:16
MPIDRANDOM,5947987,GTIN,B0E7STG2877-2024-02-08 06:24:11
MPIDRANDOM,5947988,ISBN,B0E7STG3302-2024-07-31 11:21:12
MPIDRANDOM,5947989,JAN,B0E7STG6452-2024-01-27 16:13:49
MPIDRANDOM,5947990,MINSAN,B0E7STG1446-2025-01-19 09:21:28
MPIDRANDOM,5947991,SKU,B0E7STG1246-2024-09-24 01:51:33
MPIDRANDOM,5947992,UPC,B0E7STG6114-2024-12-29 02:34:50
MPIDRANDOM,5947993,ASIN,B0E7STG5396-2024-09-26 06:32:51
MPIDRANDOM,5947994,EAN,B0E7STG6463-2024-05-16 21:05:57
MPIDRANDOM,5947995,GTIN,B0E7STG1446-2024-07-28 14:39:31
MPIDRANDOM,5947996,ISBN,B0E7STG5396-2025-01-07 08:17:22
MPIDRANDOM,5947997,JAN,B0E7STG3434-2025-01-08 18:35:37
MPIDRANDOM,5947998,MINSAN,B0E7STG5263-2024-09-05 20:08:07
MPIDRANDOM,5947999,SKU,B0E7STG5688-2024-11-22 03:20:38
MPIDRANDOM,5948000,UPC,B0E7STG7997-2024-07-24 01:40:40
MPIDRANDOM,5948001,ASIN,B0E7STG6585-2024-03-05 02:17:25
MPIDRANDOM,5948002,EAN,B0E7STG2159-2024-12-10 17:41:12
MPIDRANDOM,5948003,GTIN,B0E7STG5684-2025-01-03 05:20:51
MPIDRANDOM,5948004,ISBN,B0E7STG6114-2024-10-11 00:58:35
MPIDRANDOM,5948005,JAN,B0E7STG6075-2024-02-21 23:11:58
MPIDRANDOM,5948006,MINSAN,B0E7STG7881-2024-05-21 13:25:55
MPIDRANDOM,5948007,SKU,B0E7STG8292-2024-11-26 15:25:26
MPIDRANDOM,5948008,UPC,B0E7STG8471-2024-03-13 07:24:00
MPIDRANDOM,5948009,ASIN,B0E7STG9249-2024-11-30 01:09:45
MPIDRANDOM,5948010,EAN,B0E7STG4870-2024-05-06 21:35:05
MPIDRANDOM,5948011,GTIN,B0E7STG6228-2024-03-28 19:37:20
MPIDRANDOM,5948012,ISBN,B0E7STG3370-2024-11-29 18:49:00
MPIDRANDOM,5948013,JAN,B0E7STG6880-2024-07-24 01:56:30
MPIDRANDOM,5948014,MINSAN,B0E7STG6108-2025-01-23 09:51:48
MPIDRANDOM,5948015,SKU,B0E7STG3881-2024-07-17 03:53:32
MPIDRANDOM,5948016,UPC,B0E7STG6463-2024-05-28 06:18:32
MPIDRANDOM,5948017,ASIN,B0E7STG1307-2024-02-26 09:55:37
MPIDRANDOM,5948018,EAN,B0E2STG2962-2024-03-20 22:27:43
MPIDRANDOM,5948019,GTIN,B0E7STG4686-2024-07-31 00:34:22
MPIDRANDOM,5948020,ISBN,B0E7STG7897-2024-04-03 06:52:49
MPIDRANDOM,5948021,JAN,B0E7STG1150-2024-02-13 00:20:27
