unnamed_column_1,q24_in_how_many_of_your_1,q33_i_feel_like_i_belong_1,q36_my_teachers_treat_me,q30_there_is_at_least_one,q42_in_how_many_of_your,q34_my_teachers_will_always,q49_i_feel_safe_in_my_classes_1,q4_my_teachers_use_examples,q32_there_is_time_at_school,q15_during_this_school_year_1,q49_i_feel_safe_in_my_classes,q54_at_this_school_students_1,q29_my_school_expects_all_1,q11_during_this_school_year,q14_during_this_school_year,q16_during_this_school_year_1,q59_if_you_are_a_student_1,q10_i_am_presented_with,q12_during_this_school_year,q35_my_teachers_always_do_1,q44_in_how_many_of_your_1,q5_i_see_people_of_many_races_1,q47_i_feel_safe_traveling,q55_at_this_school_students,q50_at_this_school_students_1,q53_at_this_school_students_1,q64_if_you_are_a_student_1,q63_if_you_are_a_student_1,q3_my_school_encourages_and,q19_in_how_many_of_your_1,q58_if_you_are_a_student_1,q38_when_my_teachers_tell,q6_at_this_school_we_have_1,q35_my_teachers_always_do,q15_during_this_school_year,q43_in_how_many_of_your_1,q18_in_how_many_of_your_1,q8_i_feel_that_my_teachers_1,q26_in_how_many_of_your,q13_during_this_school_year,q13_during_this_school_year_1,q41_in_how_many_of_your,q24_in_how_many_of_your,q23_in_how_many_of_your,q37_most_students_treat,q36_my_teachers_treat_me_1,unnamed_column_2,q5_i_see_people_of_many_races,q20_in_how_many_of_your
High School for Service & Learning at Erasmus,0.79,0.72,0.08,0.18,0.49,0.15,0.9,0.13,0.33,0.64,0.1,0.17,0.95,0.31,0.38,0.47,0.8,0.12,0.11,0.88,0.52,0.95,0.15,0.77,0.25,0.24,0.9,0.88,0.04,0.79,,0.14,0.87,0.13,0.36,0.43,0.88,0.92,0.22,0.34,0.66,0.43,0.21,0.2,0.13,0.92,0.3,0.05,0.19
Bronx Envision Academy,0.69,0.85,0.02,0.11,0.47,0.07,0.96,0.09,0.34,0.76,0.04,0.17,0.98,0.32,0.22,0.52,0.87,0.03,0.05,0.84,0.36,0.9,0.18,0.82,0.17,0.18,0.85,0.91,0.1,0.76,,0.08,0.86,0.16,0.24,0.4,0.82,0.98,0.25,0.31,0.69,0.49,0.31,0.23,0.09,0.98,0.52,0.1,0.29
The Urban Assembly School for Global Commerce,0.69,0.81,0.02,0.13,0.42,0.09,0.96,0.1,0.3,0.77,0.04,0.29,0.95,0.29,0.29,0.54,0.95,0.04,0.05,0.84,0.54,0.93,0.15,0.71,0.3,0.25,0.84,0.93,0.04,0.73,,0.05,0.93,0.16,0.23,0.46,0.8,0.99,0.27,0.26,0.74,0.45,0.31,0.2,0.16,0.98,0.43,0.07,0.3
Millennium Art Academy,0.68,0.86,0.03,0.14,0.49,0.03,0.97,0.04,0.31,0.72,0.03,0.17,1.0,0.24,0.35,0.55,0.78,0.07,0.03,0.88,0.45,0.92,0.18,0.87,0.18,0.14,0.8,0.89,0.04,0.83,,0.07,0.93,0.12,0.28,0.43,0.87,0.99,0.27,0.23,0.77,0.39,0.32,0.22,0.06,0.97,0.4,0.08,0.17
Business Technology Early College High School,0.71,0.86,0.03,0.1,0.44,0.07,0.97,0.1,0.22,0.68,0.03,0.16,0.97,0.2,0.29,0.45,0.9,0.06,0.05,0.89,0.61,0.92,0.11,0.83,0.19,0.17,0.88,0.94,0.05,0.82,,0.08,0.88,0.11,0.32,0.45,0.89,0.97,0.22,0.21,0.79,0.45,0.29,0.15,0.07,0.97,0.76,0.08,0.19
James Madison High School,0.53,0.84,0.04,0.18,0.44,0.14,0.96,0.14,0.39,0.7,0.04,0.27,0.92,0.28,0.3,0.56,0.83,0.06,0.07,0.79,0.36,0.92,0.1,0.72,0.29,0.24,0.8,0.92,0.09,0.74,,0.13,0.78,0.21,0.3,0.47,0.82,0.96,0.35,0.28,0.72,0.46,0.47,0.32,0.1,0.96,0.65,0.08,0.25
Community Voices Middle School,0.69,0.86,0.03,0.22,0.47,0.07,0.95,0.17,0.29,0.48,0.05,0.26,0.92,0.15,0.34,0.42,,0.13,0.04,0.9,0.46,0.93,0.11,0.87,0.32,0.26,,,0.07,0.77,0.89,0.1,0.87,0.1,0.52,0.46,0.87,0.97,0.24,0.19,0.81,0.44,0.31,0.23,0.13,0.97,0.24,0.07,0.27
Bushwick Community High School,0.91,0.94,0.02,0.08,0.57,0.0,0.97,0.02,0.08,0.51,0.03,0.04,1.0,0.11,0.63,0.4,0.94,0.0,0.0,0.94,0.38,0.96,0.06,0.94,0.08,0.08,0.95,0.96,0.02,0.96,,0.04,0.96,0.06,0.49,0.4,0.96,0.98,0.08,0.1,0.9,0.43,0.09,0.06,0.04,0.98,0.42,0.04,0.06
I.S. 281 Joseph B Cavallaro,0.68,0.85,0.06,0.23,0.54,0.11,0.93,0.08,0.25,0.63,0.07,0.26,0.92,0.18,0.37,0.49,,0.04,0.07,0.82,0.42,0.95,0.15,0.9,0.28,0.23,,,0.05,0.85,0.9,0.11,0.76,0.18,0.37,0.35,0.86,0.97,0.27,0.24,0.76,0.48,0.32,0.27,0.11,0.94,0.61,0.05,0.19
New Design High School,0.76,0.9,0.02,0.12,0.48,0.05,1.0,0.08,0.11,0.69,0.0,0.13,0.98,0.19,0.42,0.51,0.93,0.02,0.06,0.95,0.51,0.97,0.06,0.87,0.12,0.07,0.93,0.95,0.03,0.8,,0.04,0.97,0.05,0.31,0.44,0.92,0.99,0.16,0.23,0.77,0.37,0.24,0.12,0.04,0.98,0.33,0.03,0.2
J.H.S. 050 John D. Wells,0.79,0.88,0.04,0.18,0.42,0.08,0.97,0.09,0.3,0.6,0.03,0.19,0.94,0.16,0.36,0.41,,0.06,0.07,0.87,0.6,0.94,0.08,0.94,0.2,0.18,,,0.06,0.82,0.9,0.09,0.95,0.13,0.4,0.55,0.87,0.97,0.17,0.23,0.77,0.36,0.21,0.16,0.11,0.96,0.9,0.06,0.23
"High School for Law, Advocacy and Community Justice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,
