unnamed_column,q31_my_teachers_check_in,q25_in_how_many_of_your,q50_at_this_school_students,q63_if_you_are_a_student,q33_i_feel_like_i_belong,q48_i_feel_safe_in_the_1,q21_in_how_many_of_your_1,q6_at_this_school_we_have,q40_discipline_is_applied,q59_if_you_are_a_student,q46_i_feel_safe_outside_around,q7_in_general_my_teachers,q38_when_my_teachers_tell_1,q51_at_this_school_students,q8_i_feel_that_my_teachers,q9_in_general_my_teachers_1,q57_if_you_are_a_student,q9_in_general_my_teachers,q3_my_school_encourages_and_1,q7_in_general_my_teachers_1,q56_at_this_school_there_1,q48_i_feel_safe_in_the,q53_at_this_school_students,q43_in_how_many_of_your,q41_in_how_many_of_your_1,q14_during_this_school_year_1,q40_discipline_is_applied_1,q34_my_teachers_will_always_1,q19_in_how_many_of_your,q22_in_how_many_of_your_1,q47_i_feel_safe_traveling_1,q45_in_how_many_of_your_1,q28_i_m_learning_a_lot_in_1,q10_i_am_presented_with_1,q61_if_you_are_a_student,q29_my_school_expects_all,q51_at_this_school_students_1,q39_my_classes_at_this_school_1,q22_in_how_many_of_your,q56_at_this_school_there,q55_at_this_school_students_1,q1_most_students_at_this
12X211,0.22,0.2,0.54,,0.2,0.87,0.81,0.26,0.28,,0.19,0.13,0.89,0.79,0.04,0.81,0.06,0.19,0.86,0.87,0.11,0.13,0.56,0.55,0.51,0.57,0.72,0.85,0.22,0.59,0.91,0.82,0.93,0.92,,0.1,0.21,0.68,0.41,0.89,0.07,0.36
75M094,0.15,0.23,0.91,,0.0,0.89,0.92,0.0,0.08,,0.22,0.08,1.0,1.0,0.0,1.0,0.2,0.0,1.0,0.92,0.09,0.11,0.91,0.62,0.62,0.31,0.92,1.0,0.15,0.85,0.78,0.85,0.92,1.0,,0.0,0.0,0.83,0.15,0.91,0.09,0.0
03M485,0.41,0.49,0.81,0.11,0.13,0.93,0.79,0.22,0.19,0.33,0.07,0.07,0.88,0.91,0.03,0.78,,0.22,0.59,0.93,0.02,0.07,0.9,0.43,0.57,0.78,0.81,0.77,0.24,0.5,0.78,0.71,0.59,0.93,0.23,0.12,0.09,0.73,0.5,0.98,0.46,0.05
10X037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84K737,0.1,0.21,0.89,,0.11,1.0,0.9,0.07,0.0,,0.29,0.04,1.0,0.96,0.03,1.0,0.12,0.0,1.0,0.96,0.04,0.0,0.93,0.75,0.54,0.38,1.0,0.93,0.14,0.68,1.0,0.82,0.97,1.0,,0.07,0.04,0.96,0.32,0.96,0.04,0.12
24Q058,0.37,0.15,0.84,,0.11,0.95,0.88,0.47,0.13,,0.03,0.06,0.91,0.87,0.04,0.85,0.22,0.15,0.89,0.94,0.01,0.05,0.78,0.71,0.46,0.53,0.87,0.94,0.09,0.54,0.95,0.91,0.94,0.94,,0.13,0.13,0.7,0.46,0.99,0.0,0.11
09X525,0.14,0.24,0.71,0.11,0.16,0.96,0.83,0.11,0.07,0.17,0.13,0.05,0.97,0.8,0.01,0.8,,0.2,0.98,0.95,0.16,0.04,0.74,0.6,0.56,0.73,0.93,0.96,0.26,0.57,0.91,0.81,0.91,0.98,0.23,0.03,0.2,0.82,0.43,0.84,0.14,0.17
84M204,0.46,0.35,0.64,0.16,0.44,0.85,0.73,0.08,0.32,0.33,0.29,0.09,0.81,0.84,0.06,0.71,0.15,0.29,0.72,0.91,0.2,0.15,0.74,0.56,0.55,0.77,0.68,0.72,0.3,0.45,0.81,0.76,0.7,0.92,0.34,0.07,0.16,0.73,0.55,0.8,0.15,0.24
02M135,0.16,0.25,0.84,0.03,0.14,0.95,0.78,0.06,0.12,0.08,0.01,0.01,0.91,0.9,0.0,0.84,,0.16,0.95,0.99,0.11,0.05,0.84,0.51,0.57,0.71,0.88,0.96,0.28,0.58,0.85,0.8,0.78,0.95,0.08,0.04,0.1,0.86,0.42,0.89,0.13,0.08
06M187,0.44,0.37,0.78,,0.17,0.98,0.85,0.14,0.16,,0.02,0.02,0.84,0.9,0.0,0.79,0.15,0.21,0.86,0.98,0.02,0.02,0.77,0.57,0.48,0.76,0.84,0.8,0.22,0.54,0.98,0.79,0.82,0.97,,0.12,0.1,0.8,0.46,0.98,0.07,0.15
