location_name,_7_superintendent,_11_principal,_20_principal,_14_principal,location_category,_9_removals,_5_superintendent,_9_expulsions,_14_superintendent,_5_principal,_6_removals,_18_principal,_17_expulsions,_12_superintendent,_10_superintendent,_18_removals,_7_expulsions,_16_expulsions,_20_expulsions,_6_principal,_13_removals,_8_removals,_20_removals,_6_superintendent,_19_removals,_10_principal,_19_superintendent,_9_principal,_10_expulsions,_15_principal,_21_principal
Harry S Truman High School,R,R,R,13,High school,R,R,R,10,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,16,R
Brooklyn High School of the Arts,R,R,R,18,High school,R,R,R,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,16,R
P.S. 030 Wilton,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 015 Patrick F. Daly,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 102 Jacques Cartier,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,7,R,R,R,R,R,R,R,R,R
The Walton Avenue School,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 066 School of Higher Expectations,R,R,R,R,Elementary,R,R,R,R,R,6,R,R,R,R,R,R,R,R,R,R,8,R,R,R,6,R,R,R,R,R
Gotham Professional Arts Academy,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 125 Ralph Bunche,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Art and Design High School,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 89,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Bronx Aerospace High School,R,R,R,10,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,15,R
I.S. 289,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Astor Collegiate Academy,R,R,R,9,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,8,R
"James Baldwin School, The: A School for Expedition",R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Urban Assembly Institute of Math and Science for Y,R,R,R,R,Secondary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Bronx Park Middle School,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Pelham Academy of Academics and Community Engageme,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 226,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Landmark High School,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
"High School for Law, Advocacy and Community Justic",R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Inwood Early College for Health and Information Te,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
G. Westinghouse Evening H.S.,R,R,R,R,Ungraded,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
J.H.S. 167 Robert F. Wagner,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,21,R,R,R,R,R,R,R,R,R,R
P.S. 135 Sheldon A. Brookner,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 046 Edward C. Blum,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The New American Academy at Roberto Clemente State,R,R,R,R,Elementary,11,R,R,R,R,14,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Bronx Academy for Software Engineering (BASE),R,R,R,9,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,27,R
M.S. 297,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Professor Juan Bosch Public School,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
M.S. 582,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 049 Willis Avenue,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R
Cypress Hills Collegiate Preparatory School,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Brooklyn Institute for Liberal Arts,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Ebbets Field Middle School,R,R,R,10,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R,R,R,R,R,R
Leaders of Tomorrow,R,18,R,R,Junior High-Intermediate-Middle,R,R,R,7,R,R,R,R,15,R,R,R,R,R,R,11,R,R,R,R,R,R,R,R,R,R
Tompkins Square Middle School,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Ampark Neighborhood,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Mott Haven Community High School,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The Bronxwood Preparatory Academy,R,R,R,13,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,R
Bronx Collaborative High School,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The River School,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Bronx Compass High School,R,R,R,10,High school,R,R,R,R,R,R,14,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,7,R
P.S. 020 Anna Silver,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 200- The James Mccune Smith School,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Health Opportunities High School,R,R,R,9,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,19,R
I.S. 528 Bea Fuller Rodgers School,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
