objectid,site,councildist
118439,"Entertainers For Education Alliance, Inc.",36.0
118294,Candy Colored Girl,36.0
118347,Comic Book Jones,49.0
118960,St. Gregory the Great (Catholic Charities),35.0
118924,Sky Light Center,49.0
118212,Better Read Than Dead,34.0
119011,Supporting Our Mothers Initiative LLC,27.0
118308,Chameleon Comics,1.0
119051,The Night Shift,1.0
118695,Met Council Food Distribution Center,45.0
118432,Ellen,1.0
119099,Topos Bookstore Cafe,34.0
118558,HoGD Office,3.0
118454,Father & Son Merchandise,49.0
118150,Adventist Community Services,12.0
117702,,36.0
118457,Fernande Valme Ministries,40.0
118176,Applebee's Grill + Bar,51.0
118407,DSI International Inc.,23.0
118125,938 E 163 St,17.0
117958,24-11 150 St,19.0
118717,Mobile Midland,50.0
1.18e+05,,23.0
117895,183-14 Hillside Ave,23.0
119129,Unity Plaza Community Center,42.0
1.18e+05,1513 Forest Ave,49.0
118988,Staten Island Family Empowerment Project,49.0
119134,Urban Neighborhood Educational Technology for You,12.0
118262,Brooklyn Comic Shop,35.0
119090,Thirteen Crosby,1.0
119052,The NY Race Track Chaplaincy,
118431,Elias Mechanical Service,15.0
118331,City Harvest,38.0
118460,Finn Vintage,37.0
118487,Ft. Greene Greenmarket,34.0
118339,Clothing,49.0
118251,Broadway Thrift,22.0
118745,Mr. Throwback,2.0
1.18e+05,25 Mcguinness Blvd,33.0
117746,,4.0
118188,Atonement Lutheran Church,25.0
118626,LaGree Baptist Church,17.0
117969,250 E 139 St,8.0
118091,74-39 Jamaica Ave,32.0
118723,Mobile Pantry Gowanus,39.0
118987,Staten Island Animal Care Center,51.0
117717,,26.0
118574,House of Restoration Ministries,49.0
118137,A Repeat Performance,2.0
119126,"United Yes We Can, Unidos Si Se Puede",8.0
118883,Rough Trade NYC,33.0
118056,495 E 180 St,15.0
118502,Gotham City Games,47.0
118618,Justice Organization,31.0
117827,126-06 15 Ave,19.0
117789,1065 Beach Ave,18.0
118217,Bicycle Station,35.0
118740,Mount Hope,14.0
118843,PYRFC,49.0
117991,30-05 Whitestone Expy,20.0
118299,Castellanos House of Music,49.0
119156,Vintage Reserve LLC,2.0
118908,Shalom Senior Center Food Provider,40.0
118064,569 Wilson Ave,37.0
118101,784 Jamaica Ave,37.0
117799,1136 Ogden Ave,16.0
118421,East Village Vintage Collective,2.0
118267,Brooklyn Hot Meal Distribution,36.0
118681,Maribel's Clothing & Accessories,42.0
11918600.00%,Women's Facility,36.0
118255,Bronx Hot Meal Distribution,13.0
118165,Alliance for Positive Change,4.0
118655,LSA,8.0
119130,University Heights Educational c/o BCS,33.0
118981,St. Stephen's Episcopal Church,51.0
118749,Music Hall Fridge,33.0
118627,LaptopMD+,3.0
117722,,3.0
118479,Franklin,33.0
118871,Ridgewood Savings Bank,13.0
117890,179-02 Union Tpke,24.0
119047,The Mixtape Shop,36.0
118546,Hello Banana,2.0
118840,Project New Yorker,27.0
117770,,5.0
118143,Academy Records Brooklyn,33.0
118649,Love Covenant Church,31.0
118475,Fort Fridge,10.0
119009,Superior Elevation,34.0
119107,Trippinz,40.0
118263,Brooklyn Community Pride Center,36.0
118117,8913 Ditmas Ave,42.0
119026,The Bowery Mission Outreach Van,2.0
117918,20-49 Palmetto St,30.0
118771,New York Public Library  67th street Library,5.0
118853,"Reaching Out Community Services, Inc",38.0
118808,Our Lady of Solace Shrine,47.0
117893,181 Lexington Ave,36.0
118641,Lighthouse of Hope Outreach and Resource Center,41.0
118225,Black Spring Books,34.0
118010,33-34 21 St,22.0
118200,Beacon's Closet,39.0
118882,Rotten Island Records,1.0
118992,Stella Dallas,2.0
119155,Vintage in the Square,18.0
118252,Bronen's Music,15.0
119161,Wakefield,11.0
117798,1133 Ogden Ave,16.0
118173,Apple Bank,13.0
1.19e+05,St. Ann's of Morrisania,8.0
118760,New Dorp Lane,50.0
118879,Rock and Soul DJ Equipment and Records,4.0
118413,Earwax Records,33.0
118132,980 East 233 St,11.0
117941,2275-2375 Richmond Ave,51.0
119172,West Village Thrift Shop,3.0
118585,iFixScreens Greenwich Village,2.0
117767,,22.0
11815200.00%,African International Collaborative Center,12.0
118779,Norman,33.0
118357,Computer Sam,36.0
118798,Our Lady of Angels,47.0
118370,COUNTRY OF,1.0
117777,1 of a Find,35.0
118198,Beacon's Closet,34.0
119180,Williamsburg,34.0
118334,Clementine,2.0
118015,3501 Boston Rd,12.0
118857,Record Shop,38.0
119123,United Community Baptist Church,41.0
117978,265 Nagle Ave,10.0
118206,Bethel Evangelical Church,37.0
11892900.00%,Soho Thrift Shop,1.0
117945,229 Knickerbocker Ave,34.0
118872,RiseBoro Homecare Inc,34.0
117831,1267 Flatbush Ave,45.0
118614,Joseph Koch Inc. Comic Book Warehouse,38.0
118275,Brooklyn Video Games,43.0
117851,144-01 Hillside Ave,24.0
117846,1381 Atlantic Ave,36.0
118210,Bethel SDA Church,35.0
118494,God of Mercy Church,42.0
118386,Designer Optical of Pelham,13.0
118264,Brooklyn Food Pantry,45.0
119085,The Worthy Pause,19.0
118183,Arts on Site,2.0
119198,Yorkville Thrift Shop,5.0
118876,Riverside Church Food Pantry,7.0
118343,Colectivo Intercultural TRANSgradiendo,21.0
118415,East Harlem 3rd Avenue Store,8.0
118326,Church of Praise and Worship,41.0
1.18e+05,950 Allerton Ave,13.0
119114,Ujima Community Working Together Inc,37.0
117772,,19.0
1.19e+05,Mobile Norway,50.0
118804,Our Lady Of Mercy Church,41.0
118589,India Home Inc,24.0
118687,Materials for the Arts,26.0
118757,Nest Music,12.0
117690,,50.0
118648,Los Redimidos en la Sangre de Cristo,15.0
1.18e+05,Bike Plant,36.0
118146,Act of Faith Ministries,34.0
118189,AuH2O,2.0
118226,"BLACK WOMEN'S BLUEPRINT, INC",35.0
118972,St. Mary's Development Center for Children and Fam,8.0
118097,762 Sheffield Ave,42.0
118289,Calvary's Mission,29.0
118570,Hope Gardens Multi-Service Senior Center,37.0
119016,TDF,26.0
118998,Steven's Jewelry,18.0
118077,647 Fulton St,35.0
118085,71-30 Beach Channel Dr,31.0
117990,30-05 Whitestone Expressway,20.0
118994,Sterling Bank,22.0
