objectid,latitude,:@computed_region_efsh_h5xi,bbl,longitude-partnerstatus,address-dsny_district
117844,40.607027,20529.0,4156590018.0,-73.754911-nan,"13-61 Beach Channel Dr, Queens, NY 11691, USA-QE14"
118187,40.675738,13516.0,3014370008.0,-73.905348-nan,"2402 Atlantic Avenue, Brooklyn, NY, USA-BKN16"
117728,40.768697,12081.0,,-73.991818-nan,nan-MN04
117919,40.707474,24338.0,4109120030.0,-73.751624-nan,"205-33 Hollis Ave, Hollis, NY 11423, USA-QE12"
119194,40.572934,10693.0,,-74.129868-nan,Business has no physical store-SI03
118281,40.699299,18181.0,3032340042.0,-73.924432-nan,"1377 Dekalb Avenue, Brooklyn, NY, USA-BKN04"
119079,40.733265,18182.0,3025220045.0,-73.954976-nan,"1001 Manhattan Avenue, Brooklyn, NY 11222, USA-BKN01"
118164,40.749979,11722.0,1008360007.0,-73.986751-nan,"64 West 35th Street, New York, NY 10001, USA-MN05"
118678,40.82757,10934.0,2026130040.0,-73.904912-nan,"1101 Boston Road, Bronx, NY 10456, USA-BX03"
118538,40.815619,10929.0,2023400221.0,-73.925557-nan,"226 E 144th St, Bronx, NY 10451, USA-BX01"
118956,40.850784,11270.0,2042690042.0,-73.856932-nan,"1918 Paulding Ave, The Bronx, NY 10461, USA-BX11"
118848,40.73883,12074.0,1006187503.0,-74.000977-nan,"218 West 14th Street, New York, NY, USA-MN02"
119130,40.736295,18182.0,3024727502.0,-73.959295-nan,"5 Blue Slip, Brooklyn, NY, USA-BKN01"
118987,40.527919,10696.0,5075270017.0,-74.237856-nan,"3139 Veterans Road West, Staten Island, NY 10309, USA-SI03"
118225,40.714443,17613.0,3023660028.0,-73.959471-nan,"672 Driggs Avenue, Brooklyn, NY, USA-BKN01"
118073,40.61133,10691.0,5006260008.0,-74.088918-nan,"629 Richmond Rd, Staten Island, NY, USA-SI01"
118466,40.754394,14190.0,4051927504.0,-73.821624-nan,"14032 Cherry Ave, NY, New York 11355, USA-QE07"
118549,40.761673,16860.0,4007140183.0,-73.910837-nan,"4508 30th Ave, Long Island City, NY 11103, USA-QW01"
118315,40.719664,17613.0,3023180001.0,-73.96002-nan,"135 Wythe Avenue, Brooklyn, NY, USA-BKN01"
118390,40.75308,12080.0,1008140019.0,-73.987024-nan,"1400 Broadway, New York, NY, USA-MN05"
118244,40.685128,18181.0,3016560005.0,-73.932181-nan,"277 Stuyvesant Avenue, Brooklyn, NY 11221, USA-BKN03"
118331,40.648279,13515.0,3008047501.0,-74.018842-Partner,"150 52nd Street, Brooklyn, NY, USA-BKS07"
117761,40.672213,17615.0,,-73.938921-nan,Business has no physical store-BKN08
11815200.00%,40.878736,11605.0,2046570107.0,-73.864074-nan,"726 E 213th St, Bronx, NY 10467, USA-BX12"
1.18127E+5,40.865275,11607.0,2044470062.0,-73.859067-nan,"950 Allerton Avenue, The Bronx, NY, USA-BX11"
119084,40.684858,17618.0,3018240046.0,-73.944489-nan,"368 Tompkins Avenue, Brooklyn, NY, USA-BKN03"
118534,40.815423,13095.0,1017350001.0,-73.939335-nan,"540 Lenox Ave, New York, NY 10037, USA-MN10"
118673,40.8045,13093.0,1017747503.0,-73.93708-nan,"145 E 125th St, New York, NY 10035, USA-MN11"
119179,40.718334,17613.0,3023050018.0,-73.955283-nan,"504 Driggs Ave, Brooklyn, NY 11211, USA-BKN01"
118420,40.730741,11724.0,1004530007.0,-73.985834-nan,"186 2nd Avenue, New York, NY 10003, USA-MN03"
118270,40.674751,17617.0,3009800008.0,-73.987844-nan,"232 3rd Street, Brooklyn, NY, USA-BKS06"
118386,40.856464,11271.0,2043180024.0,-73.867403-nan,"2196a White Plains Rd, The Bronx, NY 10462, USA-BX11"
117708,40.704774,17213.0,,-73.94186-nan,nan-BKN01
118975,40.752604,16858.0,4003980039.0,-73.935852-nan,"39-38 29th St, Long Island City, NY 11101, USA-QW01"
119151,40.726365,12075.0,1005030015.0,-74.002186-nan,"125 Sullivan St, New York, NY 10012, USA-MN02"
118090,40.654813,16866.0,3046560046.0,-73.93031-nan,"741 Utica Avenue, Brooklyn, NY, USA-BKN17"
118370,40.715165,11723.0,1002970022.0,-73.990268-nan,"13 Essex Street, New York, NY, USA-MN03"
118634,40.713637,17613.0,3027620021.0,-73.947968-nan,"81 Devoe Street, Brooklyn, NY, USA-BKN01"
119159,40.714022,11723.0,1002850021.0,-73.987782-nan,"207-209 East Broadway, New York, NY, USA-MN03"
