dbn,school_name,ell_bengali_1,ell_french_1,ela_level_2_1,ell_other_2,grade_7,black_1,ell_spanish_2,special_program,math_level_1_1,ell_haitian_creole_2,ell_chinese_1,male_1,ela_level_4_1,hispanic_1,ela_level_3_2,grade_3,ela_l3_l4_1,ela_level_2_2,ela_level_4_2,grade_1,ela_l3_l4_2,total_enrollment
09X088,P.S. X088 - S. Silverstein Little Sparrow School,s,s,No Data,s,No Data,s,s,Dual Language,No Data,s,s,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,s
20K200,P.S. 200 Benson School,s,s,s,32.0%,No Data,s,s,Dual Language,s,s,s,16,s,s,s,9,s,s,s,s,s,25
06M311,Amistad Dual Language School,No Data,No Data,97,No Data,s,s,No Data,Dual Language,76,No Data,No Data,119,16,241,27.1%,38,75,44.5%,7.3%,s,34.4%,262
19K345,P.S. 345 Patrolman Robert Bolden,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,s
06M048,P.S. 048 P.O. Michael J. Buczek,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,16,s,26,s,s,s,s,s,s,s,26
17K705,Brooklyn Arts and Science Elementary School,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,s
18K244,P.S. 244 Richard R. Green,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s
02M042,P.S. 042 Benjamin Altman,s,s,s,s,No Data,s,s,Dual Language,s,s,s,s,s,s,s,No Data,s,s,s,No Data,s,s
06M328,Community Math & Science Prep,No Data,No Data,s,No Data,s,s,No Data,Dual Language,s,No Data,No Data,s,s,6,s,No Data,s,s,s,No Data,s,6
09X449,Grant Avenue Elementary School,s,s,s,s,No Data,s,100.0%,Dual Language,s,s,s,s,s,12,s,s,s,s,s,No Data,s,12
12X463,Urban Scholars Community School,s,s,s,s,No Data,s,100.0%,Dual Language,s,s,s,13,s,22,s,s,s,s,s,s,s,22
09X073,P.S. 073 Bronx,No Data,No Data,15,No Data,No Data,s,No Data,Dual Language,43,No Data,No Data,69,s,132,s,19,s,28.8%,s,23,s,132
20K030,P.S./I.S. 30 Mary White Ovington,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s
04M206,P.S. 206 Jose Celso Barbosa,No Data,No Data,6,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,10,s,s,s,60.0%,s,No Data,s,10
27Q183,P.S. 183 Dr. Richard R. Green,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s
06M153,P.S. 153 Adam Clayton Powell,No Data,No Data,s,No Data,No Data,7,No Data,Dual Language,7,No Data,No Data,15,s,26,s,8,s,s,s,8,s,33
21K238,P.S. 238 Anne Sullivan,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,10,No Data,No Data,No Data,No Data,No Data,s,No Data,11
13K009,P.S. 009 Teunis G. Bergen,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,s,s,s,s,No Data,s,s
09X325,Urban Science Academy,No Data,No Data,s,No Data,s,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s
21K101,P.S. 101 The Verrazano,s,s,No Data,s,No Data,s,s,Dual Language,No Data,s,8,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,8
14K380,P.S. 380 John Wayne Elementary,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
06M098,P.S. 098 Shorac Kappock,s,s,s,s,No Data,s,100.0%,Dual Language,19,s,s,19,s,34,s,s,s,s,s,No Data,s,35
03M165,P.S. 165 Robert E. Simon,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,8,s,14,s,s,s,s,s,s,s,15
24Q016,P.S. Q016 The Nancy DeBenedittis School,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,9,s,s,s,s,s,s,s,9
11X370,Leaders of Tomorrow,No Data,No Data,s,No Data,s,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,No Data,s,s,s,No Data,s,6
09X109,P.S. 109 Sedgwick,s,s,s,s,No Data,s,100.0%,Dual Language,18,s,s,33,s,69,s,13,s,s,s,No Data,s,69
03M084,P.S. 084 Lillian Weber,No Data,No Data,25,No Data,No Data,13,No Data,Dual Language,s,No Data,No Data,105,47,73,35.0%,54,90,20.3%,38.2%,30,73.2%,220
23K298,P.S. 298 Dr. Betty Shabazz,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,s
08X448,Soundview Academy for Culture and Scholarship,No Data,No Data,40,No Data,26,s,No Data,Dual Language,32,No Data,No Data,35,s,86,s,No Data,s,49.4%,s,No Data,s,87
25Q020,P.S. 020 John Bowne,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,22,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,43
04M072,The Lexington Academy,No Data,No Data,10,No Data,No Data,s,No Data,Dual Language,14,No Data,No Data,21,s,45,s,15,s,41.7%,s,No Data,s,47
06M018,P.S. 018 Park Terrace,No Data,No Data,36,No Data,38,s,No Data,Dual Language,59,No Data,No Data,57,s,89,s,No Data,s,41.9%,s,No Data,s,90
24Q061,I.S. 061 Leonardo Da Vinci,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s
03M247,M.S. M247 Dual Language Middle School,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s
03M084,P.S. 084 Lillian Weber,No Data,No Data,14,No Data,No Data,7,No Data,Dual Language,s,No Data,No Data,34,s,41,25.0%,14,s,43.8%,s,10,s,67
14K196,P.S. 196 Ten Eyck,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,33,No Data,59,No Data,No Data,No Data,No Data,No Data,16,No Data,62
06M348,Washington Heights Expeditionary Learning School,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,10,No Data,21,No Data,No Data,No Data,No Data,No Data,10,No Data,23
14K084,P.S. 084 Jose De Diego,s,s,11,s,s,s,98.1%,Dual Language,23,s,s,20,s,50,s,s,s,36.7%,s,6,s,52
10X396,P.S. 396,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,s
06M132,P.S. 132 Juan Pablo Duarte,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,6,s,s,s,s,s,No Data,s,6
06M128,P.S. 128 Audubon,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,8,No Data,No Data,No Data,No Data,No Data,s,No Data,8
06M513,Castle Bridge School,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,30,s,37,s,12,s,s,s,s,s,45
15K497,The Boerum Hill School for International Studies,No Data,No Data,s,No Data,s,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s
13K113,M.S. 113 Ronald Edmonds Learning Center,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s
04M112,P.S. 112 Jose Celso Barbosa,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,16,No Data,No Data,No Data,No Data,No Data,s,No Data,16
26Q173,P.S. 173 Fresh Meadows,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,s
19K108,P.S. 108 Sal Abbracciamento,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,No Data,s,s,s,s,s,s
04M372,Esperanza Preparatory Academy,No Data,No Data,s,No Data,s,s,No Data,Dual Language,9,No Data,No Data,s,s,10,s,No Data,s,s,s,No Data,s,10
06M132,P.S. 132 Juan Pablo Duarte,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,s
11X103,P.S. 103 Hector Fontanez,s,s,No Data,s,No Data,s,100.0%,Dual Language,No Data,s,s,10,No Data,15,No Data,No Data,No Data,No Data,No Data,No Data,No Data,17
11X087,P.S. 087 Bronx,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,s,s,s,s,No Data,s,s
26Q046,P.S. 046 Alley Pond,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s
06M348,Washington Heights Expeditionary Learning School,s,s,No Data,s,No Data,s,97.4%,Dual Language,No Data,s,s,12,No Data,37,No Data,No Data,No Data,No Data,No Data,8,No Data,38
11X121,P.S. 121 Throop,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
13K003,P.S. 003 The Bedford Village,No Data,No Data,No Data,No Data,No Data,9,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,9
14K147,P.S. 147 Isaac Remsen,s,s,No Data,s,No Data,s,s,Dual Language,No Data,s,s,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,s
20K176,P.S. 176 Ovington,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
04M182,The Bilingual Bicultural School,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,12,No Data,18,No Data,No Data,No Data,No Data,No Data,s,No Data,18
04M096,P.S. 096 Joseph Lanzetta,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,9,s,6,s,s,s,No Data,s,12
01M020,P.S. 020 Anna Silver,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,9,s,7,s,6,s,s,s,7,s,21
19K089,P.S. 089 Cypress Hills,s,s,35,s,26,s,100.0%,Dual Language,106,s,s,102,s,185,s,21,s,29.9%,s,15,s,189
14K157,P.S./I.S. 157 The Benjamin Franklin Health & Scien,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,12,No Data,17,No Data,No Data,No Data,No Data,No Data,No Data,No Data,23
10X205,P.S. 205 Fiorello Laguardia,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
13K003,P.S. 003 The Bedford Village,s,s,No Data,s,No Data,s,s,Dual Language,No Data,s,s,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,6
03M208,P.S. 208 Alain L. Locke,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s
14K414,Brooklyn Arbor Elementary School,No Data,No Data,7,No Data,No Data,s,No Data,Dual Language,8,No Data,No Data,26,s,43,37.5%,14,s,29.2%,s,16,s,54
09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magne,No Data,No Data,246,No Data,95,46,No Data,Dual Language,215,No Data,No Data,483,52,883,23.2%,110,193,40.5%,8.6%,127,31.8%,975
06M128,P.S. 128 Audubon,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,18,No Data,41,No Data,No Data,No Data,No Data,No Data,10,No Data,41
16K627,Brighter Choice Community School,s,s,No Data,s,No Data,s,s,Dual Language,No Data,s,s,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,s
09X035,P.S. 035 Franz Siegel,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
14K147,P.S. 147 Isaac Remsen,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,6,s,s,s,s,s,s,s,14
17K189,P.S. 189 The Bilingual Center,s,s,17,s,s,16,64.4%,Dual Language,10,33.3%,s,28,s,29,s,s,s,45.9%,s,s,s,45
04M072,The Lexington Academy,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,7,No Data,No Data,s,s,17,s,s,s,s,s,No Data,s,17
04M112,P.S. 112 Jose Celso Barbosa,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,28,No Data,44,No Data,No Data,No Data,No Data,No Data,13,No Data,44
04M372,Esperanza Preparatory Academy,No Data,No Data,27,No Data,29,s,No Data,Dual Language,36,No Data,No Data,29,s,55,s,No Data,s,48.2%,s,No Data,s,57
12X458,Samara Community School,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,7,No Data,11,No Data,No Data,No Data,No Data,No Data,s,No Data,13
24Q061,I.S. 061 Leonardo Da Vinci,s,s,6,s,No Data,s,100.0%,Dual Language,17,s,s,13,s,26,s,No Data,s,23.1%,s,No Data,s,26
10X396,P.S. 396,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,s
03M247,M.S. M247 Dual Language Middle School,s,s,s,s,No Data,s,100.0%,Dual Language,s,s,s,s,s,8,s,No Data,s,s,s,No Data,s,8
17K705,Brooklyn Arts and Science Elementary School,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,13,s,s,s,s,s,s,s,14
01M378,School for Global Leaders,No Data,No Data,7,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,8,s,s,s,No Data,s,58.3%,s,No Data,s,14
05M046,P.S. 046 Arthur Tappan,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,s
02M131,M.S. 131,No Data,No Data,22,No Data,16,s,No Data,Dual Language,s,No Data,No Data,21,s,s,s,No Data,s,62.9%,s,No Data,s,36
03M165,P.S. 165 Robert E. Simon,No Data,No Data,26,No Data,8,s,No Data,Dual Language,36,No Data,No Data,90,13,173,28.6%,30,43,24.8%,12.4%,29,41.0%,195
01M020,P.S. 020 Anna Silver,s,s,s,s,No Data,s,s,Dual Language,s,s,38,16,s,s,s,10,s,s,s,18,s,45
03M180,P.S. 180 Hugo Newman,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
08X182,P.S. 182,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,s,s,s,s,No Data,s,s
19K214,P.S. 214 Michael Friedsam,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,6
06M178,Professor Juan Bosch Public School,No Data,No Data,7,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,8,s,21,s,s,s,70.0%,s,s,s,21
09X073,P.S. 073 Bronx,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,9,s,s,s,s,s,s,s,9
26Q162,P.S. 162 John Golden,s,s,No Data,s,No Data,s,s,Dual Language,No Data,s,s,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,s
10X246,P.S. 246 Poe Center,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
14K157,P.S./I.S. 157 The Benjamin Franklin Health & Scien,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
04M155,P.S. 155 William Paca,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,22,No Data,45,No Data,No Data,No Data,No Data,No Data,27,No Data,45
10X023,P.S. 023 The New Children's School,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,s
24Q013,P.S. 013 Clement C. Moore,s,s,No Data,s,No Data,s,94.4%,Dual Language,No Data,s,s,17,No Data,34,No Data,No Data,No Data,No Data,No Data,s,No Data,36
15K058,P.S. 058 The Carroll,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,s,s,s,s,s,s,8
06M008,P.S. 008 Luis Belliard,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,13,s,s,s,s,s,s,s,13
17K249,P.S. 249 The Caton,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,12,s,19,s,s,s,s,s,s,s,19
21K228,I.S. 228 David A. Boody,No Data,No Data,s,No Data,s,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s
11X370,Leaders of Tomorrow,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s
24Q143,P.S. 143 Louis Armstrong,No Data,No Data,61,No Data,No Data,s,No Data,Dual Language,23,No Data,No Data,168,16,344,36.6%,62,79,35.5%,9.3%,59,45.9%,347
06M210,P.S./I.S. 210 - Twenty-first Century Academy for C,No Data,No Data,s,No Data,s,s,No Data,Dual Language,s,No Data,No Data,6,s,15,s,s,s,s,s,s,s,15
14K059,P.S. 059 William Floyd,No Data,No Data,s,No Data,No Data,6,No Data,Dual Language,s,No Data,No Data,s,s,7,s,s,s,s,s,s,s,13
09X311,Lucero Elementary School,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,10,s,No Data,s,s,s,s,s,12
03M075,P.S. 075 Emily Dickinson,No Data,No Data,27,No Data,No Data,17,No Data,Dual Language,19,No Data,No Data,85,7,144,24.4%,35,26,34.6%,9.0%,32,33.3%,174
14K250,P.S. 250 George H. Lindsay,s,s,No Data,s,No Data,s,s,Dual Language,No Data,s,s,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
15K516,Sunset Park Avenues Elementary School,s,s,No Data,s,No Data,s,100.0%,Dual Language,No Data,s,s,32,No Data,62,No Data,No Data,No Data,No Data,No Data,24,No Data,62
19K108,P.S. 108 Sal Abbracciamento,No Data,No Data,6,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,13,s,33,s,7,s,46.2%,s,7,s,33
23K298,P.S. 298 Dr. Betty Shabazz,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,s
13K003,P.S. 003 The Bedford Village,No Data,No Data,No Data,No Data,No Data,22,No Data,Dual Language,No Data,No Data,No Data,17,No Data,s,No Data,No Data,No Data,No Data,No Data,14,No Data,28
09X063,P.S. 063 Author's Academy,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,s
09X443,The Family School,No Data,No Data,23,No Data,No Data,s,No Data,Dual Language,15,No Data,No Data,54,s,123,s,17,s,36.5%,s,19,s,127
27Q090,P.S. 090 Horace Mann,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
10X390,M.S. 390,No Data,No Data,10,No Data,11,s,No Data,Dual Language,11,No Data,No Data,12,s,19,s,No Data,s,55.6%,s,No Data,s,19
