sctn_hus_no
1008
65
1895
2370
306
401
50
2861
315
2949
1609
50
159-64
829
306
433
1609
824
433
354
11
1350
401
829
120
132
865
3071
586
149
23
23
330
18
70
220
709
2949
1100
1839
35-35
2861
2957
40
920
2102
1785
1609
116-30
340
1815
2949
301
1895
467
23-03
2861
30
146
31
3071
132
791
2979
791
120
315
220
2201
67
120
433
250
154-02
75
412
3023
1815
433
420
2370
159-64
870
412
132
1817
575
1350
218
1815
433
50
40-25
30
120
250
40-25
1008
200
2075
2776
791
116-30
18
2370
870
875
120
159-70
875
709
412
401
23
120
306
70
300
1815
720
433
412
306
220
401
120
1100
180
2861
1785
132
586
50
67
2400
21
1815
132
2370
315
80
2370
1839
1785
2370
1370
2370
815
1330
65
1785
870
243
2-10
70
401
624
401
2949
120
1815
40
401
870
200
146
1008
50
67
412
791
586
2095
340
11
218
1815
420
465
865
791
340
2201
1815
1785
250
1895
2949
146
2861
67
300
1815
108
2370
1815
218
754
1760
3023
1817
824
2400
35-35
23
30
132
120
