sctn_zip,sctn_boro,actl_stry,actl_unit_insp,phn,sctn_str_nm,viol_typ_ordr_no,nta
11213,3,4,4H,1008,SAINT MARKS AVENUE,508,BK0802
11231,3,5,5B,495,BUSH STREET,702,BK0601
10029,1,14,14H,1895,2ND AVENUE,506,MN1101
10035,1,13,13B,2370,1 AVENUE,501,MN1102
10029,1,14,14G,307,EAST 117TH STREET,508,MN1102
10029,1,4,4G,401,EAST 102 STREET,508,MN1101
11221,3,14,14C,50,STUYVESANT AVENUE,568,BK0302
10463,2,2,2F,2861,EXTERIOR STREET,530,BX0802
11212,3,8,8H,315,SUTTER AVENUE,508,BK1602
11224,3,4,416B,2926,WEST 28TH STREET,583,BK1302
10472,2,14,14B,1605,EAST 174 STREET,502,BX0901
11221,3,14,14C,50,STUYVESANT AVENUE,502,BK0302
10039,1,13,13E,159-62,HARLEM RIVER DRIVE,556,MN1002
11231,3,3,3A,829,HICKS STREET,554,BK0601
10029,1,14,14G,307,EAST 117TH STREET,568,MN1102
11238,3,2,2G,433,LAFAYETTE AVENUE,569,BK0301
10472,2,14,14B,1605,EAST 174 STREET,508,BX0901
11206,3,5,5E,808,PARK AVENUE,508,BK0302
11238,3,2,2G,433,LAFAYETTE AVENUE,508,BK0301
10002,1,5,5B,350,MADISON STREET,529,MN0302
11231,3,1,1D,1,LORRAINE STREET,506,BK0601
10456,2,11,11E,1350,WASHINGTON AVENUE,550,BX0302
10029,1,4,4G,401,EAST 102 STREET,508,MN1101
11231,3,3,3A,829,HICKS STREET,554,BK0601
10025,1,3,3B,120,WEST 94 STREET,502,MN0702
10009,1,4,4A,132,AVENUE D,502,MN0303
10025,1,13,13F,865,COLUMBUS AVENUE,501,MN0703
10451,2,7,7C,3071,PARK AVENUE,508,BX0401
11206,3,2,,582,PARK AVENUE,530,BK0301
11231,3,2,2A,147,RICHARDS STREET,508,BK0601
10024,1,2,2A,23,WEST 90 STREET,530,MN0702
10024,1,2,2A,23,WEST 90 STREET,550,MN0702
11212,3,3,3G,330,DUMONT AVENUE,568,BK1602
10002,1,1,1B,18,JACKSON STREET,554,MN0302
11231,3,5,5E,80,BUSH STREET,568,BK0601
11206,3,3,3A,220,THROOP AVENUE,556,BK0301
10009,1,12,12C,709,FDR DRIVE,508,MN0303
11224,3,4,416B,2926,WEST 28TH STREET,501,BK1302
10456,2,3,3J,1100,TELLER AVENUE,508,BX0401
10029,1,7,7C,1829,LEXINGTON AVENUE,508,MN1102
11106,4,5,5A,22-01,21ST STREET,554,QN0105
10463,2,2,2F,2861,EXTERIOR STREET,508,BX0802
11235,3,5,5D,2949,AVENUE X,502,BK1503
10009,1,6,6C,40,AVENUE D,501,MN0303
10009,1,7,7C,920,EAST 6 STREET,508,MN0303
10037,1,1,1A,2102,MADISON AVENUE,508,MN1102
10473,2,11,11E,1775,STORY AVENUE,502,BX0902
10472,2,14,14B,1605,EAST 174 STREET,556,BX0901
11434,4,1,1H,116-30,GUY BREWER BOULEVARD,702,QN1203
10454,2,9,9D,340,ALEXANDER AVENUE,508,BX0101
10472,2,5,5D,1815,BRUCKNER BOULEVARD,568,BX0901
11231,3,6,6D,791,HICKS STREET,502,BK0601
10009,1,7,7C,920,EAST 6 STREET,508,MN0303
11206,3,2,2A,582,PARK AVENUE,508,BK0301
10009,1,7,7C,920,EAST 6 STREET,508,MN0303
11106,4,1,1B,22-01,21ST STREET,502,QN0105
10025,1,13,13F,865,COLUMBUS AVENUE,508,MN0703
10025,1,13,13F,865,COLUMBUS AVENUE,556,MN0703
11106,4,4,4H,23-03,36 AVENUE,790,QN0105
11231,3,6,6D,791,HICKS STREET,508,BK0601
11212,3,10,10E,370,BLAKE AVENUE,506,BK1602
10456,2,3,3J,1100,TELLER AVENUE,501,BX0401
10473,2,4,4D,1815,STORY AVENUE,554,BX0902
10002,1,5,5B,350,MADISON STREET,508,MN0302
11231,3,1,1B,22,COLUMBIA STREET,556,BK0601
10029,1,4,4G,401,EAST 102 STREET,501,MN1101
10009,1,4,4A,132,AVENUE D,529,MN0303
11231,3,5,5E,80,BUSH STREET,508,BK0601
10304,5,8,8E,51,HILL STREET,568,SI0102
10035,1,7,7D,2370,2ND AVENUE,508,MN1102
10473,2,4,4D,1815,STORY AVENUE,556,BX0902
10009,1,1,,709,FDR DRIVE,530,MN0303
10029,1,10,10A,2065,3 AVENUE,501,MN1102
11235,3,5,5D,2949,AVENUE X,501,BK1503
10023,1,1,1A,228,WEST 62 STREET,550,MN0701
11354,4,7,7B,40-21,COLLEGE POINT BOULEVARD,1503,QN0707
10304,5,8,8E,51,HILL STREET,1503,SI0102
10009,1,4,4A,132,AVENUE D,501,MN0303
10451,2,6,6G,301,EAST 156TH STREET,501,BX0102
10035,1,5,5A,350,EAST 124 STREET,502,MN1102
11367,4,2,2B,154-02,JEWEL AVENUE,508,QN0802
11212,3,13,13F,300,DUMONT AVENUE,583,BK1602
10009,1,4,4A,132,AVENUE D,502,MN0303
10472,2,5,5D,1815,BRUCKNER BOULEVARD,550,BX0901
10009,1,4,4A,132,AVENUE D,579,MN0303
10304,5,8,8E,51,HILL STREET,502,SI0102
10002,1,5,5B,350,MADISON STREET,502,MN0302
10039,1,14,14G,159-70,HARLEM RIVER DRIVE,508,MN1002
11231,3,2,2A,147,RICHARDS STREET,508,BK0601
10002,1,5,5B,350,MADISON STREET,550,MN0302
11231,3,6,6E,22,COLUMBIA STREET,506,BK0601
11206,3,3,3A,220,THROOP AVENUE,556,BK0301
10009,1,1,,709,FDR DRIVE,501,MN0303
10473,2,8,8F,575,CASTLE HILL AVENUE,502,BX0903
10009,1,6,6C,40,AVENUE D,568,MN0303
10035,1,7,7D,2370,2ND AVENUE,508,MN1102
10035,1,2,2C,2370,2ND AVENUE,616,MN1102
10472,2,5,5D,1815,BRUCKNER BOULEVARD,568,BX0901
11201,3,12,12C,177,SANDS STREET,501,BK0202
10024,1,2,2A,23,WEST 90 STREET,553,MN0702
11106,4,1,1B,22-01,21ST STREET,583,QN0105
10029,1,10,10A,2065,3 AVENUE,508,MN1102
10002,1,2,2F,250,CLINTON STREET,529,MN0301
10029,1,14,14G,307,EAST 117TH STREET,508,MN1102
11201,3,7,7G,234,SANDS STREET,508,BK0202
10035,1,9,9C,2370,1 AVENUE,501,MN1102
11206,3,2,2A,582,PARK AVENUE,568,BK0301
10035,1,2,2F,2400,2ND AVENUE,593,MN1102
11224,3,4,416B,2926,WEST 28TH STREET,508,BK1302
11212,3,10,10D,112,CHRISTOPHER AVENUE,583,BK1602
11213,3,4,4H,1008,SAINT MARKS AVENUE,1503,BK0802
10025,1,3,3B,120,WEST 94 STREET,598,MN0702
10463,2,2,2F,2861,EXTERIOR STREET,501,BX0802
11206,3,5,5E,808,PARK AVENUE,508,BK0302
11231,3,1,1B,22,COLUMBIA STREET,508,BK0601
10465,2,2,2C,2776,SCHLEY AVENUE,501,BX1002
10035,1,2,2C,2370,2ND AVENUE,556,MN1102
10038,1,3,3B,180,SOUTH STREET,502,MN0301
10035,1,7,7D,2370,2ND AVENUE,508,MN1102
10024,1,2,2A,23,WEST 90 STREET,502,MN0702
10463,2,2,2F,2861,EXTERIOR STREET,508,BX0802
11224,3,4,416B,2926,WEST 28TH STREET,502,BK1302
11434,4,1,1H,116-30,GUY BREWER BOULEVARD,556,QN1203
10009,1,4,4A,132,AVENUE D,556,MN0303
11231,3,8,8H,135,DWIGHT STREET,568,BK0601
11212,3,10,10D,112,CHRISTOPHER AVENUE,508,BK1602
10025,1,7,7H,870,COLUMBUS AVENUE,508,MN0703
10029,1,4,4G,401,EAST 102 STREET,502,MN1101
11223,3,13,13G,30,AVENUE V,501,BK1301
11201,3,7,7G,234,SANDS STREET,508,BK0202
10473,2,11,11E,1775,STORY AVENUE,568,BX0902
10029,1,7,7C,1829,LEXINGTON AVENUE,501,MN1102
10035,1,7,7D,2370,2ND AVENUE,508,MN1102
11235,3,5,5D,2949,AVENUE X,508,BK1503
11231,3,5,5B,495,BUSH STREET,1503,BK0601
11221,3,14,14C,50,STUYVESANT AVENUE,569,BK0302
10025,1,3,3B,120,WEST 94 STREET,508,MN0702
10451,2,7,7C,3071,PARK AVENUE,508,BX0401
10011,1,1,1E,400,WEST 19TH STREET,553,MN0401
11201,3,12,12C,177,SANDS STREET,502,BK0202
10009,1,12,12C,709,FDR DRIVE,501,MN0303
11238,3,2,2G,433,LAFAYETTE AVENUE,702,BK0301
11224,3,4,416B,2926,WEST 28TH STREET,506,BK1302
10035,1,4,4B,2370,2ND AVENUE,583,MN1102
10472,2,14,14B,1605,EAST 174 STREET,502,BX0901
10009,1,4,4A,132,AVENUE D,506,MN0303
11224,3,4,416B,2926,WEST 28TH STREET,508,BK1302
11231,3,3,3E,495,COLUMBIA STREET,501,BK0601
11231,3,5,5B,451,MILL STREET,583,BK0601
10029,1,5,5B,1591,PARK AVENUE,583,MN1102
11231,3,3,3E,495,COLUMBIA STREET,583,BK0601
10002,1,1,1B,90,PITT STREET,649,MN0302
10473,2,11,11E,1775,STORY AVENUE,501,BX0902
10009,1,4,4A,132,AVENUE D,556,MN0303
11231,3,3,3B,161,CLINTON STREET,508,BK0601
11231,3,1,1C,35,COLUMBIA STREET,508,BK0601
10029,1,14,,1895,2ND AVENUE,556,MN1101
11235,3,3,3D,3021,AVENUE X,502,BK1503
10011,1,1,1E,400,WEST 19TH STREET,553,MN0401
10473,2,4,4D,1815,STORY AVENUE,556,BX0902
10029,1,3,3A,218,EAST 115 STREET,508,MN1102
10029,1,10,10A,2065,3 AVENUE,501,MN1102
10024,1,2,2A,23,WEST 90 STREET,502,MN0702
10029,1,4,4G,401,EAST 102 STREET,568,MN1101
11221,3,14,14C,50,STUYVESANT AVENUE,508,BK0302
10002,1,20,20D,60,PITT STREET,507,MN0302
10002,1,2,2F,250,CLINTON STREET,569,MN0301
11231,3,1,1A,35,COLUMBIA STREET,508,BK0601
11101,4,2,2D,41-08,12TH STREET,508,QN0105
10029,1,14,14D,1760,LEXINGTON AVENUE,508,MN1101
11212,3,9,9G,414,SUTTER AVENUE,790,BK1602
10039,1,14,14G,159-70,HARLEM RIVER DRIVE,508,MN1002
11231,3,3,3A,829,HICKS STREET,508,BK0601
11231,3,5,5B,451,MILL STREET,508,BK0601
11212,3,8,8H,315,SUTTER AVENUE,554,BK1602
10009,1,4,4A,132,AVENUE D,556,MN0303
11102,4,7,6D,2-10,27 AVENUE,501,QN0102
10025,1,11,11G,875,COLUMBUS AVENUE,502,MN0703
11231,3,2,2B,31,CENTRE MALL,790,BK0601
11354,4,7,7B,40-21,COLLEGE POINT BOULEVARD,501,QN0707
11354,4,7,7B,40-21,COLLEGE POINT BOULEVARD,556,QN0707
10039,1,20,20F,2965,FREDERICK DOUGLASS BOULEVARD,508,MN1002
10025,1,3,3B,120,WEST 94 STREET,508,MN0702
11231,3,2,2A,147,RICHARDS STREET,502,BK0601
10038,1,3,3B,180,SOUTH STREET,509,MN0301
11201,3,12,12C,177,SANDS STREET,506,BK0202
10472,2,5,5D,1815,BRUCKNER BOULEVARD,504,BX0901
11231,3,-999,,829,HICKS STREET,530,BK0601
10304,5,8,8E,51,HILL STREET,566,SI0102
10002,1,5,5B,350,MADISON STREET,550,MN0302
10029,1,14,14G,307,EAST 117TH STREET,506,MN1102
10029,1,5,5B,1591,PARK AVENUE,550,MN1102
11434,4,1,1H,116-30,GUY BREWER BOULEVARD,501,QN1203
11223,3,13,13G,30,AVENUE V,508,BK1301
11231,3,1,1D,1,LORRAINE STREET,508,BK0601
10029,1,14,14G,307,EAST 117TH STREET,670,MN1102
11231,3,5,5B,451,MILL STREET,508,BK0601
10024,1,2,2A,23,WEST 90 STREET,550,MN0702
11102,4,7,6D,2-10,27 AVENUE,501,QN0102
11224,3,4,416B,2926,WEST 28TH STREET,568,BK1302
10035,1,7,7D,2370,2ND AVENUE,583,MN1102
11354,4,7,7B,40-21,COLLEGE POINT BOULEVARD,501,QN0707
11231,3,5,5E,80,BUSH STREET,508,BK0601
11354,4,7,7B,40-21,COLLEGE POINT BOULEVARD,501,QN0707
11101,4,2,2D,41-08,12TH STREET,502,QN0105
10035,1,2,2C,2370,2ND AVENUE,578,MN1102
10035,1,2,2F,2400,2ND AVENUE,529,MN1102
10016,1,7,7A,481,EAST 27TH STREET,578,MN0603
