boro_nm,community_board,longitude,bldg_id,hzrd_clas,boro
BROOKLYN,308,-73.938469,809517,B,3
BROOKLYN,306,-74.007239,215609,B,3
MANHATTAN,111,-73.94639,1113,A,1
MANHATTAN,111,-73.932816,977098,B,1
MANHATTAN,111,-73.93759,19694,C,1
MANHATTAN,111,-73.941889,995089,B,1
BROOKLYN,303,-73.934397,809610,C,3
BRONX,208,-73.906166,806667,C,2
BROOKLYN,316,-73.90821,809640,B,3
BROOKLYN,313,-73.992063,394747,B,3
BRONX,209,-73.876512,806627,A,2
BROOKLYN,303,-73.934397,809610,B,3
MANHATTAN,110,-73.935477,806071,A,1
BROOKLYN,306,-74.005765,808527,A,3
MANHATTAN,111,-73.93759,19694,C,1
BROOKLYN,303,-73.957754,808675,C,3
BRONX,209,-73.876512,806627,B,2
BROOKLYN,303,-73.942958,351321,B,3
BROOKLYN,303,-73.957754,808675,B,3
MANHATTAN,103,-73.982769,877812,B,1
BROOKLYN,306,-74.009568,808768,B,3
BRONX,203,-73.90532,807044,A,2
MANHATTAN,111,-73.941889,995089,B,1
BROOKLYN,306,-74.005765,808527,A,3
MANHATTAN,107,-73.9694,37031,A,1
MANHATTAN,103,-73.975518,6623,B,1
MANHATTAN,107,-73.964551,804214,B,1
BRONX,204,-73.919417,101148,B,2
BROOKLYN,303,-73.951996,809131,C,3
BROOKLYN,306,-74.010891,809272,B,3
MANHATTAN,107,-73.968478,36821,C,1
MANHATTAN,107,-73.968478,36821,A,1
BROOKLYN,316,-73.907984,808117,C,3
MANHATTAN,103,-73.980821,864082,A,1
BROOKLYN,306,-74.005988,807881,C,3
BROOKLYN,303,-73.94363799999999,809683,A,3
MANHATTAN,103,-73.974909,804782,B,1
BROOKLYN,313,-73.992063,394747,B,3
BRONX,204,-73.913041,112751,B,2
MANHATTAN,111,-73.942968,805002,B,1
QUEENS,401,-73.935834,810386,A,4
BRONX,208,-73.906166,806667,B,2
BROOKLYN,315,-73.939619,807655,A,3
MANHATTAN,103,-73.977517,847224,B,1
MANHATTAN,103,-73.975573,804281,C,1
MANHATTAN,111,-73.937332,805048,B,1
BRONX,209,-73.866405,111650,B,2
BRONX,209,-73.876512,806627,A,2
QUEENS,412,-73.784108,683447,B,4
BRONX,201,-73.923295,44930,B,2
BROOKLYN,303,-73.934397,809610,A,3
MANHATTAN,111,-73.932816,977098,A,1
MANHATTAN,111,-73.93759,19694,C,1
MANHATTAN,111,-73.934432,805288,A,1
BROOKLYN,315,-73.939619,807655,B,3
QUEENS,401,-73.935191,810307,B,4
BROOKLYN,306,-74.005938,808854,B,3
BROOKLYN,316,-73.907984,808117,A,3
MANHATTAN,110,-73.946842,806051,C,1
BROOKLYN,306,-74.003612,808503,B,3
MANHATTAN,111,-73.933081,804695,C,1
MANHATTAN,103,-73.998968,986494,B,1
BROOKLYN,306,-74.005195,808765,B,3
QUEENS,401,-73.935834,810386,C,4
BROOKLYN,306,-74.006843,855500,B,3
BROOKLYN,306,-74.005988,807881,B,3
BRONX,209,-73.866405,111650,A,2
BROOKLYN,303,-73.942958,351321,A,3
BRONX,203,-73.90854,120460,C,2
BRONX,209,-73.866405,111650,B,2
QUEENS,412,-73.784108,683447,C,4
MANHATTAN,110,-73.946842,806051,C,1
BROOKLYN,306,-74.007239,215609,C,3
BRONX,208,-73.906166,806667,B,2
QUEENS,412,-73.784108,683447,A,4
MANHATTAN,111,-73.935217,805285,A,1
MANHATTAN,111,-73.941889,995089,B,1
BROOKLYN,306,-74.00522,808525,A,3
BROOKLYN,306,-74.010351,809271,B,3
BROOKLYN,306,-74.010891,809272,A,3
MANHATTAN,111,-73.932425,977097,A,1
MANHATTAN,103,-73.975009,6630,B,1
BROOKLYN,302,-73.977101,186630,B,3
MANHATTAN,111,-73.93759,19694,C,1
BROOKLYN,303,-73.951996,809131,C,3
BROOKLYN,318,-73.897621,286990,B,3
MANHATTAN,107,-73.968261,805777,B,1
STATEN ISLAND,501,-74.079879,812476,A,5
MANHATTAN,107,-73.9694,37031,A,1
MANHATTAN,103,-73.998968,986494,B,1
BRONX,209,-73.864015,806350,B,2
BRONX,209,-73.876512,806627,C,2
BROOKLYN,303,-73.943803,809682,B,3
BRONX,209,-73.876512,806627,A,2
BRONX,209,-73.86416,806972,C,2
MANHATTAN,103,-73.975009,6630,B,1
BROOKLYN,306,-74.006843,855500,B,3
BROOKLYN,306,-74.006637,807997,B,3
BROOKLYN,306,-74.007239,215609,C,3
MANHATTAN,111,-73.935217,805285,A,1
BROOKLYN,302,-73.977101,186630,B,3
MANHATTAN,111,-73.935217,805285,B,1
BROOKLYN,306,-74.007138,807996,B,3
MANHATTAN,111,-73.94639,1113,B,1
BROOKLYN,306,-74.007239,215609,B,3
QUEENS,412,-73.784108,683447,A,4
BROOKLYN,306,-74.009568,808768,B,3
BROOKLYN,306,-74.010351,809271,A,3
MANHATTAN,111,-73.935217,805285,A,1
BROOKLYN,306,-74.00522,808525,B,3
MANHATTAN,111,-73.933081,804695,A,1
MANHATTAN,103,-73.982702,26902,B,1
BRONX,209,-73.847966,806367,B,2
MANHATTAN,103,-73.975573,804281,B,1
QUEENS,408,-73.814676,811568,B,4
BROOKLYN,318,-73.897621,286990,C,3
MANHATTAN,103,-73.98674,804193,B,1
BROOKLYN,302,-73.981001,809338,B,3
BROOKLYN,306,-74.007138,807996,A,3
MANHATTAN,111,-73.945166,804629,B,1
BROOKLYN,308,-73.938469,809517,A,3
BROOKLYN,316,-73.906165,219845,B,3
BROOKLYN,313,-73.992063,394747,B,3
BROOKLYN,315,-73.936908,807657,B,3
MANHATTAN,111,-73.94135,864048,B,1
MANHATTAN,111,-73.941889,995089,B,1
BROOKLYN,315,-73.936908,807657,B,3
BRONX,203,-73.90854,120460,B,2
BRONX,209,-73.866405,111650,C,2
QUEENS,401,-73.935191,810307,B,4
MANHATTAN,110,-73.935477,806071,B,1
MANHATTAN,111,-73.941889,995089,C,1
BROOKLYN,306,-74.005988,807881,B,3
MANHATTAN,103,-73.98232,805245,A,1
MANHATTAN,111,-73.941889,995089,A,1
MANHATTAN,103,-73.982769,877812,B,1
MANHATTAN,103,-73.986524,27654,B,1
QUEENS,412,-73.784108,683447,A,4
MANHATTAN,111,-73.932816,977098,A,1
MANHATTAN,111,-73.935217,805285,C,1
BROOKLYN,306,-74.007138,807996,A,3
BROOKLYN,306,-74.010891,809272,C,3
MANHATTAN,111,-73.935217,805285,B,1
MANHATTAN,103,-73.975518,6623,A,1
BROOKLYN,316,-73.90821,809640,B,3
BROOKLYN,303,-73.935297,989617,C,3
BRONX,209,-73.864015,806350,C,2
MANHATTAN,111,-73.942968,805002,B,1
MANHATTAN,111,-73.944368,805199,B,1
MANHATTAN,103,-73.998968,986494,B,1
MANHATTAN,111,-73.935217,805285,B,1
STATEN ISLAND,501,-74.079879,812476,C,5
BROOKLYN,306,-74.005988,807881,B,3
MANHATTAN,107,-73.9694,37031,A,1
BROOKLYN,315,-73.936908,807657,B,3
BROOKLYN,306,-74.006637,807997,B,3
MANHATTAN,111,-73.932816,977098,A,1
BROOKLYN,306,-74.005765,808527,B,3
BROOKLYN,318,-73.897621,286990,C,3
MANHATTAN,107,-73.9694,37031,A,1
MANHATTAN,111,-73.935217,805285,C,1
MANHATTAN,107,-73.964269,804215,B,1
MANHATTAN,103,-73.975518,6623,B,1
QUEENS,407,-73.834075,672191,A,4
MANHATTAN,103,-73.982769,877812,B,1
QUEENS,401,-73.944115,985088,B,4
BROOKLYN,303,-73.943803,809682,C,3
MANHATTAN,107,-73.968478,36821,A,1
BROOKLYN,302,-73.977101,186630,B,3
MANHATTAN,104,-74.003176,805533,B,1
BRONX,204,-73.913041,112751,C,2
MANHATTAN,111,-73.935217,805285,B,1
QUEENS,407,-73.834075,672191,A,4
MANHATTAN,107,-73.964269,804215,B,1
QUEENS,407,-73.834075,672191,B,4
BROOKLYN,316,-73.902773,808744,B,3
MANHATTAN,103,-73.98674,804193,B,1
