dbn,q1_2,q16_c5_r1,q15_c9_r3,q17_c9_r1,q16_c6_r3,q17_c5_r2,q17_c8_r4,q16_c1_r4,q17_c8_r3,q14_c6_r2,q14_c8_r4,q14_c3_r4,q15_c11_r2,q17_c10_r2,q14_c11_r2,q12_r1_c1,q16_c2_r1,q12_r2_c3,q17_c7_r3,q15_c4_r1,q8_2,q14_c11_r4,q17_c7_r2,q15_c8_r2,q16_c9_r4,q15_c9_r1,q17_c8_r2,q9_r3_c2,q14_c7_r4,q15_c6_r2,q10_11,q16_c8_r2,q16_c6_r4,q10_16,q15_c10_r1,q17_c5_r4,q15_c1_r2,q16_c10_r1,q16_c3_r1,q14_c1_r2,q14_c7_r3,q16_c12_r4,q15_c3_r3,q15_c8_r1,q10_12,q17_c1_r3,q16_c9_r3,q17_c4_r1,q17_c4_r4,q15_c11_r4,q14_c11_r3,q10_4,q16_c3_r4,q12_r1_c4,q2_1,q13_c1_r4,q9_r4_c1,q14_c1_r1
22K078,Cusumano,,,,,,,,,,,,,,,0,,0,,,1.0,,,,,,,,,,0,,,0,,,,,,,,,,,0,,,,,,,1,,0,0,,0.0,
05M286,Acosta,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,0.0,
07X385,Murrell,,,,,1-10 hrs,,,,,,,,,,0,,0,,,,,,,,,,1.0,,,0,,,0,,1-10 hrs,,,,,,,,,0,1-10 hrs,,1-10 hrs,1-10 hrs,,,0,,0,0,,1.0,
14K478,Schrager,,,,,,,,,,,,,,,0,,0,,,3.0,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,0.0,
02M033,Schneider,31-40 hrs,,,,,,41-50 hrs,,,,41-50 hrs,,,,0,41-50 hrs,1,,21-30 hrs,1.0,,,,,,,1.0,,,0,,,0,,,141-150 hrs,,31-40 hrs,91-100 hrs,,,11-20 hrs,,1,1-10 hrs,,41-50 hrs,41-50 hrs,,,1,41-50 hrs,0,0,21-30 hrs,1.0,21-30 hrs
10X213,Hall,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,1,,,0,,,,,,,,,,,1,,,,,,,0,,0,0,,3.0,
19K345,LoCoco,11-20 hrs,,,31-40 hrs,21-30 hrs,,11-20 hrs,,,,21-30 hrs,,,,0,11-20 hrs,1,,21-30 hrs,1.0,,,,,,,1.0,,,0,,11-20 hrs,0,,31-40 hrs,21-30 hrs,,11-20 hrs,21-30 hrs,,,31-40 hrs,,1,31-40 hrs,,1-10 hrs,31-40 hrs,,,1,11-20 hrs,0,0,21-30 hrs,0.0,11-20 hrs
02M183,Leventhal,,,,,,,0 hrs,,,,0 hrs,,,,0,0 hrs,0,,0 hrs,,,,,,,,1.0,,,0,,,0,,,0 hrs,,0 hrs,31-40 hrs,,,0 hrs,,0,0 hrs,,0 hrs,0 hrs,,,1,0 hrs,0,0,0 hrs,0.0,0 hrs
20K490,Oberle,,,,,,,,,,,,,,,0,,0,,,,,,,,,,1.0,,,0,,,0,,,,,,,,,,,1,,,,,,,1,,0,0,,1.0,
02M376,Leimsider,,,,,,,,,,,,,,,0,,0,,,,,,,,,,1.0,,,0,,,0,,,,,,,,,,,1,,,,,,,1,,0,0,,0.0,
05M030,Cheng,,,,,,,61-70 hrs,,,,71-80 hrs,,,,0,0 hrs,0,,,,,,,,,,0.0,,,0,,,0,,,71-80 hrs,,0 hrs,81-90 hrs,,,0 hrs,,1,0 hrs,,,,,,1,61-70 hrs,1,0,71-80 hrs,0.0,0 hrs
14K126,Fagiola,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,1,,,0,,,,,,,,,,,0,,,,,,,1,,0,0,,0.0,
10X459,Rocheford,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,1.0,
20K259,Exarhoulias,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,,,,,,,1,,0,0,,1.0,
04M146,Taylor,,,,,21-30 hrs,,0 hrs,,,,0 hrs,,,,0,0 hrs,0,,,,,,,,,,0.0,,,1,,,0,,0 hrs,21-30 hrs,,0 hrs,0 hrs,,,0 hrs,,1,0 hrs,,0 hrs,0 hrs,,,1,0 hrs,0,0,0 hrs,1.0,21-30 hrs
06M528,Finlaw,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,,,1.0,,,1,,,0,,,,,,,,,,,0,,,,,,,1,,0,0,,0.0,
03M208,Castillo,,,,,,,1-10 hrs,,,,,,,,0,11-20 hrs,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,0 hrs,,,,,,0,,0,0,,1.0,
14K132,de Koning Foley,31-40 hrs,,,,11-20 hrs,,0 hrs,,,,0 hrs,,,,0,31-40 hrs,1,,31-40 hrs,,,,,,,,,,,1,,,0,,0 hrs,1-10 hrs,,31-40 hrs,1-10 hrs,,,1-10 hrs,,0,11-20 hrs,,31-40 hrs,0 hrs,,,1,0 hrs,0,0,1-10 hrs,1.0,31-40 hrs
10X307,Schickler,,,,,,,0 hrs,,,,0 hrs,,,,0,11-20 hrs,0,,,,,,,,,,1.0,,,0,,,0,,,0 hrs,,,0 hrs,,,0 hrs,,0,0 hrs,,,,,,0,,0,0,0 hrs,0.0,11-20 hrs
02M003,SIEGMAN,0 hrs,1-10 hrs,,1-10 hrs,21-30 hrs,,1-10 hrs,,11-20 hrs,,11-20 hrs,,,,1,0 hrs,1,,0 hrs,,,,21-30 hrs,1-10 hrs,0 hrs,,0.0,11-20 hrs,21-30 hrs,1,21-30 hrs,1-10 hrs,0,,1-10 hrs,21-30 hrs,0 hrs,0 hrs,11-20 hrs,0 hrs,,1-10 hrs,0 hrs,0,0 hrs,1-10 hrs,1-10 hrs,1-10 hrs,,,1,1-10 hrs,0,0,11-20 hrs,1.0,0 hrs
19K302,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,1,,1.0,
04M096,Pretto,,,,,,,1-10 hrs,,,,0 hrs,,,,0,0 hrs,0,,,,,,,,,,0.0,,,0,,,0,,,0 hrs,,0 hrs,0 hrs,,,0 hrs,,0,0 hrs,,,,,,0,1-10 hrs,0,0,0 hrs,1.0,0 hrs
02M527,Clark,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,21-30 hrs,,,21-30 hrs,,,,,0,,,,,,,0,,0,0,0 hrs,0.0,0 hrs
02M560,Birnbaum,,,,,,,,,,,,,,,0,,0,,,,,,,,,,1.0,,,0,,,0,,,,,,,,,,,1,,,,,,,1,,0,0,,1.0,
10X003,Stapleton,,,,,,,0 hrs,,,,,,,,0,0 hrs,0,,,,,,,,,,1.0,,,0,,,0,,,0 hrs,,,0 hrs,,,,,1,0 hrs,,,,,,1,,0,0,0 hrs,0.0,0 hrs
09X457,,0 hrs,,,0 hrs,0 hrs,,1-10 hrs,,0 hrs,,1-10 hrs,,,,0,0 hrs,0,,0 hrs,1.0,,,,,,,0.0,1-10 hrs,0 hrs,0,,1-10 hrs,0,,0 hrs,0 hrs,,0 hrs,0 hrs,0 hrs,,0 hrs,,0,0 hrs,,0 hrs,0 hrs,,,0,1-10 hrs,0,1,21-30 hrs,1.0,0 hrs
02M459,Rodriguez,,,,,,,,,,,,,,,0,,0,,,,,,,,,,1.0,,,1,,,1,,,,,,,,,,,1,,,,,,,1,,0,0,,1.0,
02M411,McDonald,,,,,,,,,,,,,,,0,,0,,,,,,,,,,1.0,,,0,,,0,,,,,,,,,,,1,,,,,,,0,,0,0,,0.0,
21K199,Bacarella,,,,,,,0 hrs,,,,0 hrs,,,,1,11-20 hrs,0,,0 hrs,2.0,,,,,,,0.0,,,0,,,0,,,0 hrs,,11-20 hrs,0 hrs,,,0 hrs,,0,0 hrs,,,,,,0,0 hrs,0,0,0 hrs,1.0,0 hrs
07X221,Hinson,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,0.0,
06M467,Harkey,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,1,,,,,,,0,,0,0,,0.0,
14K319,LaCioppa,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,0 hrs,,,,,0,,,,,,,0,,0,0,0 hrs,0.0,0 hrs
10X020,Bunten,0 hrs,,,,0 hrs,,0 hrs,,0 hrs,,0 hrs,,,,0,0 hrs,0,,0 hrs,,,,,,,,0.0,,0 hrs,0,,,0,,0 hrs,0 hrs,,0 hrs,0 hrs,,,0 hrs,,0,0 hrs,,0 hrs,0 hrs,,,1,0 hrs,0,0,0 hrs,1.0,0 hrs
19K159,Delluomo,0 hrs,,,1-10 hrs,0 hrs,,0 hrs,,0 hrs,,0 hrs,,,,0,11-20 hrs,0,1-10 hrs,11-20 hrs,1.0,,0 hrs,,,,,0.0,0 hrs,0 hrs,0,,0 hrs,0,,1-10 hrs,0 hrs,,11-20 hrs,0 hrs,0 hrs,,0 hrs,,0,1-10 hrs,,11-20 hrs,1-10 hrs,,,1,0 hrs,0,0,0 hrs,1.0,0 hrs
11X498,Crosby,,,,,,,0 hrs,,,,,,,,0,0 hrs,0,,,,,,,,,,0.0,,,0,,,0,,,41-50 hrs,,,41-50 hrs,,,,,0,0 hrs,,,,,,0,,0,0,0 hrs,0.0,0 hrs
02M520,Zarillo,,,,,,,,,,,,,,,0,,0,,,1.0,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,1.0,
