evt_code,evt_ppm,evt_created,evt_udfchar13,evt_udfchar12,evt_updated,evt_udfchar10,evt_schedend,evt_multiequip,evt_mrc,evt_type,evt_start,evt_udfchar06,evt_udfchar03,evt_udfchkbox04,evt_updatecount,evt_completed
1603431,,Dec 15 2017  3:27PM,Completed,,,,Dec 15 2017 12:00AM,-,X,IN,,,,-,1,Dec 15 2017  3:27PM
2284902,,Feb 22 2022  1:52PM,GT Open,,Mar  7 2022 10:43AM,,Feb 22 2022 12:00AM,-,X-03,JOB,,,GRNTHUMB,+,1,
2257876,,Jan  6 2022  2:59PM,GT Open,,Jan 28 2022  6:15PM,,Jan  6 2022 12:00AM,-,B-18,JOB,,,GRNTHUMB,+,2,
2300494,,Apr  7 2022  3:16PM,GT Open,,Apr  8 2022  3:30PM,,Apr  7 2022 12:00AM,-,B-03,JOB,,,GRNTHUMB,+,1,
2068164,,Sep  9 2020 10:02AM,GT Open,,Sep 10 2020 12:50PM,,Sep  9 2020 12:00AM,-,X-05,JOB,,,GRNTHUMB,+,4,
2297307,,Mar 28 2022 12:08PM,GT Open,,Apr  1 2022  2:17PM,,Mar 28 2022 12:00AM,-,B-03,JOB,,,GRNTHUMB,+,1,
1123941,,May 20 2015  2:13PM,Completed,,,,May 20 2015  2:13PM,-,B-12,JOB,,,,-,0,May 20 2015  2:13PM
1268133,,Feb 23 2016  9:37AM,Completed,,,,Feb 23 2016  9:37AM,-,B-12,JOB,,,,-,0,Feb 23 2016  9:37AM
1698664,,May 19 2018  9:57AM,GT Open,,Apr 11 2019  9:55AM,,Jul 31 2018 12:00AM,-,M-03,JOB,,,GRNTHUMB,+,3,
1227044,,Nov 17 2015 11:03AM,Completed,,,,Nov 17 2015 11:03AM,-,Q-05,JOB,,,,-,0,Nov 17 2015 11:03AM
2095701,,Dec 10 2020 12:19PM,GT Open,,Dec 16 2020  9:20AM,,Dec 10 2020 12:00AM,-,B-03,JOB,,,GRNTHUMB,+,2,
2258856,,Jan 11 2022  3:46PM,GT Open,,Jan 14 2022  2:48PM,,Jan 11 2022 12:00AM,-,X-04,JOB,,,GRNTHUMB,+,1,
2072881,,Sep 25 2020  2:38PM,GT Work Request,,Sep 25 2020  2:38PM,,Sep 25 2020 12:00AM,-,B-16,JOB,,,GRNTHUMB,-,0,
2009124,,Feb 28 2020  4:19PM,GT Open,,Mar  4 2020 11:33AM,,Feb 28 2020 12:00AM,-,B-03,JOB,,,GRNTHUMB,+,1,
2300387,,Apr  7 2022 12:14PM,GT Open,,Apr  7 2022  1:09PM,,Apr  7 2022 12:00AM,-,B-01,JOB,,,GRNTHUMB,+,1,
2045345,,Jun 24 2020  3:33PM,GT Open,,Jun 29 2020  9:48AM,,Jun 24 2020 12:00AM,-,B-05,JOB,,,GRNTHUMB,+,1,
2196096,,Aug 12 2021 11:31AM,GT Open,,Aug 26 2021 10:34AM,,Aug 12 2021 12:00AM,-,X-09,JOB,,,GRNTHUMB,-,1,
2136603,,Mar 31 2021  3:24PM,GT Open,,Jan 28 2022  6:38PM,,Mar 31 2021 12:00AM,-,B-03,JOB,,,GRNTHUMB,+,2,
2225540,,Oct 25 2021 12:01PM,GT Open,,Oct 28 2021 10:40AM,,Oct 25 2021 12:00AM,-,X-01,JOB,,,GRNTHUMB,+,1,
1178475,,Aug 17 2015 11:00AM,Completed,,,,Aug 17 2015 11:00AM,-,B-06,JOB,,,,-,0,Aug 17 2015 11:00AM
2042348,,Jun 15 2020  2:24PM,GT Open,,Jun 29 2020  9:49AM,,Jun 15 2020 12:00AM,-,X-02,JOB,,,GRNTHUMB,+,2,
1923377,,Jun 21 2019  4:35PM,GT Open,,Jun 27 2019  2:21PM,,Jun 21 2019 12:00AM,-,B-05,JOB,,,GRNTHUMB,+,2,
2002430,,Feb  7 2020  1:54PM,GT Open,,Feb 12 2020 10:38AM,,Feb  7 2020 12:00AM,-,B-16,JOB,,,GRNTHUMB,+,1,
2140301,,Apr 16 2021  4:17PM,GT Open,,Apr 19 2021  3:10PM,,Apr 16 2021 12:00AM,-,B-16,JOB,,,GRNTHUMB,+,1,
2099723,,Dec 31 2020 10:15AM,GT Open,,Aug  2 2021 11:06AM,,Dec 31 2020 12:00AM,-,B-05,JOB,,,GRNTHUMB,+,2,
1869059,,Mar  7 2019  1:14PM,GT Open,,Jun  7 2019  9:03AM,,Mar  7 2019 12:00AM,-,B-03,JOB,,,GRNTHUMB,+,4,
2045658,,Jun 25 2020 10:44AM,GT Open,,Jun 29 2020  9:48AM,,Jun 25 2020 12:00AM,-,X-04,JOB,,,GRNTHUMB,+,1,
2196095,,Aug 12 2021 11:30AM,GT Open,,Aug 26 2021 10:34AM,,Aug 12 2021 12:00AM,-,X-09,JOB,,,GRNTHUMB,-,1,
2077551,,Oct  8 2020  3:06PM,GT Open,,Oct  9 2020  8:15AM,,Oct  8 2020 12:00AM,-,Q-12,JOB,,,GRNTHUMB,+,1,
2051927,,Jul 15 2020  2:04PM,GT Open,,Jul 16 2020 10:33AM,,Jul 15 2020 12:00AM,-,X-09,JOB,,,GRNTHUMB,+,1,
2297295,,Mar 28 2022 11:49AM,GT Open,,Apr  1 2022  2:17PM,,Mar 28 2022 12:00AM,-,X-06,JOB,,,GRNTHUMB,+,1,
1179673,,Aug 19 2015  7:40AM,Completed,,,,Aug 19 2015  7:40AM,-,Q-14,JOB,,,,-,0,Aug 19 2015  7:40AM
1944662,,Jul 23 2019 11:58AM,GT Open,,Jul 24 2019  1:16PM,,Jul 23 2019 12:00AM,-,B-02,JOB,,,GRNTHUMB,+,1,
1986886,,Dec 20 2019  4:59PM,GT Work Request,,Dec 20 2019  5:11PM,,Dec 20 2019 12:00AM,-,B-05,JOB,,,GRNTHUMB,+,0,
1112935,,May  2 2015  2:57PM,Completed,,,,May  2 2015  2:57PM,-,B-11,JOB,,,,-,0,May  2 2015  2:57PM
1226135,,Nov 16 2015 10:08AM,Completed,,,,Nov 16 2015 10:08AM,-,B-06,JOB,,,,-,0,Nov 16 2015 10:08AM
1918036,,Jun  6 2019 12:45PM,GT Open,,Jun 27 2019  2:22PM,,Jun  6 2019 12:00AM,-,B-03,JOB,,,GRNTHUMB,+,2,
2134292,,Mar 23 2021  8:44AM,GT Open,,Apr 15 2021 11:35AM,,Mar 23 2021 12:00AM,-,X-06,JOB,,,GRNTHUMB,-,2,
1972279,,Oct 23 2019 12:20PM,GT Open,,Oct 31 2019  8:38AM,,Oct 23 2019 12:00AM,-,Q-14,JOB,,,GRNTHUMB,+,1,
1699029,,May 19 2018  2:39PM,GT Open,,Jun  4 2019  2:04PM,,May 19 2018 12:00AM,-,B-01,JOB,,,GRNTHUMB,+,4,
2017769,,Mar 13 2020 12:16PM,GT Open,,Mar 23 2020 11:47AM,,Mar 13 2020 12:00AM,-,X-04,JOB,,,GRNTHUMB,+,1,
2013375,,Mar  4 2020  4:45PM,GT Open,,Mar  5 2020  1:46PM,,Mar  4 2020 12:00AM,-,X-04,JOB,,,GRNTHUMB,+,1,
1968414,,Oct  9 2019  4:20PM,GT Open,,Oct 17 2019 12:11PM,,Oct  9 2019 12:00AM,-,B-03,JOB,,,GRNTHUMB,+,1,
1943008,,Jul 17 2019  4:14PM,GT Open,,Jul 24 2019  1:16PM,,Jul 17 2019 12:00AM,-,X-02,JOB,,,GRNTHUMB,+,1,
1238718,,Dec 11 2015  8:45AM,Completed,,,,Dec 11 2015  8:45AM,-,B-06,JOB,,,,-,0,Dec 11 2015  8:45AM
2199193,,Aug 19 2021  2:42PM,GT Open,,Aug 26 2021 10:33AM,,Aug 19 2021 12:00AM,-,X-04,JOB,,,GRNTHUMB,-,1,
2293042,,Mar 15 2022  3:59PM,GT Open,,Mar 17 2022  2:18PM,,Mar 15 2022 12:00AM,-,B-08,JOB,,,GRNTHUMB,+,1,
2142738,,Apr 27 2021 10:19AM,GT Open,,May 11 2021  1:39PM,,Apr 27 2021 12:00AM,-,Q-14,JOB,,,GRNTHUMB,+,1,
2066835,,Sep  3 2020  9:57AM,GT Open,,Sep  8 2020  3:32PM,,Sep  3 2020 12:00AM,-,M-03,JOB,,,GRNTHUMB,+,1,
1918098,,Jun  6 2019  2:35PM,GT Open,,Jun 27 2019  2:22PM,,Jun  6 2019 12:00AM,-,B-03,JOB,,,GRNTHUMB,+,2,
1972074,,Oct 22 2019  5:59PM,GT Open,,Oct 23 2019 11:25AM,,Oct 22 2019 12:00AM,-,X-04,JOB,,,GRNTHUMB,+,1,
2008682,,Feb 27 2020 11:44AM,GT Open,,Feb 27 2020  2:50PM,,Feb 27 2020 12:00AM,-,B-16,JOB,,,GRNTHUMB,+,1,
1013010,,Dec 17 2014 12:18PM,Completed,,,,Dec 17 2014 12:18PM,-,Q-07,JOB,,,,-,0,Dec 17 2014 12:18PM
115135,,May 24 2010  7:45AM,,,,,,-,M-15,JOB,,,,-,2,May 29 2010 12:47PM
1853326,,Feb  1 2019  4:15PM,GT Open,,Jun  7 2019  7:46AM,,Feb  1 2019 12:00AM,-,B-06,JOB,,,GRNTHUMB,+,2,
2299548,,Apr  4 2022  4:00PM,GT Needs Scoping,,Apr  4 2022  4:09PM,,Apr  4 2022 12:00AM,-,B-03,JOB,,,GRNTHUMB,+,0,
2149484,,May 20 2021  2:35PM,GT Open,,May 21 2021  2:39PM,,May 20 2021 12:00AM,-,B-03,JOB,,,GRNTHUMB,+,1,
1787391,,Sep 14 2018  1:39PM,GT Open,,Jun  7 2019  9:03AM,,Sep 14 2018 12:00AM,-,X-03,JOB,,,GRNTHUMB,+,5,
2014104,,Mar  6 2020  3:00PM,GT Open,,Mar  9 2020 11:53AM,,Mar  6 2020 12:00AM,-,B-04,JOB,,,GRNTHUMB,+,1,
2017277,,Mar 12 2020 12:08PM,GT Needs Scoping,,Mar 12 2020 12:11PM,,Mar 12 2020 12:00AM,-,B-03,JOB,,,GRNTHUMB,+,0,
1957360,,Sep  9 2019 11:14AM,GT Open,,Sep 10 2019  9:20AM,,Sep  9 2019 12:00AM,-,X-01,JOB,,,GRNTHUMB,+,1,
1896919,,Apr 30 2019  3:51PM,GT Open,,May 10 2019 11:09AM,,Apr 30 2019 12:00AM,-,X-01,JOB,,,GRNTHUMB,+,2,
1950646,,Aug 12 2019  3:16PM,GT Open,,Aug 21 2019  8:40AM,,Aug 12 2019 12:00AM,-,B-05,JOB,,,GRNTHUMB,+,1,
1221132,,Nov  3 2015  7:07PM,Completed,,,,Nov  3 2015  7:07PM,-,M-05,JOB,,,,-,0,Nov  3 2015  7:07PM
2284949,,Feb 22 2022  3:17PM,GT Open,,Mar  7 2022 10:43AM,,Feb 22 2022 12:00AM,-,X-06,JOB,,,GRNTHUMB,+,1,
1191965,,Sep 11 2015  4:28PM,Completed,,,,Sep 11 2015  4:28PM,-,Q-05,JOB,,,,-,0,Sep 11 2015  4:28PM
2124347,,Feb 23 2021  9:43AM,GT Open,,Feb 24 2021  8:30AM,,Feb 23 2021 12:00AM,-,B-05,JOB,,,GRNTHUMB,+,2,
2013793,,Mar  5 2020  5:45PM,GT Open,,Mar  6 2020 12:04PM,,Mar  5 2020 12:00AM,-,Q-14,JOB,,,GRNTHUMB,+,2,
2015409,,Mar 10 2020  2:38PM,GT Open,,Mar 13 2020  8:50AM,,Mar 10 2020 12:00AM,-,M-11,JOB,,,GRNTHUMB,+,1,
1220314,,Nov  1 2015  3:36PM,Completed,,,,Nov  1 2015  3:36PM,-,B-13,JOB,,,,-,0,Nov  1 2015  3:36PM
2437969,,May 23 2023  2:39PM,GT Work Request,,May 23 2023  2:39PM,,May 23 2023 12:00AM,-,M-07,JOB,,,GRNTHUMB,+,0,
2300214,,Apr  6 2022  4:37PM,GT Open,,Apr  7 2022  1:09PM,,Apr  6 2022 12:00AM,-,M-10,JOB,,,GRNTHUMB,-,1,
2049702,,Jul  8 2020  3:00PM,GT Open,,Jul  9 2020  2:12PM,,Jul  8 2020 12:00AM,-,B-03,JOB,,,GRNTHUMB,-,1,
1972061,,Oct 22 2019  5:03PM,GT Open,,Oct 23 2019 11:25AM,,Oct 22 2019 12:00AM,-,X-06,JOB,,,GRNTHUMB,+,1,
1110785,,Apr 28 2015  3:15PM,Completed,,,,Apr 28 2015  3:15PM,-,B-01,JOB,,,,-,0,Apr 28 2015  3:15PM
1189922,,Sep  8 2015  9:45AM,Completed,,,,Sep  8 2015  9:45AM,-,Q-07A,JOB,,,,-,0,Sep  8 2015  9:45AM
2002991,,Feb 10 2020 12:34PM,GT Open,,Feb 12 2020 10:37AM,,Feb 10 2020 12:00AM,-,B-03,JOB,,,GRNTHUMB,+,1,
1946419,,Jul 29 2019  5:40PM,GT Open,,Aug  2 2019 10:29AM,,Jul 29 2019 12:00AM,-,B-16,JOB,,,GRNTHUMB,+,1,
1232462,,Nov 29 2015  6:09PM,Completed,,,,Nov 29 2015  6:09PM,-,M-05,JOB,,,,-,0,Nov 29 2015  6:09PM
1921277,,Jun 17 2019  2:58PM,GT Open,,Jun 27 2019  2:22PM,,Jun 17 2019 12:00AM,-,M-07,JOB,,,GRNTHUMB,+,2,
