transfers_in,present_register,transfers_out
,406.0,
,254.0,
14.0,297.0,14.0
,377.0,
14.0,481.0,14.0
39.0,472.0,39.0
,637.0,
,297.0,
,514.0,
,1015.0,
,238.0,
,994.0,
,625.0,
,477.0,
,635.0,
,439.0,
,276.0,
15.0,338.0,15.0
,133.0,
,393.0,
,265.0,
,1022.0,
,115.0,
,326.0,
12.0,342.0,12.0
,298.0,
20.0,462.0,20.0
18.0,455.0,18.0
20.0,753.0,20.0
,468.0,
,,
,1013.0,
,483.0,
20.0,1066.0,20.0
,424.0,
14.0,458.0,14.0
,408.0,
,285.0,
22.0,875.0,22.0
29.0,707.0,29.0
15.0,227.0,15.0
35.0,519.0,35.0
27.0,486.0,21.0
,621.0,
,434.0,
37.0,1279.0,37.0
,889.0,
61.0,1061.0,61.0
,402.0,
,243.0,
45.0,1265.0,45.0
,460.0,
31.0,598.0,31.0
,554.0,
,382.0,
,548.0,
70.0,188.0,70.0
20.0,1261.0,20.0
,341.0,
15.0,207.0,15.0
,720.0,
,339.0,
39.0,82.0,39.0
56.0,626.0,56.0
,484.0,
,153.0,
19.0,1023.0,19.0
37.0,786.0,30.0
19.0,187.0,19.0
,475.0,
,355.0,
,1041.0,11.0
15.0,200.0,15.0
,137.0,
40.0,1096.0,40.0
,1211.0,
14.0,845.0,11.0
12.0,427.0,12.0
,109.0,
,249.0,
29.0,1330.0,29.0
,711.0,
,447.0,
,279.0,
,185.0,
,411.0,
,681.0,
42.0,1353.0,42.0
30.0,1156.0,30.0
,178.0,
,650.0,
,412.0,
,109.0,
,200.0,
17.0,1335.0,17.0
,442.0,11.0
29.0,469.0,29.0
,615.0,11.0
,1124.0,
27.0,658.0,27.0
,264.0,
18.0,379.0,15.0
19.0,202.0,19.0
21.0,488.0,21.0
18.0,758.0,18.0
31.0,461.0,31.0
,123.0,
,956.0,
,184.0,
51.0,1046.0,51.0
,677.0,
20.0,246.0,20.0
,334.0,
,743.0,
,300.0,
65.0,303.0,65.0
21.0,278.0,21.0
,157.0,
12.0,334.0,12.0
,817.0,
,634.0,
,278.0,
,162.0,
,345.0,
,345.0,
,500.0,
,198.0,
,418.0,
23.0,515.0,23.0
,251.0,
,298.0,
13.0,458.0,13.0
,766.0,
,1625.0,
,335.0,
30.0,475.0,30.0
,234.0,11.0
12.0,518.0,12.0
,448.0,
,148.0,
62.0,83.0,62.0
54.0,785.0,54.0
,822.0,11.0
,186.0,
,603.0,
35.0,675.0,35.0
,240.0,
,370.0,
,155.0,
19.0,690.0,19.0
27.0,1492.0,27.0
,513.0,
,275.0,
,358.0,
,566.0,
,542.0,
,359.0,
,1709.0,
,422.0,
,559.0,
,346.0,
,270.0,
,167.0,
,511.0,
16.0,1155.0,16.0
,314.0,
,430.0,
,425.0,
14.0,344.0,14.0
,258.0,
,840.0,
,557.0,
,224.0,
,313.0,
,497.0,
,225.0,
,299.0,
57.0,288.0,57.0
15.0,1075.0,15.0
,391.0,
19.0,1425.0,19.0
,166.0,
,440.0,
,420.0,
,595.0,
,687.0,
