instruction_days,religious_holydays,attendance_02,aggregate_attendance,register_06,grade_code
12,4,387.0,4704.0,0,0
8,4,,552.0,0,0
12,4,228.0,2959.0,0,0
12,4,356.0,4424.0,0,0
12,4,408.0,5300.0,0,0
12,4,354.0,4743.0,0,0
12,4,580.0,7014.0,0,0
12,4,275.0,3414.0,0,0
12,4,469.0,5683.0,0,0
12,4,922.0,11262.0,0,0
12,4,154.0,2304.0,0,0
12,4,938.0,11711.0,0,0
12,4,571.0,7240.0,0,0
12,4,457.0,5603.0,0,0
12,4,555.0,6932.0,0,0
12,4,371.0,4627.0,0,0
12,4,257.0,3149.0,0,0
12,4,265.0,3332.0,0,0
12,4,119.0,1488.0,0,0
12,4,336.0,4139.0,0,0
12,4,222.0,2812.0,0,0
12,4,922.0,11328.0,0,0
12,4,90.0,1170.0,0,0
12,4,294.0,3591.0,0,0
12,4,273.0,3547.0,0,0
12,4,244.0,3045.0,0,0
12,4,421.0,5157.0,0,0
12,4,400.0,4972.0,0,0
12,4,682.0,8382.0,0,0
12,4,408.0,5188.0,0,0
12,4,,,0,0
12,4,888.0,10763.0,0,0
12,4,458.0,5434.0,0,0
12,4,928.0,11978.0,0,0
12,4,401.0,4975.0,0,0
12,4,393.0,4996.0,0,0
12,4,374.0,4536.0,0,0
12,4,198.0,3135.0,0,0
12,4,771.0,9566.0,0,0
12,4,649.0,7915.0,0,0
12,4,192.0,2405.0,0,0
12,4,398.0,5011.0,0,0
12,4,413.0,5251.0,0,0
12,4,594.0,7145.0,0,0
12,4,389.0,4869.0,0,0
12,4,1214.0,14607.0,0,0
12,4,809.0,9927.0,0,0
12,4,842.0,10779.0,0,0
12,4,311.0,4051.0,0,0
12,4,221.0,2688.0,0,0
12,4,1069.0,13601.0,0,0
12,4,239.0,2865.0,0,0
12,4,148.0,1915.0,0,0
12,4,442.0,5652.0,0,0
12,4,378.0,4700.0,0,0
12,4,656.0,8386.0,0,0
12,4,238.0,3025.0,0,0
12,4,213.0,2623.0,0,0
12,4,536.0,6638.0,0,0
12,4,213.0,2724.0,0,0
12,4,284.0,3489.0,0,0
12,4,392.0,4658.0,0,0
12,4,1589.0,19205.0,0,0
12,4,405.0,4896.0,0,0
12,4,602.0,7527.0,0,0
12,4,794.0,10430.0,0,0
12,4,684.0,8426.0,0,0
12,4,511.0,6167.0,0,0
12,4,858.0,10895.0,0,0
12,4,232.0,2966.0,0,0
12,4,212.0,2568.0,0,0
12,4,168.0,2109.0,0,0
12,4,311.0,3683.0,0,0
12,4,99.0,1478.0,0,0
12,4,246.0,3175.0,0,0
12,4,652.0,7855.0,0,0
12,4,284.0,3455.0,0,0
12,4,376.0,4546.0,0,0
12,4,234.0,3033.0,0,0
12,4,356.0,4447.0,0,0
12,4,704.0,8859.0,0,0
12,4,427.0,5414.0,0,0
12,4,253.0,3140.0,0,0
12,4,478.0,5653.0,0,0
12,4,878.0,11062.0,0,0
12,4,649.0,8039.0,0,0
12,4,61.0,811.0,0,0
12,4,704.0,8647.0,0,0
12,4,362.0,4718.0,0,0
12,4,325.0,4236.0,0,0
12,4,134.0,1743.0,0,0
12,4,425.0,5645.0,0,0
12,4,443.0,5688.0,0,0
12,4,335.0,4234.0,0,0
12,4,381.0,4671.0,0,0
12,4,302.0,3916.0,0,0
12,4,210.0,2575.0,0,0
12,4,1218.0,15333.0,0,0
12,4,80.0,981.0,0,0
12,4,177.0,2071.0,0,0
12,4,283.0,3536.0,0,0
12,4,49.0,638.0,0,0
12,4,141.0,1650.0,0,0
12,4,562.0,7114.0,0,0
12,4,244.0,2939.0,0,0
12,4,382.0,4460.0,0,0
12,4,882.0,10914.0,0,0
12,4,606.0,7322.0,0,0
12,4,614.0,7558.0,0,0
12,4,622.0,7648.0,0,0
12,4,100.0,1249.0,0,0
12,4,318.0,3840.0,0,0
12,4,641.0,7989.0,0,0
12,4,318.0,3836.0,0,0
12,4,726.0,8949.0,0,0
12,4,821.0,10057.0,0,0
12,4,502.0,6618.0,0,0
12,4,479.0,5875.0,0,0
12,4,342.0,4338.0,0,0
12,4,277.0,3301.0,0,0
12,4,791.0,9543.0,0,0
12,4,202.0,2491.0,0,0
12,4,253.0,3234.0,0,0
12,4,1636.0,19773.0,0,0
12,4,314.0,3844.0,0,0
12,4,99.0,1280.0,0,0
12,4,320.0,4167.0,0,0
12,4,906.0,11189.0,0,0
12,4,352.0,4334.0,0,0
12,4,885.0,10874.0,0,0
12,4,132.0,1615.0,0,0
12,4,328.0,4185.0,0,0
12,4,835.0,10009.0,0,0
12,4,501.0,6169.0,0,0
12,4,419.0,5112.0,0,0
12,4,68.0,845.0,0,0
12,4,274.0,3300.0,0,0
12,4,428.0,5317.0,0,0
12,4,77.0,1057.0,0,0
12,4,559.0,6735.0,0,0
12,4,122.0,1387.0,0,0
12,4,414.0,5099.0,0,0
12,4,502.0,6044.0,0,0
12,4,599.0,7286.0,0,0
12,4,972.0,12004.0,0,0
12,4,196.0,2501.0,0,0
12,4,531.0,6538.0,0,0
12,4,213.0,2700.0,0,0
12,4,302.0,3908.0,0,0
12,4,310.0,3792.0,0,0
12,4,326.0,3889.0,0,0
12,4,327.0,4000.0,0,0
12,4,96.0,1232.0,0,0
12,4,339.0,4285.0,0,0
12,4,199.0,2492.0,0,0
12,4,566.0,7014.0,0,0
12,4,369.0,4450.0,0,0
12,4,273.0,3472.0,0,0
12,4,49.0,642.0,0,0
12,4,143.0,1804.0,0,0
12,4,386.0,4876.0,0,0
12,4,264.0,3198.0,0,0
