register_08,register_09,attendance_05,register_02,register_03,level
0,0,0,406.0,405,110.0
0,0,0,,214,335.0
0,0,0,298.0,298,340.0
0,0,0,377.0,377,220.0
0,0,0,483.0,483,220.0
0,0,0,471.0,470,340.0
0,0,0,636.0,635,110.0
0,0,0,297.0,297,110.0
0,0,0,514.0,515,340.0
0,0,0,1007.0,1011,110.0
0,0,0,241.0,239,220.0
0,0,0,995.0,995,110.0
0,0,0,628.0,628,110.0
0,0,0,477.0,477,340.0
0,0,0,640.0,640,110.0
0,0,0,441.0,440,340.0
0,0,0,278.0,278,110.0
0,0,0,336.0,336,340.0
0,0,0,137.0,136,220.0
0,0,0,395.0,391,110.0
0,0,0,266.0,266,340.0
0,0,0,1023.0,1024,110.0
0,0,0,115.0,115,340.0
0,0,0,326.0,325,220.0
0,0,0,342.0,342,340.0
0,0,0,297.0,296,220.0
0,0,0,459.0,462,340.0
0,0,0,455.0,453,220.0
0,0,0,753.0,753,110.0
0,0,0,468.0,468,340.0
0,0,0,,0,
0,0,0,1006.0,1005,110.0
0,0,0,486.0,486,110.0
0,0,0,1065.0,1066,110.0
0,0,0,424.0,424,110.0
0,0,0,456.0,457,110.0
0,0,0,405.0,406,110.0
0,0,0,287.0,286,110.0
0,0,0,873.0,873,110.0
0,0,0,703.0,703,110.0
0,0,0,227.0,227,220.0
0,0,0,521.0,519,360.0
0,0,0,483.0,479,110.0
0,0,0,620.0,620,340.0
0,0,0,433.0,433,110.0
0,0,0,1274.0,1276,110.0
0,0,0,890.0,890,110.0
0,0,0,1071.0,1063,350.0
0,0,0,402.0,402,340.0
0,0,0,243.0,243,220.0
0,0,0,939.0,938,340.0
0,0,0,520.0,521,110.0
0,0,0,797.0,797,110.0
0,0,0,197.0,199,110.0
0,0,0,340.0,342,340.0
0,0,0,561.0,559,110.0
0,0,0,513.0,516,110.0
0,0,0,584.0,583,110.0
0,0,0,432.0,430,220.0
0,0,0,358.0,358,340.0
0,0,0,300.0,300,110.0
0,0,0,524.0,525,220.0
0,0,0,740.0,740,110.0
0,0,0,371.0,365,340.0
0,0,0,154.0,155,340.0
0,0,0,203.0,200,220.0
0,0,0,384.0,387,340.0
0,0,0,553.0,547,340.0
0,0,0,625.0,623,220.0
0,0,0,745.0,745,110.0
0,0,0,395.0,396,340.0
0,0,0,451.0,449,110.0
0,0,0,307.0,307,110.0
0,0,0,611.0,610,110.0
0,0,0,273.0,273,110.0
0,0,0,435.0,438,340.0
0,0,0,372.0,372,220.0
0,0,0,531.0,532,110.0
0,0,0,318.0,318,110.0
0,0,0,756.0,756,220.0
0,0,0,204.0,206,360.0
0,0,0,,162,335.0
0,0,0,395.0,396,340.0
0,0,0,965.0,964,110.0
0,0,0,372.0,373,110.0
0,0,0,411.0,411,110.0
0,0,0,405.0,405,340.0
0,0,0,580.0,578,340.0
0,0,0,415.0,416,220.0
0,0,0,295.0,295,110.0
0,0,0,203.0,203,110.0
0,0,0,826.0,826,110.0
0,0,0,185.0,185,340.0
0,0,0,856.0,855,110.0
0,0,0,451.0,451,340.0
0,0,0,415.0,416,220.0
0,0,0,255.0,250,340.0
0,0,0,362.0,363,340.0
0,0,0,226.0,227,110.0
0,0,0,191.0,191,340.0
0,0,0,769.0,775,220.0
0,0,0,476.0,475,220.0
0,0,0,742.0,738,110.0
0,0,0,511.0,510,110.0
0,0,0,666.0,666,345.0
0,0,0,457.0,457,220.0
0,0,0,,173,335.0
0,0,0,212.0,212,110.0
0,0,0,526.0,526,110.0
0,0,0,425.0,426,340.0
0,0,0,62.0,62,220.0
0,0,0,359.0,359,340.0
0,0,0,754.0,755,110.0
0,0,0,294.0,291,340.0
0,0,0,314.0,314,220.0
0,0,0,215.0,214,220.0
0,0,0,152.0,154,110.0
0,0,0,151.0,151,220.0
0,0,0,374.0,374,220.0
0,0,0,247.0,244,220.0
0,0,0,201.0,201,110.0
0,0,0,411.0,412,340.0
0,0,0,506.0,504,110.0
0,0,0,1224.0,1226,110.0
0,0,0,420.0,419,350.0
0,0,0,598.0,597,110.0
0,0,0,259.0,258,220.0
0,0,0,386.0,385,220.0
0,0,0,411.0,411,220.0
0,0,0,202.0,202,110.0
0,0,0,489.0,490,110.0
0,0,0,1479.0,1477,110.0
0,0,0,1120.0,1119,110.0
0,0,0,541.0,540,220.0
0,0,0,532.0,532,110.0
0,0,0,694.0,693,340.0
0,0,0,731.0,732,110.0
0,0,0,893.0,893,110.0
0,0,0,313.0,314,110.0
0,0,0,263.0,263,220.0
0,0,0,203.0,202,220.0
0,0,0,268.0,268,220.0
0,0,0,1180.0,1179,220.0
0,0,0,662.0,659,110.0
0,0,0,891.0,892,110.0
0,0,0,985.0,982,340.0
0,0,0,707.0,705,110.0
0,0,0,1099.0,1099,110.0
0,0,0,273.0,273,220.0
0,0,0,377.0,377,110.0
0,0,0,251.0,251,360.0
0,0,0,311.0,311,220.0
0,0,0,505.0,505,220.0
0,0,0,114.0,257,360.0
0,0,0,605.0,603,110.0
0,0,0,35.0,35,220.0
0,0,0,637.0,637,110.0
0,0,0,157.0,157,220.0
0,0,0,369.0,369,220.0
0,0,0,626.0,626,110.0
0,0,0,1311.0,1311,360.0
0,0,0,1458.0,1458,110.0
0,0,0,297.0,295,110.0
0,0,0,479.0,477,220.0
0,0,0,193.0,193,110.0
0,0,0,354.0,354,110.0
0,0,0,759.0,760,110.0
0,0,0,661.0,662,110.0
0,0,0,1105.0,1102,110.0
0,0,0,906.0,900,110.0
0,0,0,191.0,191,220.0
0,0,0,1091.0,1089,110.0
0,0,0,36.0,36,110.0
0,0,0,456.0,457,110.0
0,0,0,606.0,605,110.0
0,0,0,261.0,261,110.0
0,0,0,505.0,505,220.0
0,0,0,585.0,584,110.0
0,0,0,585.0,588,110.0
0,0,0,105.0,106,220.0
0,0,0,261.0,259,340.0
0,0,0,527.0,530,360.0
0,0,0,674.0,674,110.0
0,0,0,3010.0,3009,340.0
0,0,0,543.0,540,340.0
0,0,0,1170.0,1170,110.0
