fy_2018,fy_2017,fy_2010,fy_2004,fy_2000
"20,596,785","26,050,548",22934636.0,2858729.0,4384355.0
"395,291,522","364,833,202",313861796.0,241548922.0,828461324.0
"21,188,461","11,864,564",48610748.0,20958440.0,25494232.0
"53,601,620","14,194,500",7416170.0,28361747.0,30040433.0
"289,520,243","323,733,327",346829234.0,173092620.0,185248832.0
"2,757,510","2,259,686",-1129990.0,4086647.0,16769747.0
"54,663,725","91,227,842",73838005.0,199106104.0,191145973.0
"23,371,214","28,841,451",21154647.0,11595258.0,11457433.0
"552,046,206","489,166,438",424184901.0,205105412.0,226475986.0
"24,898,292","12,428,717",619364.0,2304218.0,1109875.0
"11,116,936","12,019,244",44877454.0,26419597.0,4156256.0
"1,516,056,984","1,230,434,491",1155503734.0,962002910.0,914731731.0
"248,654,440","166,234,165",284736532.0,88480544.0,111224291.0
