fy_2005,fy_2001,fy_1995,fy_1994,fy_1992,fy_2002
7862654.0,2665956.0,839158.0,853742.0,1694796.0,5553700.0
996069012.0,236331001.0,289034113.0,189352563.0,215549691.0,522927355.0
17280136.0,20885276.0,9552710.0,11013612.0,0.0,11716026.0
192984131.0,166399497.0,96699248.0,83457624.0,94726023.0,195633539.0
67442340.0,23325926.0,28526123.0,1985643.0,0.0,10253346.0
52600025.0,131814524.0,53020683.0,29185752.0,29166557.0,28105343.0
57221023.0,161990860.0,27933417.0,42611656.0,52401947.0,138351412.0
38934723.0,26182353.0,17755656.0,23311035.0,3376508.0,32412739.0
488958030.0,364766980.0,322246284.0,218879227.0,189704888.0,302791416.0
1679394109.0,830009738.0,705398608.0,616392666.0,893639535.0,796865009.0
65236348.0,44707538.0,36886270.0,86635081.0,32648094.0,41356514.0
317255832.0,255908233.0,140618768.0,115785257.0,159433573.0,262070142.0
159290322.0,276674044.0,150210001.0,220919054.0,328365080.0,268060534.0
