famtype_pu,est_commuting,est_nutrition,intp_adj,est_povgap,est_heap,retp_adj,np,rntp_adj,educattain
8,8143.5,0.0,0.0,2603.8545,0,0.0,1,0.0,2.0
4,3123.1067,7228.5,0.0,0.0,0,0.0,8,0.0,2.0
1,4469.0,612.5,0.0,0.0,0,0.0,4,0.0,3.0
5,521.38336,640.0,0.0,0.0,0,0.0,4,688.90594,2.0
4,0.0,10953.25,0.0,0.0,0,0.0,7,0.0,2.0
2,0.0,2286.0,0.0,0.0,0,0.0,4,0.0,1.0
1,3664.5801,1225.0,0.0,36593.582,0,0.0,12,0.0,3.0
2,0.0,0.0,9523.1113,0.0,35,0.0,2,1114.4067,4.0
8,0.0,0.0,0.0,0.0,0,72942.984,1,0.0,4.0
4,0.0,10953.25,0.0,0.0,0,0.0,7,0.0,1.0
2,2706.0,0.0,0.0,0.0,0,0.0,5,2026.194,4.0
8,1230.0,0.0,0.0,0.0,0,0.0,1,0.0,3.0
8,984.0,0.0,50.65485,0.0,0,0.0,1,1317.0261,4.0
4,0.0,3385.0,0.0,12989.188,35,0.0,3,709.16791,1.0
8,0.0,0.0,0.0,16241.6,35,0.0,1,0.0,3.0
5,2460.0,582.0,0.0,0.0,0,0.0,3,2026.194,3.0
2,0.0,4239.0,0.0,2677.6855,0,0.0,2,1418.3358,4.0
2,1476.0,0.0,0.0,0.0,0,0.0,2,0.0,4.0
6,0.0,0.0,0.0,0.0,35,0.0,2,810.4776,3.0
2,5855.6201,194.0,0.0,0.0,0,0.0,5,0.0,2.0
1,5412.0,6107.5,0.0,0.0,35,0.0,10,2127.5037,2.0
2,649.44,0.0,303.92911,0.0,0,0.0,2,1114.4067,4.0
2,5855.6201,194.0,0.0,0.0,0,0.0,5,0.0,2.0
7,0.0,0.0,0.0,11196.604,0,0.0,4,0.0,2.0
8,432.95999,0.0,0.0,0.0,0,0.0,1,0.0,4.0
8,0.0,1805.0,0.0,0.0,35,2532.7424,1,1215.7164,3.0
2,1230.0,0.0,0.0,0.0,0,0.0,2,0.0,4.0
1,5954.02,612.5,0.0,0.0,0,0.0,6,0.0,3.0
8,0.0,0.0,0.0,0.0,0,0.0,1,861.13245,2.0
1,3198.0,1225.0,0.0,0.0,0,0.0,5,0.0,4.0
7,0.0,596.0,0.0,0.0,0,0.0,3,3343.2202,4.0
2,5855.6201,194.0,0.0,0.0,0,0.0,5,0.0,4.0
6,1259.52,0.0,0.0,0.0,0,0.0,2,2026.194,2.0
2,3523.54,0.0,0.0,0.0,0,0.0,4,2532.7424,2.0
1,1230.0,918.75,0.0,0.0,0,0.0,5,1519.6455,2.0
1,5788.3799,0.0,0.0,0.0,0,0.0,6,0.0,3.0
1,6131.4678,0.0,0.0,0.0,0,0.0,4,0.0,1.0
7,393.60001,1206.0,0.0,0.0,0,0.0,2,2127.5037,4.0
6,0.0,4198.0,0.0,5093.9785,35,0.0,2,800.34662,2.0
4,246.0,612.5,0.0,0.0,0,0.0,4,0.0,1.0
4,3123.1067,7228.5,0.0,0.0,0,0.0,8,0.0,2.0
1,2234.5,0.0,0.0,0.0,0,0.0,4,1620.9552,1.0
2,12052.893,2038.0,0.0,0.0,0,0.0,4,0.0,4.0
2,8092.5,1227.0,0.0,0.0,0,0.0,4,0.0,3.0
1,2189.3999,1775.0,0.0,0.0,0,0.0,6,0.0,1.0
1,6592.7998,1837.5,0.0,0.0,0,0.0,5,1215.7164,4.0
2,2204.1599,1273.0,0.0,0.0,0,0.0,4,0.0,4.0
2,3198.0,0.0,0.0,0.0,0,0.0,2,2127.5037,4.0
1,3093.9966,7391.5,0.0,3039.6328,0,0.0,6,2127.5037,4.0
1,399.23065,5931.5,0.0,0.0,0,0.0,4,0.0,4.0
1,3153.4011,2922.5,0.0,0.0,0,0.0,7,0.0,4.0
4,0.0,2512.5,0.0,22087.158,0,0.0,4,1722.2649,1.0
1,1230.0,1794.5,0.0,0.0,0,0.0,4,668.64404,1.0
5,1230.0,4239.0,0.0,0.0,0,0.0,3,0.0,1.0
1,0.0,10190.25,0.0,11762.846,35,0.0,5,415.36978,1.0
2,0.0,0.0,0.0,0.0,0,36471.492,2,0.0,3.0
1,4163.5498,612.5,0.0,0.0,0,0.0,4,1620.9552,1.0
2,4746.0234,244.0,0.0,0.0,0,33837.441,3,0.0,2.0
4,1230.0,3931.75,0.0,6024.0898,0,0.0,6,0.0,1.0
1,0.0,0.0,0.0,0.0,0,0.0,3,1317.0261,1.0
1,1476.0,1225.0,0.0,0.0,0,0.0,4,0.0,1.0
1,0.0,612.5,0.0,0.0,0,0.0,4,3039.291,4.0
1,0.0,0.0,0.0,30974.514,0,0.0,4,0.0,1.0
1,1948.3199,612.5,0.0,0.0,0,0.0,4,1114.4067,1.0
7,324.72,1036.0,0.0,0.0,0,0.0,3,1114.4067,3.0
1,3664.5801,1225.0,0.0,36593.582,0,0.0,12,0.0,1.0
4,1968.0,4061.0,0.0,0.0,35,0.0,4,638.2511,1.0
4,0.0,5767.0,0.0,23337.334,0,0.0,3,2127.5037,1.0
2,2204.1599,1273.0,0.0,0.0,0,0.0,4,0.0,4.0
4,0.0,10953.25,0.0,0.0,0,0.0,7,0.0,1.0
7,738.0,0.0,0.0,9291.4893,0,0.0,3,1418.3358,3.0
2,0.0,1162.0,0.0,0.0,0,0.0,2,0.0,2.0
1,2347.25,0.0,0.0,0.0,0,0.0,4,1317.0261,1.0
4,0.0,5157.0,0.0,0.0,0,0.0,3,1317.0261,3.0
8,649.44,0.0,0.0,5180.7295,35,0.0,1,0.0,4.0
1,399.23065,5931.5,0.0,0.0,0,0.0,4,0.0,3.0
1,1787.6,1225.0,0.0,0.0,0,0.0,6,0.0,1.0
6,0.0,4620.0,0.0,0.0,0,0.0,2,0.0,4.0
2,0.0,0.0,749.69177,0.0,0,0.0,4,0.0,1.0
4,984.0,881.5,0.0,0.0,35,0.0,4,1114.4067,4.0
2,2681.3999,0.0,0.0,0.0,0,0.0,2,1418.3358,3.0
2,4954.1665,0.0,0.0,0.0,0,0.0,2,0.0,4.0
6,1161.12,659.0,0.0,2514.8965,0,0.0,2,638.2511,3.0
2,0.0,1162.0,0.0,0.0,0,5065.4849,2,0.0,2.0
5,2952.0,1485.0,0.0,0.0,0,0.0,3,0.0,3.0
1,4469.0,612.5,0.0,0.0,0,0.0,4,0.0,1.0
1,0.0,612.5,0.0,0.0,0,0.0,3,1418.3358,4.0
1,1127.0081,0.0,0.0,4810.4063,21,0.0,4,1620.9552,1.0
4,492.0,9415.5,0.0,3499.4963,0,0.0,5,0.0,1.0
2,0.0,0.0,0.0,0.0,0,1722.2649,2,0.0,1.0
5,0.0,0.0,0.0,0.0,0,0.0,7,0.0,2.0
2,1795.8,0.0,0.0,0.0,0,0.0,2,911.78729,3.0
6,0.0,0.0,0.0,0.0,0,16513.48,2,1317.0261,1.0
