dbn,male_2,ell_chinese_2,asian_1,grade_6,grade_5,grade_8,ell_urdu_2,math_test_takers,ell_korean_2,category,ell_urdu_1,ell_haitian_creole_1,math_l3_l4_2,ell_arabic_1,ell_spanish_1,math_level_4_2,ell_bengali_2,ela_level_1_1,ela_level_1_2,grade_k,grade_2
14K414,46.9%,No Data,s,No Data,No Data,No Data,No Data,40,No Data,All Students,No Data,No Data,65.0%,No Data,No Data,40.0%,No Data,s,s,No Data,28
17K399,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
19K214,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
05M161,42.0%,No Data,s,10,8,8,No Data,51,No Data,Attend school outside district of residence,No Data,No Data,s,No Data,No Data,s,No Data,23,46.0%,s,7
03M075,48.0%,No Data,s,No Data,36,No Data,No Data,119,No Data,All Students,No Data,No Data,53.8%,No Data,No Data,25.2%,No Data,30,25.2%,47,56
19K662,s,No Data,s,No Data,No Data,No Data,No Data,s,No Data,Students with Disabilities,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
24Q143,s,No Data,s,No Data,s,No Data,No Data,s,No Data,Students with Disabilities,No Data,No Data,s,No Data,No Data,s,No Data,s,s,s,No Data
06M143,s,No Data,s,No Data,No Data,No Data,No Data,s,No Data,Receive free or reduced price lunch,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
14K059,s,No Data,s,No Data,No Data,No Data,No Data,s,No Data,Students with Disabilities,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
19K218,50.0%,s,s,8,No Data,No Data,s,21,s,English Language Learners,s,s,s,s,22,s,s,15,93.8%,No Data,No Data
09X053,58.3%,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,All Students,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,No Data
20K179,s,No Data,s,No Data,No Data,No Data,No Data,s,No Data,Reside in temporary housing,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
03M256,64.5%,No Data,s,No Data,No Data,17,No Data,31,No Data,Receive free or reduced price lunch,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
03M247,s,No Data,s,No Data,No Data,s,No Data,s,No Data,Reside in temporary housing,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
19K007,s,s,s,No Data,No Data,No Data,s,No Data,s,English Language Learners,s,s,No Data,s,s,No Data,s,No Data,No Data,No Data,s
12X092,56.3%,No Data,s,No Data,No Data,No Data,No Data,6,No Data,Attend school outside district of residence,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,10
24Q211,s,No Data,s,No Data,No Data,No Data,No Data,s,No Data,Attend school outside district of residence,No Data,No Data,s,No Data,No Data,s,No Data,s,s,s,s
21K281,40.7%,85.2%,25,11,No Data,No Data,s,27,s,English Language Learners,s,s,s,s,s,25.9%,s,11,73.3%,No Data,No Data
