recordid,address,y,:@computed_region_f5dn_yrer,:@computed_region_efsh_h5xi,zip_new,house_number,borough,cb_new,location,support_structure,nta_2010
546,143 VARICK ST,203752.3048,57.0,12076.0,10013,143.0,Manhattan,102,"{'latitude': '40.72593', 'longitude': '-74.005724'}",,MN24
169,199 CHAMBERS ST,200470.0634,56.0,12076.0,10013,199.0,Manhattan,101,"{'latitude': '40.71692', 'longitude': '-74.012281'}",,MN24
659,55 Avenue of the Amer,202040.3025,56.0,12076.0,10013,55.0,Manhattan,101,"{'latitude': '40.721231', 'longitude': '-74.005274'}",,MN24
899,175 2 AV,205377.4951,70.0,11724.0,10003,175.0,Manhattan,103,"{'latitude': '40.73039', 'longitude': '-73.986369'}",,MN22
867,47 3 AV,205502.27,70.0,11724.0,10003,47.0,Manhattan,103,"{'latitude': '40.730732', 'longitude': '-73.989046'}",,MN22
857,129 E 10 ST,205414.7831,70.0,11724.0,10003,129.0,Manhattan,103,"{'latitude': '40.730492', 'longitude': '-73.9886'}",,MN22
952,206 E 14 ST,206409.4855,71.0,11724.0,10003,206.0,Manhattan,103,"{'latitude': '40.733222', 'longitude': '-73.987014'}",,MN22
743,390 GREENWICH ST,201828.2305,56.0,12076.0,10013,390.0,Manhattan,101,"{'latitude': '40.720648', 'longitude': '-74.010119'}",,MN24
96,33 THOMAS ST,200245.2749,56.0,11728.0,10007,33.0,Manhattan,101,"{'latitude': '40.716304', 'longitude': '-74.006176'}",,MN24
569,281 W BROADWAY,201959.6582,56.0,12076.0,10013,281.0,Manhattan,101,"{'latitude': '40.721009', 'longitude': '-74.004908'}",,MN24
241,140 PARK PL,199764.7852,56.0,11728.0,10007,140.0,Manhattan,101,"{'latitude': '40.714984', 'longitude': '-74.013076'}",,MN24
752,390 GREENWICH ST,201828.2305,56.0,12076.0,10013,390.0,Manhattan,101,"{'latitude': '40.720648', 'longitude': '-74.010119'}",,MN24
579,47 BEACH ST,201825.074,56.0,12076.0,10013,47.0,Manhattan,101,"{'latitude': '40.72064', 'longitude': '-74.008966'}",,MN24
695,38 WEST ST,197002.675,56.0,10367.0,10006,38.0,Manhattan,101,"{'latitude': '40.707402', 'longitude': '-74.015628'}",,MN25
465,161 Avenue of the Amer,203630.6879,57.0,12075.0,10013,161.0,Manhattan,102,"{'latitude': '40.725596', 'longitude': '-74.003992'}",,MN24
559,572 BROOME ST,203218.5077,57.0,12076.0,10013,572.0,Manhattan,102,"{'latitude': '40.724464', 'longitude': '-74.006694'}",,MN24
897,168 2 AV,205321.9464,70.0,11724.0,10003,168.0,Manhattan,103,"{'latitude': '40.730237', 'longitude': '-73.986509'}",,MN22
204,75 PARK PL,199510.5551,56.0,11728.0,10007,75.0,Manhattan,101,"{'latitude': '40.714287', 'longitude': '-74.011514'}",,MN24
393,160 Avenue of the Amer,203549.7858,57.0,12075.0,10013,160.0,Manhattan,102,"{'latitude': '40.725374', 'longitude': '-74.004066'}",,MN24
804,115 E 9 ST,205372.2598,70.0,11724.0,10003,115.0,Manhattan,103,"{'latitude': '40.730376', 'longitude': '-73.989944'}",,MN22
398,131 Avenue of the Amer,203116.05,57.0,12075.0,10013,131.0,Manhattan,102,"{'latitude': '40.724183', 'longitude': '-74.004569'}",,MN24
776,350 E 9 ST,204755.9789,70.0,11724.0,10003,350.0,Manhattan,103,"{'latitude': '40.728684', 'longitude': '-73.986034'}",,MN22
858,123 E 10 ST,205432.1034,70.0,11724.0,10003,123.0,Manhattan,103,"{'latitude': '40.73054', 'longitude': '-73.988693'}",,MN22
