app_id,business_name,app_chairs,city,dpqa,send_package_dd,swc_tables,hearing_dd,cp,nan with license_nbr,Approved with license_nbr,Pending Review with license_nbr
33224-2019-RSWC,SONNY LOU INC,12,NEW YORK,Issued Temp Op Letter,2019-11-21T00:00:00.000,6,2020-01-24T00:00:00.000,Pending Review,,,2055690-DCA
2373-2020-RSWC,RENAISSANCE HARLEM CORP,58,NEW YORK,Issued Temp Op Letter,2020-02-03T00:00:00.000,27,,Pending Review,,,2055688-DCA
6755-2019-ASWC,RALPH LAUREN RETAIL INC,7,NEW YORK,Approved,2019-06-10T00:00:00.000,4,2019-08-07T00:00:00.000,,,2089503-DCA,
27290-2019-RSWC,"LUNELLA RISTORA NTE, INC.",8,NEW YORK,Issued Temp Op Letter,2019-09-20T00:00:00.000,4,2019-11-27T00:00:00.000,Pending Review,,,1072629-DCA
31814-2019-RSWC,PQ 933 BROADWAY INC.,15,NEW YORK,Issued Temp Op Letter,2019-11-12T00:00:00.000,6,,Pending Review,,,1454646-DCA
297-2020-RSWC,SAMMY'S S.B. REST. CORP.,34,BRONX,Under Review,2020-01-10T00:00:00.000,9,2020-03-06T00:00:00.000,Pending Review,,,1251412-DCA
12693-2019-ASWC,E & A BAGEL CORP.,16,NEW YORK,Withdrawal - Refund Request,,8,,,2092160-DCA,,
35177-2019-RSWC,DESSERT PALACE BOSE INC,22,BROOKLYN,Issued Temp Op Letter,2019-12-13T00:00:00.000,11,2020-01-06T00:00:00.000,Pending Review,,,2049840-DCA
26581-2019-RSWC,AKRAM RESTAURANT MANAGEMENT INC.,38,NEW YORK,Issued Temp Op Letter,2019-09-13T00:00:00.000,19,2019-11-07T00:00:00.000,Pending Review,,,1249523-DCA
32327-2019-RSWC,"18 GREENWICH AVENUE, LLC",16,NEW YORK,Process Completed,2020-01-23T00:00:00.000,8,2020-03-25T00:00:00.000,,1454964-DCA,,
904-2020-RSWC,"BROADWAY 104, LLC",36,NEW YORK,Issued Temp Op Letter,2020-01-16T00:00:00.000,18,2020-03-25T00:00:00.000,Pending Review,,,1187714-DCA
3758-2020-RSWC,"LEAHLALA, LLC",32,BROOKLYN,Issued Temp Op Letter,2020-02-25T00:00:00.000,8,2020-04-17T00:00:00.000,Pending Review,,,1221041-DCA
1009-2018-ASWC,ELEVEN FOOD AND BEVERAGE INC.,26,NEW YORK,Review Completed,2018-01-26T00:00:00.000,6,2020-04-17T00:00:00.000,Proceed,,,
19105-2019-RSWC,120 U REST. LLC,24,NEW YORK,Issued Temp Op Letter,2019-05-09T00:00:00.000,12,2020-04-17T00:00:00.000,Proceed,,,1412892-DCA
3852-2019-RSWC,TECTON CAFE INC.,10,NEW YORK,Issued Temp Op Letter,2019-01-25T00:00:00.000,4,2019-03-06T00:00:00.000,Pending Review,,,1359208-DCA
28073-2019-RSWC,NYS LEE INCORPORATED,42,LONG ISLAND CITY,Issued Temp Op Letter,2019-09-30T00:00:00.000,14,2019-11-27T00:00:00.000,Pending Review,,,2050849-DCA
26098-2019-RSWC,BARAWINE LLC,38,NEW YORK,Issued Temp Op Letter,2019-08-30T00:00:00.000,19,2019-10-25T00:00:00.000,Pending Review,,,2055193-DCA
8278-2018-RSWC,JPS VENTURES INC.,16,NEW YORK,Issued Temp Op Letter,2018-05-10T00:00:00.000,5,,Pending Review,,,1283643-DCA
94-2011-RSWC,FRIEND OF A FARMER CORP.,14,NEW YORK,Issued Temp Op Letter,2016-04-27T00:00:00.000,8,2016-06-17T00:00:00.000,,0819452-DCA,,
34083-2019-RSWC,"LE-SE AMSTERDAM 732 RESTAURANT, INC.",17,NEW YORK,Issued Temp Op Letter,2019-12-23T00:00:00.000,7,,Pending Review,,,1138270-DCA
18059-2017-RSWC,"TOTORE PIZZERIA & RESTAURANT, INC.",32,ASTORIA,Issued Temp Op Letter,2017-05-23T00:00:00.000,8,,Pending Review,,,0851667-DCA
34790-2019-RSWC,EVOO GROUP LLC,12,NEW YORK,Issued Temp Op Letter,2019-12-11T00:00:00.000,6,2020-02-13T00:00:00.000,Pending Review,,,2044905-DCA
