business_name,app_tables,issuance_dd,city_council_district,swc_chairs,intake,submit_date,lic_status,street,hearing
207 WEST RESTAURANT CORP.,7,,10,12,Ready For Review,2020-02-13T00:00:00.000,Inactive,BROADWAY,Pending Review
112 RESTAURANT CORP.,6,,33,12,Ready For Review,2020-01-31T00:00:00.000,Inactive,BOND ST,Pending Review
41-08 REST. CORP.,15,,22,30,Ready For Review,2018-06-08T00:00:00.000,Inactive,23RD AVE,Waived
SUPERPIZZA01 CORP,4,,39,8,Ready For Review,2019-11-22T00:00:00.000,Inactive,DEAN ST,Pending Review
DOWNTOWN DINING LLC,10,,2,20,Ready For Review,2019-09-12T00:00:00.000,Inactive,AVENUE A,Waived
"TAPPO, INC.",5,,3,10,Ready For Review,2019-04-04T00:00:00.000,Inactive,W 24TH ST,Waived
SWEET CHICK FLATBUSH LLC,14,,35,34,Ready For Review,2019-12-30T00:00:00.000,Inactive,CARLTON AVE,Waived
LRI,4,,1,8,Ready For Review,2019-09-20T00:00:00.000,Inactive,MULBERRY ST,Waived
"ASTORIA BRICK, LLC",26,,22,60,Ready For Review,2019-10-22T00:00:00.000,Inactive,33RD ST,Pending Review
MADREL LLC,30,,7,58,Ready For Review,2019-12-13T00:00:00.000,Inactive,AMSTERDAM AVE,Waived
PQ 933 BROADWAY INC.,6,,2,15,Ready For Review,2019-11-08T00:00:00.000,Inactive,BROADWAY,Pending Review
"CHELLA LUNA, INC",10,,22,30,Ready For Review,2019-08-28T00:00:00.000,Inactive,30TH AVE,Waived
OLD HEIDELBERG CORP.,12,,5,24,Ready For Review,2019-11-22T00:00:00.000,Inactive,2ND AVE,Pending Review
EFTIHIA REST INC.,22,2020-03-11T00:00:00.000,7,44,Ready For Review,2019-11-19T00:00:00.000,Active,BROADWAY,Waived
West D & P LLC,6,,6,26,Ready For Review,2019-04-19T00:00:00.000,Inactive,BROADWAY,Waived
132 MULBERRY INC,6,,1,12,Ready For Review,2020-02-10T00:00:00.000,Inactive,MULBERRY ST,Pending Review
PK & SON LLC,6,,4,12,Ready For Review,2019-07-17T00:00:00.000,Inactive,E 65TH ST,Waived
GREENWICH BBQ LLC,10,,3,20,Ready For Review,2018-12-19T00:00:00.000,Inactive,GREENWICH AVE,Waived
"OLIVER'S ASTORIA, LLC",18,,22,36,Ready For Review,2019-10-22T00:00:00.000,Inactive,BROADWAY,Waived
"PEDRO'S BAR & RESTAURANT, INC.",7,,33,13,Ready For Review,2019-01-16T00:00:00.000,Inactive,JAY ST,Pending Review
POSTO INC.,10,2019-03-30T00:00:00.000,2,20,Ready For Review,2018-08-23T00:00:00.000,Inactive,2ND AVE,Waived
SIBECA CORPORATION,10,,22,30,Ready For Review,2019-05-31T00:00:00.000,Inactive,BROADWAY,Pending Review
"CAFE 71, INC.",9,,6,29,Ready For Review,2018-04-04T00:00:00.000,Inactive,BROADWAY,Pending Review
DEED LLC,3,2020-02-03T00:00:00.000,36,12,Ready For Review,2020-02-03T00:00:00.000,Active,TOMPKINS AVE,
EAST PUB INC,24,,2,96,Ready For Review,2017-05-22T00:00:00.000,Inactive,BOWERY,Waived
"SHIP WRECKED BAR AND GRILL, INC.",5,,1,9,Ready For Review,2019-05-08T00:00:00.000,Inactive,BLEECKER ST,Pending Review
RICIAS MORRIS P,4,,13,16,Ready For Review,2020-02-24T00:00:00.000,Inactive,MORRIS PARK AVE,Waived
"PQ EAST 83RD ST, INC",10,,5,22,Ready For Review,2019-12-26T00:00:00.000,Inactive,1ST AVE,Pending Review
120 U REST. LLC,12,,2,24,Ready For Review,2019-05-06T00:00:00.000,Inactive,UNIVERSITY PL,Waived
"MCDONALD'S RESTAURANTS OF NEW YORK, INC.",10,,2,21,Ready For Review,2019-05-28T00:00:00.000,Inactive,1ST AVE,Pending Review
PITALITY GROUP IN,5,,7,19,Ready For Review,2020-02-12T00:00:00.000,Inactive,BROADWAY,Waived
CARMINE'S BROADWAY FEAST INC.,7,,6,22,Ready For Review,2019-12-09T00:00:00.000,Inactive,BROADWAY,Pending Review
CMR REST CORP,8,,6,19,Ready For Review,2019-12-06T00:00:00.000,Inactive,COLUMBUS AVE,Waived
IFETA CORP.,6,,22,16,Ready For Review,2020-02-04T00:00:00.000,Inactive,31ST AVE,Pending Review
KARABINIS DINER CORP,15,,46,46,Ready For Review,2018-07-11T00:00:00.000,Inactive,FLATBUSH AVE,Pending Review
MAIDENEIRE LLC,4,,1,8,Ready For Review,2019-11-21T00:00:00.000,Inactive,MAIDEN LN,Waived
"KITCHEN TABLE, INC.",8,,2,18,Ready For Review,2020-01-24T00:00:00.000,Inactive,2ND AVE,Pending Review
CLASSIC FOOD INC,3,,6,6,Ready For Review,2019-12-12T00:00:00.000,Inactive,COLUMBUS AVE,Waived
"136 WEST BROADWAY, INC.",6,,1,12,Ready For Review,2019-12-19T00:00:00.000,Inactive,W BROADWAY,Waived
SWEETGREEN NEW YORK LLC,4,,4,10,Ready For Review,2019-12-19T00:00:00.000,Inactive,E 61ST ST,Pending Review
"SYLVIA WOODS, INC.",15,,9,38,Ready For Review,2020-02-04T00:00:00.000,Inactive,LENOX AVE,Waived
