hispanic,grade_7,students_with_disabilities,grade_12,black,dbn,hispanic_1,male_1,female,year,grade_9,grade_4,female_1
48,76,31,0,20,03M334,0.087,0.492,280,2016-17,0,57,0.508
169,0,36,119,59,02M414,0.379,0.406,265,2015-16,96,0,0.594
207,145,177,150,133,01M539,0.115,0.501,902,2019-20,202,144,0.499
183,0,67,55,109,02M305,0.565,0.417,189,2018-19,125,0,0.583
116,135,87,0,51,03M245,0.288,0.464,216,2018-19,0,0,0.536
97,0,152,0,42,02M003,0.123,0.525,375,2015-16,0,156,0.475
250,53,109,0,97,04M007,0.667,0.525,178,2016-17,0,30,0.475
60,0,72,0,48,03M452,0.16,0.543,172,2018-19,0,41,0.457
238,0,83,108,105,02M655,0.604,0.49,201,2019-20,88,0,0.51
107,0,137,0,43,02M003,0.15,0.531,335,2019-20,0,89,0.469
301,0,91,92,125,02M580,0.603,0.333,332,2017-18,168,0,0.665
258,0,65,90,49,02M439,0.597,0.363,275,2016-17,99,0,0.637
64,0,56,0,17,01M315,0.201,0.494,161,2017-18,0,40,0.506
90,0,37,40,90,01M650,0.481,0.524,89,2018-19,18,0,0.476
962,0,237,371,287,02M420,0.527,0.292,1293,2018-19,509,0,0.708
124,57,139,0,79,03M333,0.167,0.497,373,2015-16,1,94,0.503
203,0,100,89,90,02M551,0.441,0.617,176,2016-17,153,0,0.383
110,29,67,113,124,02M408,0.201,0.255,407,2015-16,109,0,0.745
121,67,83,0,50,01M378,0.593,0.564,89,2019-20,0,0,0.436
249,54,148,0,134,01M188,0.612,0.555,181,2018-19,0,39,0.445
235,0,110,99,116,02M546,0.513,0.808,88,2016-17,125,0,0.192
279,0,97,95,200,03M492,0.557,0.449,276,2015-16,160,0,0.551
143,0,69,66,80,02M432,0.544,0.506,130,2019-20,71,0,0.494
239,0,85,88,86,02M300,0.671,0.708,104,2017-18,71,0,0.292
124,15,78,71,171,03M415,0.401,0.369,195,2016-17,76,0,0.631
84,0,89,0,41,02M001,0.236,0.5,178,2016-17,0,53,0.5
109,24,71,40,150,03M415,0.392,0.324,188,2017-18,70,0,0.676
119,0,92,99,57,02M376,0.256,0.426,267,2019-20,120,0,0.574
226,448,246,0,94,02M167,0.164,0.548,623,2018-19,0,0,0.452
213,107,154,107,87,02M413,0.279,0.511,373,2016-17,119,0,0.489
14,0,13,88,9,02M545,0.035,0.405,239,2018-19,113,0,0.595
