projectid,mindate,commit_nccfederal,spent_total,adopt_nccother,spent_nccother,plannedcommit_nccfederal,allocate_nccfederal,commit_ccexempt,allocate_ccexempt,plannedcommit_nccstate,commit_nccother,allocate_ccnonexempt,plannedcommit_total,adopt_nccstate
HBKA24371,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24107000.0,24107000.0,0.0
HLDN42WEL,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LNCA13MLB,2015-06-23T00:00:00.000,0.0,962194.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202619.09,27000.0,0.0
P-4CPIHCS,2026-06-01T00:00:00.000,0.0,55019.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425629.0,373000.0,0.0
LQD122NF4,2013-04-22T00:00:00.000,0.0,346256.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100743.12,0.0,0.0
PO163CARD,2010-10-25T00:00:00.000,0.0,3787759.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-103759.97,0.0,0.0
RABCE116,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0
P-1BWRCTR,2019-04-15T00:00:00.000,0.0,1264949.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-666.18,0.0,0.0
HBBA07664,2031-04-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61629000.0,61629000.0,0.0
JAMASTPLZ,2014-05-12T00:00:00.000,320336.0,10416502.85,0.0,0.0,2151000.0,1850944.0,0.0,0.0,1619000.0,0.0,238923.73,4010000.0,1791000.0
LNC4WLEX,2014-03-18T00:00:00.000,0.0,1903761.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10179757.67,10209000.0,0.0
OH-92-L,2020-10-16T00:00:00.000,0.0,3699334.58,0.0,0.0,0.0,0.0,30439151.9,2930513.52,0.0,0.0,0.0,7145000.0,0.0
PW326TLQ3,2029-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANDY3-12,2022-06-13T00:00:00.000,0.0,2413886.67,0.0,0.0,0.0,312.0,0.0,0.0,0.0,0.0,427110.1,1000.0,0.0
