code1,grade9geapplicantsperseat2,appperseat3specialized,grade9swdapplicants4,requirement_1_3,eligibility5,recruitment_website,method4,census_tract,extracurricular_activities,url,admissionspriority111,grade9swdapplicantsperseat8,code9,seats6specialized,grade9swdapplicantsperseat7,grade9swdapplicantsperseat5,offer_rate1_7,offer_rate1_3,admissionspriority210,requirement_1_5,interest7,eligibility10,seats109,applicants2specialized,psal_sports_coed,grade9geapplicants2,program10,grade9geapplicantsperseat11,latitude,admissionspriority42,prgdesc1,grade9swdfilledflag1,bbl,requirement_1_4,prgdesc10,advancedplacement_courses,seats9ge2,program7,seats9ge9,method11,total_students,code7,eligibility3,requirement_5_1,auditioninformation3,location,grade9swdapplicants2,seats107,requirement_2_6,grade9swdfilledflag10,grade9gefilledflag11,grade9swdfilledflag8,admissionspriority44,seats9swd5,seats9swd2,grade9swdapplicantsperseat4,applicants6specialized,common_audition2,grade9swdfilledflag2,auditioninformation4,pbat,seats9ge5,offer_rate2_2
R15J,,,,,,,,177,"Astronomy Club, Billion Oyster Project Club, Community Affairs Project(C.A.P.), Cheerleading, Chess Club, Cooking Club, Council For Unity (CFU), Craft Club, Habitat For Humanity, History Club, Italian Club, LGBTQ Club, Math Team, Media and Technology Club, My Brothers Keeper, My Sisters Keeper, National Honor Society, Newspaper, Petrides against Cancer Society (PACS), Passport Club, Step Team, Spoken Word, Student Government, Yearbook, SING, Spring Musical, Winter Concert, Spring Concert, Art Show",{'url': 'https://www.myschools.nyc/en/schools/high-school/18694'},,,,,,,,,,,,,,,Golf,,,,40.608512,,Comprehensive academic curriculum with an emphasis on performing arts and technology.,Y,5006830001,,,"AP Statistics, AP English Language and Composition, AP English Literature and Composition, AP United States History, AP Biology, AP Comparative Government and Politics, AP World History: Modern, AP Calculus AB",,,,,1338.0,,,,,"715 Ocean Terrace, Staten Island NY 10301 (40.607637,-74.105883)",,,,,,,,,,,,,,,,,
A25A,,,,,,https://www.q2l.org/latest/welcome-9th-grade-class-of-2024/,,89,,{'url': 'https://www.myschools.nyc/en/schools/high-school/16005'},,,,,,,,,,,,,,,,,,,40.742867,,,Y,1007420007,,,"AP Computer Science Principles, AP United States History, AP Environmental Science, AP English Literature and Composition",,,,,581.0,,,,,"351 West 18th Street, Manhattan NY 10011 (40.743407,-74.00254)",,,,,,,,,,,,,,,,,
K17H,10,,39.0,,,,Audition,46,,{'url': 'https://www.myschools.nyc/en/schools/high-school/17277'},,,,,,13.0,,100% of offers went to this group,,,,,,,Golf,186,,,40.627898,,"A four-year academic program offering courses in humanities, mathematics, and science courses that culminate in AP coursework. Students that complete the Honors Academy coursework are eligible for the Advanced Regents Diploma with Honors distinction.",Y,3060130001,,,"AP Biology, AP Psychology, AP Environmental Science, AP Drawing, AP Calculus BC, AP Physics 1, AP Statistics, AP Chemistry, AP Spanish Language and Culture, AP Chinese Language and Culture, AP U.S. Government and Politics, AP Calculus AB, AP English Language and Composition, AP Human Geography, AP United States History, AP English Literature and Composition, AP World History: Modern",18,,,,4657.0,,,,"Instrumental students will be asked to demonstrate the ability to match pitch, tap rhythms and play various scales and/or exercises, as well as play a prepared selection of their choice.","8301 Shore Road, Brooklyn NY 11209 (40.626827,-74.038103)",29,,,,,,,6.0,4,7.0,,1.0,Y,"Vocal students will be asked to demonstrate the ability to match pitch by singing short melodies which are played on the piano, tap rhythms back to demonstrate the ability to measure time and sing a prepared selection of their choice.",,28.0,0% of offers went to this group
K20A,,,,,,,,924,"Student Government, Girls Group (ROSE); Step Team; Urban Eats; Rap Group; Cheer leading; Peer to Peer, Peer Group Connect (PGC); Morning Fitness; Peer Forward; College Now with Medgar Evers",{'url': 'https://www.myschools.nyc/en/schools/high-school/19160'},,,,,,,,,,,,,,,Double Dutch,,,,40.665878,,College- and career-readiness program that prepares students to transition in all careers especially in the arts and teaching.,N,3035410001,,,"AP Psychology, AP Statistics, AP English Literature and Composition, AP Computer Science Principles",,,,,163.0,,,,,"226 Bristol Street, Brooklyn NY 11212 (40.665568,-73.912102)",,,,,,,,,,,,,,,,,
Q50A,5,,,,,,,294,,{'url': 'https://www.myschools.nyc/en/schools/high-school/17932'},,,,,,,,,,,,,,,,299,,,40.675633,,"This program helps prepare students for careers in aviation. Students will have the opportunity to train in FAA flight and ground certification. Technical Certification is also offered for A+, C-Tech, and Microsoft MOUS Certification.",Y,4122610001,,,"AP United States History, AP English Literature and Composition, AP English Language and Composition, AP 2-D Art and Design, AP Environmental Science",57,,,,374.0,,,,,"156-10 Baisley Boulevard, Jamaica NY 11434 (40.673949,-73.782684)",91,,,,,,,,11,,,,Y,,,,
L76A,,,,,,,,1104,,{'url': 'https://www.myschools.nyc/en/schools/high-school/15035'},,,,,,,,,,,,,,,,,,,40.66011,,,,3043490050,,,,,,,,,,,,,"800 Van Siclen Avenue, Brooklyn NY 11207  (40.659934, -73.885704)",,,,,,,,,,,,,,,,,
M19B,5,,81.0,2018-19 ELA/Math State Test Scores - 20%,,,Screened,21703,,{'url': 'https://www.myschools.nyc/en/schools/high-school/14895'},,,,,,3.0,,,,,,,,,,271,,,40.818188,,"Liberal arts curriculum. Electives are offered in all subject areas, including technology.",Y,1019570078,2018-19 ELA/Math State Test Scores - 20%,,"AP Calculus AB, AP Biology, AP English Language and Composition, AP English Literature and Composition, AP Spanish Language and Culture, AP United States History",54,,,,1409.0,,,,,"443 West 135th Street, Manhattan NY 10031 (40.8185,-73.949929)",77,,,,,,,7.0,14,4.0,,,Y,,,27.0,
K22A,,,,,,https://www.johnjaylawhs.org/admissions,,155,,{'url': 'https://www.myschools.nyc/en/schools/high-school/15975'},,,,,,,,,,,,,,,,,,,40.669629,,"Our program emphasizes the study of law with opportunities for mentoring, internships, and mock trial/moot court.",Y,3010820001,,,"AP English Language and Composition, AP English Literature and Composition, AP Seminar, AP United States History, AP Statistics, AP U.S. Government and Politics",,,,,439.0,,,,,"237 7th Avenue, Brooklyn NY 11215 (40.669255,-73.97858)",,,,,,,,,,,,,,,,,
Q72A,,,,,,https://www.scholarsnyc.com/admissions/hs,,938,"South Asian Cultural Club (SACC), Theater Model UN, Muslim Student Association (MSA), WCC (World Cultural Club), BSU (Black Student Union), Medical Club, Muslim Student Association (MSA), Photography Club, Green Team, Key Club, Student Government, Math Team, CHEM Club, Business Administration Club, Journalism Club, Law Club",{'url': 'https://www.myschools.nyc/en/schools/high-school/16868'},,,,,,,,,,,,,,,"Golf, Stunt",,,,40.584109,,,Y,4161590012,,,"AP Chemistry, AP Physics 1, AP Art History, AP English Language and Composition, AP Biology, AP Computer Science A, AP Music Theory, AP Physics C: Mechanics, AP United States History, AP Calculus AB, AP Psychology, AP Calculus BC, AP World History: Modern, AP English Literature and Composition",,,,,1311.0,,,,,"320 Beach 104th Street, Rockaway Park NY 11694 (40.584543,-73.825162)",,,,,,,,,,,,,,,,,
X10A,1,,134.0,2018-19 ELA/Math State Test Scores - 30%,,,Ed. Opt.,409,,{'url': 'https://www.myschools.nyc/en/schools/high-school/18622'},,,,,N/A - new program,6.0,,100% of offers went to this group,,,Performing Arts/Visual Art & Design,,,,Cricket,78,,,40.882178,,"This program offers a four year PLTW course sequence and is part of the AP + PLTW biomedical science pathway. Using same tools found in hospitals and labs, students work in teams and engage in hands-on activities. Courses offered: Principles of Biomedical Science, Human Body Systems, Medical Interventions, Biomedical Innovations. Students may graduate with EMT Certification sponsored by Montefiore Hospital which can earn up $60K. Electives: Environmental Sustainability and Culinary arts.",Y,2032510201,,,"AP Physics C: Mechanics, AP U.S. Government and Politics, AP Biology, AP English Language and Composition, AP United States History, AP English Literature and Composition, AP Calculus BC, AP World History: Modern, AP Environmental Science",54,Clinton School of Music,,,975.0,X10N,,,,"100 West Mosholu Parkway South, Bronx NY 10468 (40.879958,-73.889011)",15,1.0,,,,,,16.0,14,8.0,,,N,,,59.0,0% of offers went to this group
Q25X,,,,,,https://sites.google.com/flushinginternational.org/counseling/enrollment,,863,,{'url': 'https://www.myschools.nyc/en/schools/high-school/15440'},,,,,,,,,,,,,,,,,,,40.759844,,Offers a supportive yet challenging learning environment for new arrivals. All of our teachers are language teachers so that students are developing their English while learning content in every class. The curriculum is project-based and interdisciplinary so that students learn to be problem-solvers and critical thinkers. Students are supported not only in their academic learning but also their social-emotional learning through our advisory program.,N,4050510027,,,,,,,,449.0,,,,,"144-80 Barclay Avenue, Flushing NY 11355 (40.759963,-73.818399)",,,,,,,,,,,,,,,1.0,,
Q00,,,,,,,,246,"ADL No Place For Hate, Amnesty International, Anime Club, AuGust (K-POP Club), Chess Club, Dance Club, Digital Photography Club, Drama Club, Key Club ,Make a Wish Club, Model UN, Modern Ink, More Medics Club, Muslim Student Association (MSA), Music Performance Club, QHSS Alchemists, Science Club, Seekers, Sigma Sorority, Veritas Literary Magazine, Vietnam Veterans of America, eSports Club & Game Lounge Club, Mahjong Club, Gender-Sexuality Alliance, Red Cross, Robotics, Black Student Union, QHSS Cyber, Coding Club, Student Government Organization, ARISTA, Debate Club",{'url': 'https://www.myschools.nyc/en/schools/high-school/16337'},,,,,,,,,,,,,,,,,,,40.701049,,Admission to this Specialized High School is based solely on the score earned on the Specialized High Schools Admission Test (SHSAT). Students should speak to their school counselors in the Fall to register for the SHSAT.,,4100990052,,,"AP U.S. Government and Politics, AP English Language and Composition, AP Biology, AP Environmental Science, AP Computer Science Principles, AP Calculus AB, AP Calculus BC, AP Chinese Language and Culture, AP World History: Modern, AP Chemistry, AP Psychology, AP Human Geography, AP Physics C: Mechanics, AP United States History, AP Statistics",,,,,480.0,,,,,"94-50 159th Street, Jamaica NY 11433 (40.700884,-73.798364)",,,,,,,,,,,,,,,,,
A54A,,,,,,https://tinyurl.com/y2k6846q,,50,,{'url': 'https://www.myschools.nyc/en/schools/high-school/19052'},,,,,,,,,,,,,,,,,,,40.735494,,"AFSE offers experiences that build capacity to solve problems, collaborate, engage in research, and expand awareness of careers through work-based experiences and professional mentoring.",Y,1008720057,,,"AP English Literature and Composition, AP Biology, AP United States History, AP Computer Science Principles, AP Calculus AB, AP Computer Science A, AP English Language and Composition",,,,,453.0,,,,,"40 Irving Place, Manhattan NY 10003 (40.735361,-73.987064)",,,,,,,,,,,,,,,,,
L53A,,,,,,,,1118,,{'url': 'https://www.myschools.nyc/en/schools/high-school/16937'},,,,,,,,,,,,,,,,,,,40.670724,,"We have developed an interesting sequence of theater courses that involve portraying complex characters, scene work, monologues, improvisation, and stage craft. Students begin their high school career with introductory theater classes which progress to the writing, production, and performing of plays and shows.",Y,3042780001,,,"AP U.S. Government and Politics, AP Spanish Language and Culture, AP English Language and Composition, AP Environmental Science, AP Psychology",,,,,264.0,,,,,"370 Fountain Avenue, Brooklyn NY 11208 (40.67002,-73.874537)",,,,,,,,,,,,,,,,,
K71B,19,,,2018-19 ELA/Math State Test Scores - 40%,,,,191,,{'url': 'https://www.myschools.nyc/en/schools/high-school/17312'},,,,,,,,100% of offers went to this group,,,,,,,,973,,,40.695332,,"For students interested in all facets of learning; extensive literary, writing, and research courses to sample; interdisciplinary curriculum that includes technology, humanities, and social sciences.",Y,3018880034,,,"AP Physics 1, AP 2-D Art and Design, AP Biology, AP Computer Science Principles, AP Environmental Science, AP Calculus BC, AP World History: Modern, AP United States History, AP Calculus AB, AP Drawing, AP 3-D Art and Design, AP Macroeconomics, AP Spanish Language and Culture, AP Research, AP Seminar, AP Psychology, AP Human Geography, AP Music Theory, AP Chemistry, AP English Literature and Composition, AP U.S. Government and Politics",50,,,,815.0,,,,,"71-77 Clinton Avenue, Brooklyn NY 11205 (40.695389,-73.968759)",162,,,,,,,,10,,,,Y,,,,0% of offers went to this group
R17A,10,,41.0,2018-19 ELA/Math State Test Scores - 35%,,https://tinyurl.com/y6bvxwm2,Screened,181,,{'url': 'https://www.myschools.nyc/en/schools/high-school/18240'},,9,R17Y,,5,6.0,100% of offers went to this group,100% of offers went to this group,Then to New York City residents,,Performing Arts,,,,"Golf, Stunt",234,Zoned,,40.596803,,"This program connects high school students with the world of financial services and personal finance, offering a curriculum that covers banking and credit, financial planning, global finance, securities, insurance, accounting, and economics. This varied content gives our students an education that is both current and in-line with industry standards. Students are able to supplement their knowledge with a host of work-based learning opportunities, including paid internships their junior year.",Y,5009550100,2018-19 ELA/Math State Test Scores - 45%,Comprehensive academic program.,"AP United States History, AP English Language and Composition, AP Psychology, AP U.S. Government and Politics, AP Calculus AB, AP English Literature and Composition, AP Biology, AP Environmental Science, AP Physics 1, AP World History: Modern",23,Theater,,,3434.0,R17J,,,,"1200 Manor Road, Staten Island NY 10314 (40.588985,-74.130819)",79,0.0,,N/A - zoned program,,Y,,11.0,7,2.0,,,Y,,,38.0,0% of offers went to this group
X18A,,,,,,,,393,,{'url': 'https://www.myschools.nyc/en/schools/high-school/16475'},,,,,,,,,,,,,,,,,,,40.855698,,"All BASE students take four years of computer science, learning programming languages like HTML5, Javascript, and Java. Students use Design Thinking, a human-centered problem-solving approach to solve real-world problems. Seniors do a capstone project where they use skills from across disciplines to address a problem in their community. BASE students participate in citywide hackathons sponsored by groups like Code/Interactive and Forbes, and have had internships at SCENYC, Alvin Ailey, and Gilt.",Y,2031040007,,,"AP Computer Science A, AP English Language and Composition, AP Statistics, AP United States History",,,,,396.0,,,,,"2474 Crotona Avenue, Bronx NY 10458 (40.855392,-73.882487)",,,,,,,,,,,,,,,,,
Q21A,,,,,,,,278,,{'url': 'https://www.myschools.nyc/en/schools/high-school/15694'},,,,,,,,,,,,,,,Double Dutch,,,,40.686208,,"Challenging standards-driven academic program. In collaboration with the school community and various partners, students will be introduced to careers in law enforcement and public safety.",Y,4123350049,,,"AP Environmental Science, AP United States History, AP English Language and Composition",,,,,395.0,,,,,"116-25 Guy R Brewer Boulevard, Jamaica NY 11434 (40.685838,-73.783438)",,,,,,,,,,,,,,,,,
Q92A,,,,,,https://www.eagleseq.org/eagle_open_house,,432,,{'url': 'https://www.myschools.nyc/en/schools/high-school/15199'},,,,,,,,,,,,,,,,,,,40.691712,,,Y,4123930001,,,"AP Biology, AP English Language and Composition, AP Statistics, AP United States History, AP Human Geography",,,,,421.0,,,,,"171-10 Linden Boulevard, Jamaica NY 11434 (40.69172,-73.778924)",,,,,,,,,,,,,,,,,
L38 A,,,,,,,,306,"Double Dutch, My Sister's Keepers, My Brother's Keepers, National Honors Society, GSA, Gaming Club, Beautification Committee, Theater Club, After-School Tutoring, Film, Piano Class, Student Government, iLearn, AP for All, College Now",{'url': 'https://www.myschools.nyc/en/schools/high-school/18936'},,,,,,,,,,,,,,,Cricket,,,,40.594291,,,Y,3068830001,,,"AP Calculus AB, AP English Language and Composition, AP United States History, AP World History: Modern",,,,,278.0,,,,,"2630 Benson Avenue, Brooklyn NY 11214 (40.593028,-73.986313)",,,,,,,,,,,,,,,,,
X86R,,,,,,,,409,,{'url': 'https://www.myschools.nyc/en/schools/high-school/15368'},,,,,,,,,,,,,,,,,,,40.870293,,"New arrivals to the United States (within the last four years) will receive a well-rounded education with English Language development as the focus in all classes. Coursework will prepare students to be successful in college and beyond, training students to work collaboratively with their peers in a hands-on approach to learning.",Y,2032470070,,,"AP Spanish Language and Culture, AP Psychology, AP Computer Science Principles, AP English Language and Composition, AP Statistics",,,,,434.0,,,,,"2780 Reservoir Avenue, Bronx NY 10468 (40.869061,-73.897066)",,,,,,,,,,,,,,,,,
X28A,,,,,,,,309,,{'url': 'https://www.myschools.nyc/en/schools/high-school/18372'},,,,,,,,,,,,,,,"Golf, Stunt",,,,40.877105,,Students will be exposed to law and finance for their first two years. Students will select a major course of study for junior and senior years.,Y,1022150080,,,"AP English Literature and Composition, AP Psychology, AP U.S. Government and Politics, AP Spanish Language and Culture",,,,,392.0,,,,,"99 Terrace View Avenue, Bronx NY 10463 (40.877379,-73.912686)",,,,,,,,,,,,,,,,,
M82A,,,,,,,,48,"Music, Video Game club, chorus, community service, model UN, green team, skittles",{'url': 'https://www.myschools.nyc/en/schools/high-school/17332'},,,,,,,,,,,,,,,,,,,40.732447,,"Humanities (History & Literature), Mathematics, Applied Sciences, Spanish, Arts & Electives.",Y,1009220008,,,,,,,,489.0,,,,,"345 East 15th Street, Manhattan NY 10003 (40.732665,-73.98259)",,,,,,,,,,,,,,,1.0,,
R20A,9,,107.0,,,,Ed. Opt.,11202,,{'url': 'https://www.myschools.nyc/en/schools/high-school/15630'},Guaranteed offer to students who live in the zoned area,10,R20U,,4,11.0,99% of offers went to this group,100% of offers went to this group,,,Science & Math,,,,"Golf, Stunt",470,New Dorp High School ASD Horizon Program,N/A - zoned program,40.569393,,"Students will experience a broad range of career options such as teaching, school counseling, paraprofessional services, special education, speech pathology and other educational career options. Instruction includes: Classroom management strategies, early intervention services, lesson planning, the use of technology and more. Students are enrolled in college-accredited courses through St John's University. Internships in junior and senior years. Community service, trips, and college visits.",Y,5039300010,,,"AP Computer Science A, AP Biology, AP Computer Science Principles, AP Statistics, AP Calculus AB, AP English Literature and Composition, AP Psychology, AP World History: Modern, AP United States History, AP Drawing, AP U.S. Government and Politics",52,Math & Science Institute,,Zoned Guarantee,3106.0,R20S,,,,"465 New Dorp Lane, Staten Island NY 10306 (40.570909,-74.105878)",94,0.0,,,N/A - zoned program,Y,,13.0,13,8.0,,,Y,,,52.0,0% of offers went to this group
K24A,4,,121.0,,Open only to Brooklyn students or residents,,Screened,354,,{'url': 'https://www.myschools.nyc/en/schools/high-school/19424'},,N/A - zoned program,,,,10.0,,,,,,,,,,210,,,40.581681,,"A three-year program for students with a strong interest in a future career in animal care and health. Coursework focuses on small and large mammals, reptiles, fish, and birds. Students in the program score higher than their peers on Science Regents Exams, possibly earn college credit, gain hands-on experience with animals in our labs and at work sites.",Y,3072540001,2018-19 ELA/Math State Test Scores - 20%,,"AP Calculus AB, AP Seminar, AP United States History, AP Calculus BC, AP World History: Modern, AP Psychology, AP Research, AP Computer Science Principles, AP English Literature and Composition, AP Environmental Science, AP English Language and Composition",58,Abraham Lincoln High School D75 Inclusion Program,,,1837.0,K24U,Open only to Brooklyn students or residents,,,"2800 Ocean Parkway, Brooklyn NY 11235 (40.582627,-73.968733)",65,,2018-19 Final Grades - 40%,,,N/A - zoned program,,7.0,11,7.0,,,Y,,,33.0,
K75A,,,,,,,,529,,{'url': 'https://www.myschools.nyc/en/schools/high-school/18276'},,,,,,,,,,,,,,,,,,,40.705898,,"Project-focused curriculum including portfolio-based assessment in all four disciplines, peer mentoring, and leadership development, integrated arts across the curriculum, CUNY Early College Dual Credit, SAT/PSAT college and ELA Common Core prep.",Y,3022070002,,,,,,,,226.0,,,,,"250 Hooper Street, Brooklyn NY 11211 (40.70554,-73.955741)",,,,,,,,,,,,,,,1.0,,
X26A,,,,,,,,194,,{'url': 'https://www.myschools.nyc/en/schools/high-school/17074'},,,,,,,,,,,,,,,"Cricket, Stunt",,,,40.840702,,"Pelham Lab offers a rigorous academic program that also supports students social and emotional growth. Students have multiple opportunities for college-level work in high school including opportunities for AP courses, Science Research and CUNY College Now courses. Every student receives a crew class to ensure they can navigate high school and be prepared for college and career in the years ahead.",Y,2053680001,,,"AP English Language and Composition, AP U.S. Government and Politics, AP Computer Science Principles, AP Environmental Science, AP Spanish Language and Culture",,,,,450.0,,,,,"3000 East Tremont Avenue, Bronx NY 10461 (40.839775,-73.839583)",,,,,,,,,,,,,,,,,
K51,,,,,,https://www.newyorkharborschool.org/admission.html,,5,"Boat Building, Sailing, Rowing, Marine Engineering, Welding, Compost Club, Debate Club, Chess Club, Fishing, Garden Club, Gay/Straight Alliance (GSA), Harbor Corps, Harbor SEALS, Student Council, Waterfront Club, Basketball, Soccer, Swimming, Media Club, Regents Tutoring, Cheerleading",{'url': 'https://www.myschools.nyc/en/schools/high-school/15447'},,,,,,,,,,,,,,,,,,,40.691214,,"Students choose from one of the following programs: Aquaculture, Marine Biology Research, Ocean Engineering, Marine Systems Technology, Marine Policy & Environmental Advocacy, Professional Diving, or Vessel Operations. Students may receive corresponding certifications for each program, such as Geographic Information System certification or US Safe Boaters License.",Y,1000010010,,,"AP English Language and Composition, AP English Literature and Composition, AP World History: Modern, AP Calculus AB",,,,,523.0,,,,,"10 South Street, Slip 7, Manhattan NY 10004 (40.689493,-74.018941)",,,,,,,,,,,,,,,,,
Y34A,,,,,,,,16,"Middle school dance, broadway junior",{'url': 'https://www.myschools.nyc/en/schools/high-school/19342'},,,,,,,,,,,,,,,,,,,40.82229,,"Theater, performance, and dance.",N,2036040039,,,"AP Biology, AP English Literature and Composition, AP Calculus AB, AP English Language and Composition, AP United States History",,,,,396.0,,,,,"1980 Lafayette Avenue, Bronx NY 10473 (40.821218,-73.85593)",,,,,,,,,,,,,,,,,
Q47A,,,,,,,,49302,,{'url': 'https://www.myschools.nyc/en/schools/high-school/15344'},,,,,,,,,,,,,,,Cricket,,,,40.729939,,"Students will have taken four years of Classical Language, Latin or Mandarin, and be fully prepared for college, career, and productive citizenship. Students are strongly encouraged to take on AP and College Level Courses in order to challenge themselves throughout their four years of high school.",Y,4028030001,,,"AP United States History, AP English Language and Composition, AP Psychology, AP Calculus AB, AP Environmental Science, AP Chemistry, AP Music Theory, AP Drawing, AP U.S. Government and Politics, AP Biology, AP World History: Modern, AP Physics 2, AP Physics 1, AP English Literature and Composition",,,,,1232.0,,,,,"54-40 74th Street, Elmhurst NY 11373 (40.729104,-73.887909)",,,,,,,,,,,,,,,,,
L23A,,,,,,https://aelnyc.org/admission/,,435,,{'url': 'https://www.myschools.nyc/en/schools/high-school/18259'},,,,,,,,,,,,,,,,,,,40.697185,,,Y,3033650098,,,"AP Biology, AP U.S. Government and Politics, AP United States History, AP English Literature and Composition, AP English Language and Composition, AP Drawing",,,,,289.0,,,,,"400 Irving Avenue, Brooklyn NY 11237 (40.696457,-73.911751)",,,,,,,,,,,,,,,,,
L39A,,,,,,,,505,"Art, Theater, Chess, Dance, Homework Help, Music, Peer Mediation, Peer Mentorship, Peer Tutoring, Restorative Justice, Gender & Sexuality Alliance (GSA), Talent Shows, Student Council, Sustainability Team and Yearbook",{'url': 'https://www.myschools.nyc/en/schools/high-school/14847'},,,,,,,,,,,,,,,,,,,40.709941,,,Y,3030250001,,,,,,,,431.0,,,,,"223 Graham Avenue, Brooklyn NY 11206 (40.709765,-73.944463)",,,,,,,,,,,,,,,1.0,,
Q70A,,,,,,,,77908,,{'url': 'https://www.myschools.nyc/en/schools/high-school/15275'},,,,,,,,,,,,,,,Golf,,,,40.725603,,"Students have the opportunity to take college-level courses and earn college credit through SUNY Albany, SUNY Farmingdale, Queens College, Queensborough Community College and Vaughn College. As part of College Access for All, students receive individual attention when applying for college, such as free SAT Prep, FAFSA and college application assistance and can attend college trips.",Y,4068090056,,,"AP Spanish Language and Culture, AP Chinese Language and Culture, AP Psychology, AP 2-D Art and Design, AP English Language and Composition, AP Calculus AB",,,,,675.0,,,,,"75-40 Parsons Boulevard, Fresh Meadows NY 11366 (40.72528,-73.811408)",,,,,,,,,,,,,,,,,
Q22A,,,,,,,,19,"Art, Band, The Buddies Alliance, Climbing, Dance, Drama, Gamers, Martial Arts (sponsored by the RIIS  program), NHS, Peer tutoring, Safe Space, Student Govt, MSA",{'url': 'https://www.myschools.nyc/en/schools/high-school/16802'},,,,,,,,,,,,,,,,,,,40.748701,,,Y,4004380026,,,"AP English Language and Composition, AP United States History, AP Spanish Language and Culture, AP Computer Science Principles, AP English Literature and Composition, AP Calculus AB, AP Biology, AP World History: Modern",,,,,976.0,,,,,"21-16 44th Road, Long Island City NY 11101 (40.748502,-73.946488)",,,,,,,,,,,,,,,,,
K93X,,,,,,,,36501,"Drumline, Band, Anime, Book Club, Cheerleading, Chess Club, Community Service, Creative Writing, Dance, Step, Football and fitness, LGBTQA Alliance, Open Art Studio, Student Government, Young Men Empowerment, and Youth Sports/basketball",{'url': 'https://www.myschools.nyc/en/schools/high-school/19070'},,,,,,,,,,,,,,,,,,,40.674103,,"Students will learn to read complex texts and write in all content areas, using pre-AP strategies. All students will be enrolled in pre-AP courses beginning freshman year. Students are offered the opportunity to achieve an AP Capstone diploma, beginning with AP Seminar in their Freshman year followed by AP Research. Student leadership programs are available through the Brooklyn TRIO Program and the Leaders of Tomorrow program. Internships are available to all students in every content area.",Y,3014480001,,,"AP United States History, AP Calculus AB, AP English Literature and Composition, AP Seminar, AP World History: Modern",,,,,305.0,,,,,"2021 Bergen Street, Brooklyn NY 11233 (40.674456,-73.912685)",,,,,,,,,,,,,,,,,
Q65A,,,,,,,,120,,{'url': 'https://www.myschools.nyc/en/schools/high-school/18661'},,,,,,,,,,,,,,,,,,,40.693006,,Students explore many themes with a strong emphasis on literacy across content areas.,Y,4094350016,,,"AP United States History, AP English Literature and Composition, AP Statistics, AP Environmental Science, AP Biology",,,,,444.0,,,,,"94-25 117th Street, South Richmond Hill NY 11419 (40.693013,-73.829409)",,,,,,,,,,,,,,,,,
M80J,,10.0,,,,https://m485.echalksites.com/audition_overview,Audition,151,,{'url': 'https://www.myschools.nyc/en/schools/high-school/16916'},,,,28.0,,,,,,,,,,1904.0,,,,,40.773629,,"The first two years comprise of training in traditional skills and disciplines, which include drawing, painting in water-based media, graphic design, and painting in oils and acrylics. After taking the core art courses, students take advanced courses in the subjects listed and with other elective offerings such as architecture, art history, ceramics, computer graphics, digital media, fashion illustration, mural painting, photography, print making, and sculpture. Applicants must bring a portfolio of 8-15 pieces of original artwork done in a variety of media. The artwork should be from observation, imagination, and memory, and labeled appropriately. Photographs - not originals - of three-dimensional (3D) works may be included. For the audition, applicants will be given three drawing assignments, including drawing the human figure from observation, drawing a still life from memory, and creating a drawing in color, based on imagination. All drawing materials for auditions will be supplied by the school at the audition.",,1011560030,,,"AP Italian Language and Culture, AP Comparative Government and Politics, AP Calculus AB, AP Music Theory, AP 2-D Art and Design, AP United States History, AP Statistics, AP Spanish Language and Culture, AP World History: Modern, AP French Language and Culture, AP Physics 1, AP U.S. Government and Politics, AP Psychology, AP Biology, AP English Literature and Composition, AP Art History, AP Japanese Language and Culture, AP Calculus BC, AP Environmental Science, AP English Language and Composition, AP Computer Science Principles, AP Chemistry, AP Human Geography",,,,,2946.0,,,,"You should prepare a solo selection to perform without accompaniment and bring one copy of the music you plan to perform. You should bring your instruments to the audition, except if you are auditioning on piano, percussion, tuba, double bass, or harp. These instruments will be provided by the school at the auditorium. Amplifiers also will be provided at the audition if you are an electric guitarist. You will be tested for rhythm and tonal memory and will be asked to perform a sight-reading excerpt. You will also be evaluated based on rhythm, tone quality, and technique.","100 Amsterdam Avenue, Manhattan NY 10023 (40.774202,-73.985976)",,,,,,,,,,,446.0,1.0,,"You should prepare a song to sing without accompaniment for the audition. LaGuardia High School has a suggested online song list (www.laguardiahs.org); you are not required to select from the song list. The song must showcase the applicant's rhythm, tone, interpretation, and pitch. In addition to performing the selected song, you will be asked to sing back melodic patterns and tap back rhythmic patterns.",,,
X57A,,,,,,,,194,,{'url': 'https://www.myschools.nyc/en/schools/high-school/19661'},,,,,,,,,,,,,,,"Cricket, Stunt",,,,40.840702,,,Y,2053680001,,,"AP English Literature and Composition, AP Statistics, AP English Language and Composition, AP Biology",,,,,383.0,,,,,"3000 East Tremont Avenue, Bronx NY 10461 (40.839775,-73.839583)",,,,,,,,,,,,,,,,,
L40A,6,,,,,,,1180,,{'url': 'https://www.myschools.nyc/en/schools/high-school/17082'},,,,,,,,,,,,,,,"Cricket, Golf",138,,,40.691146,,,Y,3040940001,,,"AP Spanish Literature and Culture, AP English Language and Composition, AP Seminar, AP Spanish Language and Culture, AP Chemistry",25,,,,299.0,,,,,"999 Jamaica Avenue, Brooklyn NY 11208 (40.693002,-73.869305)",25,,,,,,,,5,,,,Y,,,,
