code1,grade9geapplicantsperseat2,appperseat3specialized,grade9swdapplicants4,requirement_1_3,eligibility5,recruitment_website,method4,census_tract,extracurricular_activities,url,admissionspriority111,grade9swdapplicantsperseat8,code9,seats6specialized,grade9swdapplicantsperseat7,grade9swdapplicantsperseat5,offer_rate1_7,offer_rate1_3,admissionspriority210,requirement_1_5,interest7,eligibility10,seats109,applicants2specialized,psal_sports_coed,grade9geapplicants2,program10,grade9geapplicantsperseat11,latitude,admissionspriority42,prgdesc1,grade9swdfilledflag1,bbl,requirement_1_4,prgdesc10,advancedplacement_courses,seats9ge2,program7,seats9ge9,method11,total_students,code7,eligibility3,requirement_5_1,auditioninformation3,location,grade9swdapplicants2,seats107,requirement_2_6,grade9swdfilledflag10,grade9gefilledflag11,grade9swdfilledflag8,admissionspriority44,seats9swd5,seats9swd2,grade9swdapplicantsperseat4,applicants6specialized,common_audition2,grade9swdfilledflag2,auditioninformation4,pbat,seats9ge5,offer_rate2_2
K47J,5,,64.0,,,,Audition,39,"Badminton, Moth, Gender and Sexuality Alliance, Caribbean Heritage, Jewelry and Beading, Fencing, Anime, Natural Hair Club, West Wing/Newspaper, Chess, Podcast , Thespian Society, Gaming, World Language Honor, Society, Step Team, Green Team, Soccer Club, Improv Club, k-Pop",{'url': 'https://www.myschools.nyc/en/schools/high-school/16687'},,,,,,8.0,,,,,,,,,,181,,,40.683559,,"The Visual Arts Studio is a rigorous four year curriculum that develops the student's technical abilities, critical-thinking skills and personal voice. Students have received honors like the Scholastic Art Awards, exhibition awards at the MOMA, admission to pre-college programs at local schools and scholarships for college. Courses include Foundational Art, Advanced Drawing, Painting, Mixed Media, Sculpture, Advanced Gallery, and Senior Portfolio Preparation, as well as Digital Art and Design.",Y,3001920013,,,"AP Seminar, AP English Language and Composition, AP Biology, AP Human Geography, AP Research, AP Environmental Science, AP Computer Science Principles, AP English Literature and Composition, AP United States History, AP World History: Modern, AP Psychology",33,,,,930.0,,,,Participate in both a ballet class and a modern dance class. Applicants must wear ballet shoes and fitted black dance attire. A brief exam will be given to determine their level of dance knowledge.,"345 Dean Street, Brooklyn NY 11217 (40.683951,-73.980266)",40,,,,,,,8.0,7,11.0,,1.0,Y,"Perform a song without accompaniment. Audition includes on-site music tasks (e.g., sing back melodic patterns, sight reading, and tap back rhythmic patterns).",,37.0,
Q07R,,,,,,,,179,,{'url': 'https://www.myschools.nyc/en/schools/high-school/15164'},,,,,,,,,,,,,,,,,,,40.745095,,"Our school offers a focus on 21st century communication skills which included Microsoft Certification, coding, graphics, and database development. Additionally, our students also have access to a wide variety of literacy related classes which include, AP Literature, Speech, Journalism, and other associated classes.",Y,4002740001,,,"AP English Language and Composition, AP Biology, AP Psychology, AP Spanish Language and Culture, AP English Literature and Composition, AP Environmental Science, AP Calculus AB, AP United States History",,,,,408.0,,,,,"30-20 Thomson Avenue, Long Island City NY 11101 (40.744175,-73.937004)",,,,,,,,,,,,,,,,,
M18A,,,,,,https://www.matherhsnyc.org/accepted_students,,127,"Art club, Wood carving club, Carpentry club, National Honor Society, Student Government, Senior Events Planning, Board games club, KPop club, Urban culture club, Book of the Month, Cooking club, Peer Mediators, Love is Love club, Music Mixing club, Building Up, Branching Out",{'url': 'https://www.myschools.nyc/en/schools/high-school/18752'},,,,,,,,,,,,,,,,,,,40.76337,,"This is a hands-on/minds-on nine-credit CTE sequence in Historic Preservation: Intro to Historic Preservation (9); Landscape Mgmt. I & II, (10); Building Arts-Decorative Finishing and Carpentry (11); Adv. Building Arts-Carpentry/Masonry (12). Students must participate in apx. Fourteen work-based learning trips, complete an internship and a final CTE performance assessment. Students will work with wood, bricks, stone, and plants, often OUTSIDE in ALL types of weather, and they WILL occasionally get dirty!",Y,1010590015,,,"AP Spanish Language and Culture, AP United States History, AP Biology, AP Statistics, AP World History: Modern, AP English Language and Composition, AP U.S. Government and Politics",,,,,416.0,,,,,"439 West 49th Street, Manhattan NY 10019 (40.763655,-73.990318)",,,,,,,,,,,,,,,,,
X48A,7,,,,,,,372,,{'url': 'https://www.myschools.nyc/en/schools/high-school/16239'},,,,,,,,,,,,,,,,312,,,40.875953,,"An intensive, collaborative, and interactive program emphasizing creative writing, dance, acting (stage and film), and music (vocal and keyboard).",Y,2046330040,,,"AP Spanish Language and Culture, AP English Language and Composition, AP 2-D Art and Design",43,,,,362.0,,,,,"800 East Gun Hill Road, Bronx NY 10467 (40.875172,-73.861649)",112,,,,,,,,11,,,,Y,,,,11% of offers went to this group
Y27A,,,,,,,,209,"Annual Multicultural Night, Annual Play Performance, Baking Club, Chess Club, D&D Club, Gaming Club, Girls Club, Greek Club, MoMENtum (male student club), Peer Mentoring, Self Defense, Student Council, Tech Squad, Yearbook",{'url': 'https://www.myschools.nyc/en/schools/high-school/15568'},,,,,,,,,,,,,,,,,,,40.842495,,"CMSP 327 is a rigorous high school that believes in preparing students to be successful in college and in life. We believe in perseverance, working hard, and supporting one another. CMSP has high expectations and students are highly encouraged to continue taking classes beyond the required credits/courses. CMSP is a family.",Y,2028590077,,,"AP Biology, AP European History, AP Spanish Language and Culture, AP United States History, AP English Literature and Composition",,,,,708.0,,,,,"1501 Jerome Avenue, Bronx NY 10452 (40.842503,-73.916084)",,,,,,,,,,,,,,,,,
K11A,10,,50.0,,,,D75 Special Education Inclusive Services,529,,{'url': 'https://www.myschools.nyc/en/schools/high-school/17998'},,,,,,,,,,,,,,,,121,,,40.703624,,"Fine and graphic arts, courses include but are not limited to: studio arts, portfolio development and graphic design. Several partnerships with New York Arts organizations provide our students with the opportunity to participate in art shows across the city. A major in Visual Arts will prepare students to receive an Arts-Endorsed diploma and to major in visual arts at the college/university level.",Y,3022270001,,,"AP United States History, AP Statistics, AP Biology, AP English Literature and Composition",12,,,,482.0,,,,,"215 Heyward Street, Brooklyn NY 11206 (40.703996,-73.953304)",37,,,,,,Then to New York City residents,,2,25.0,,,Y,,,,100% of offers went to this group
K16A,8,,102.0,,Open only to Brooklyn students or residents,https://tinyurl.com/y4olpjl6,Ed. Opt.,468,"Clubs: Anime, Art Club, ASPIRA, Band, Cheerleaders, Chess Club, Christian Club, Dance Club, Dreamer's Club, FDR Theater Company, Green Thumb Club, Green Squad, Gamer's Club, Hispanic Club, Jewish Club, K-Pop Club, Magazine Club, Math Team, Mock Trial, Model UN, Movie Club, Multicultural Show, Muslim Student Association, My Brother's Keeper, National Honor Society, New Dealer, 90's Throwback Club, Origami Club, Peer Mediation, Rainbow Pride, Regents Preparation, Robotics, Science Olympiad, Student Ambassadors, Student Government, The Lounge, Tutoring",{'url': 'https://www.myschools.nyc/en/schools/high-school/18313'},,18,K16Y,,4,6.0,,15% of offers went to this group,Then to Brooklyn students or residents,,Humanities & Interdisciplinary,Open only to Brooklyn students or residents,,,"Cricket, Golf",353,Zoned,,40.620446,,"Students will explore the field of robotic design using a variety of hands on activities. Students begin with an introduction to the tools used to create robotic devices. As they progress through the series of classes, computer programming becomes an essential and vital element. This culminates in a capstone design project and teaching assistant positions for students to mentor our incoming engineers. Our Robotics Academy offers opportunities for scholarships and research opportunities.",Y,3055060006,,Comprehensive academic program.,"AP English Literature and Composition, AP United States History, AP Spanish Language and Culture, AP Spanish Literature and Culture, AP Psychology, AP Biology, AP Chemistry, AP World History: Modern, AP Computer Science Principles, AP Calculus AB, AP Chinese Language and Culture, AP Environmental Science, AP U.S. Government and Politics, AP Statistics, AP English Language and Composition, AP Calculus BC, AP Computer Science A",44,Dual Language Chinese,,,3300.0,K16H,Open only to Brooklyn students or residents,,,"5800 20th Avenue, Brooklyn NY 11204 (40.621299,-73.982583)",77,0.0,,N/A - zoned program,,Y,,12.0,9,9.0,,,Y,,,56.0,
Q55A,,,,,,,,53401,"National Honor Society (ARISTA), Student Government, STEAM Summer Academy, Dance Club, Chess Club, Wrestling Club, Multicultural Club, Japanese Club, Yearbook Club, LGBTQ Club, My Brother and Sister Keeper (MBSK), Step Team, Study Hall, Science Club, Creative Art's Club, Youth Climate, Explorers Program, Borough Student Advisory Council (BSAC), Driver's Education-Coming SOON",{'url': 'https://www.myschools.nyc/en/schools/high-school/15165'},,,,,,,,,,,,,,,,,,,40.697819,,"Our S.T.E.A.M. program emphasizes the interconnections among mathematics, science, technology, and the humanities, prepares students to become creative problem-solvers, effective communicators, and tomorrow's leaders through a rigorous curriculum and collaborative partnerships. Our approach is driven by problem-solving and exploratory learning, which promotes student readiness for college, prepares them for the 21st century workforce, and provides opportunities for critical and design thinking.",Y,4110490001,,,"AP Seminar, AP United States History, AP Biology, AP English Language and Composition, AP World History: Modern, AP Environmental Science, AP Psychology, AP Computer Science Principles, AP English Literature and Composition",,,,,401.0,,,,,"207- 01 116th Avenue, Cambria Heights NY 11411 (40.698786,-73.74633)",,,,,,,,,,,,,,,,,
X24A,,,,,,https://bronxriverhighschool.org/admissions/,,194,"Internships, National Honor Society, NYPD Law Enforcement Explorers, One-on-One Tutoring, Gender & Sexuality Alliance (GSA), Engineering Club, Science Club, Environmental Justice Club, Chess Club, Student Council, Yearbook Club, Acting Out performance program, Video Game Club, Art Club, Career Explorers program, and Community Service Club",{'url': 'https://www.myschools.nyc/en/schools/high-school/19702'},,,,,,,,,,,,,,,"Cricket, Stunt",,,,40.840702,,,Y,2053680001,,,"AP Computer Science Principles, AP United States History",,,,,460.0,,,,,"3000 East Tremont Avenue, Bronx NY 10461 (40.839775,-73.839583)",,,,,,,,,,,,,,,,,
A37A,,,,,,https://epaschool.org/virtual-tour/,,170,,{'url': 'https://www.myschools.nyc/en/schools/high-school/15922'},,,,,,,,,,,,,,,,,,,40.79307,,,Y,1016560100,,,"AP Calculus AB, AP Psychology, AP Drawing, AP English Language and Composition, AP Spanish Literature and Culture, AP 2-D Art and Design, AP Spanish Language and Culture",,,,,525.0,,,,,"240 East 109th Street, Manhattan NY 10029 (40.792556,-73.942285)",,,,,,,,,,,,,,,,,
