postcode,bronx_condominium_property_neighborhood,nta,comparable_rental_1_gross_income_per_sqft,comparable_rental_2_full_market_value,comparable_rental_2_dist_from_coop_in_miles,comparable_rental_2_neighborhood,comparable_rental_2_total_units,comparable_rental_2_gross_income_per_sqft
10451.0,MORRISANIA/LONGWOOD,Morrisania-Melrose                                                         ,19.96,1450000.0,1.15,MOTT HAVEN/PORT MORRIS,22.0,21.87
10467.0,BRONXDALE,Bronxdale                                                                  ,11.99,516000.0,0.05,BRONXDALE,40.0,7.77
10451.0,MORRISANIA/LONGWOOD,Morrisania-Melrose                                                         ,10.0,1620000.0,0.15,MORRISANIA/LONGWOOD,85.0,10.07
10473.0,SOUNDVIEW,Soundview-Castle Hill-Clason Point-Harding Park                            ,14.75,638000.0,2.95,EAST TREMONT,20.0,11.27
10458.0,BEDFORD PARK/NORWOOD,Bedford Park-Fordham North                                                 ,12.23,1950000.0,0.4,BEDFORD PARK/NORWOOD,62.0,11.06
10462.0,PARKCHESTER,Parkchester                                                                ,10.75,2170000.0,0.45,PARKCHESTER,92.0,9.9
10467.0,BRONXDALE,Bronxdale                                                                  ,13.93,,,,,
10456.0,MORRISANIA/LONGWOOD,Morrisania-Melrose                                                         ,21.7,1450000.0,1.4,MOTT HAVEN/PORT MORRIS,22.0,21.87
10471.0,RIVERDALE,North Riverdale-Fieldston-Riverdale                                        ,14.84,2620000.0,0.1,RIVERDALE,73.0,13.43
10463.0,RIVERDALE,North Riverdale-Fieldston-Riverdale                                        ,16.68,851000.0,2.55,BELMONT,16.0,16.83
10463.0,RIVERDALE,Spuyten Duyvil-Kingsbridge                                                 ,18.14,2650000.0,5.4,SOUNDVIEW,59.0,14.68
10464.0,CITY ISLAND,Pelham Bay-Country Club-City Island                                        ,13.08,1000000.0,7.1,RIVERDALE,24.0,15.84
10465.0,THROGS NECK,Schuylerville-Throgs Neck-Edgewater Park                                   ,16.83,283000.0,5.8,FORDHAM,16.0,13.28
10459.0,MORRISANIA/LONGWOOD,Hunts Point                                                                ,10.0,1620000.0,1.15,MORRISANIA/LONGWOOD,85.0,10.07
