location_name,borough_block_lot,nta,y_coordinate,fax_number,nta_name,geographical_district_code,highschool_network_superintendent,principal_phone_number,grades_text,state_code
Astor Collegiate Academy,2043580001,BX07,252791,718-944-3638,Bronxdale                                                                  ,11,"MENDEZ, JUAN",718-944-3418,"09,10,11,12,SE",NY
P.S. 041 Greenwich Village,1006060049,MN23,207221,212-924-0910,West Village                                                               ,2,,212-675-2756,"PK,0K,01,02,03,04,05,SE",NY
P.S. 161 The Crown,3012970026,BK63,181834,718-953-3605,Crown Heights South                                                        ,17,,718-756-3100,"PK,0K,01,02,03,04,05,SE",NY
P.S. 308 Clara Cardwell,3016300001,BK35,190058,718-453-0663,Stuyvesant Heights                                                         ,16,,718-571-6960,"PK,0K,01,02,03,04,05,06,07,08,SE",NY
Middle School 322,1021720016,MN35,252953,212-567-3016,Washington Heights North                                                   ,6,,212-304-0853,"06,07,08,SE",NY
P.S. 071 Rose E. Scala,2041710001,BX10,247318,718-239-3111,Pelham Bay-Country Club-City Island                                        ,8,,718-822-5351,"0K,01,02,03,04,05,06,07,08,SE",NY
High School for Dual Language and Asian Studies,1004080030,MN27,200619,212-674-1392,Chinatown                                                                  ,2,"ROSALES, MARISOL",212-475-4097,"09,10,11,12",NY
P.S. 315 Lab School,2032500073,BX28,257591,929-237-7752,Van Cortlandt Village                                                      ,10,,929-237-7750,"0K,01,02,03,04,05,06,07,08,SE",NY
Gotham Professional Arts Academy,3015180001,BK35,187116,718-574-3971,Stuyvesant Heights                                                         ,16,"PELLES, KATHY",718-455-0746,"09,10,11,12,SE",NY
Stephen T. Mather Building Arts & Craftsmanship Hi,1010590015,MN15,217497,212-245-4669,Clinton                                                                    ,2,"WALSH, FRED",212-399-3520,"09,10,11,12,SE",NY
P.S. 290 Manhattan New School,1015450005,MN32,221700,212-772-8879,Yorkville                                                                  ,2,,212-734-7127,"PK,0K,01,02,03,04,05,SE",NY
Success Academy Charter School - Williamsburg,3024190001,BK73,198649,646-349-5421,North Side-South Side                                                      ,14,,718-704-1419,"PK,0K,01,02,03,04,05,06",NY
Bronx High School for the Visual Arts,2042900048,BX49,249559,718-319-5165,Pelham Parkway                                                             ,11,"STAPLE, CARRON",718-319-5160,"09,10,11,12,SE",NY
Satellite Academy High School,1008050071,MN17,211584,646-674-2829,Midtown-Midtown South                                                      ,2,"ROTONDO, PAUL",646-674-2800,"09,10,11,12",NY
P.S. 032 Belmont,2030850001,BX06,249604,718-584-7927,Belmont                                                                    ,10,,718-584-3645,"PK,0K,01,02,03,04,05,SE",NY
High School for Health Careers and Sciences,1021600018,MN35,251344,212-927-6129,Washington Heights North                                                   ,6,,212-927-1841,"09,10,11,12,SE",NY
Bronx Delta School,2054380001,BX52,240553,718-319-2450,Schuylerville-Throgs Neck-Edgewater Park                                   ,8,,718-319-7147,"PK,0K,01,02,03,SE",NY
P.S. 273,4092880101,QN54,192017,718-286-8310,Richmond Hill                                                              ,27,,718-286-8300,"PK,0K,01,02,03,04,05,SE",NY
High School for Public Service: Heroes of Tomorrow,3048110001,BK60,179253,718-363-3206,Prospect Lefferts Gardens-Wingate                                          ,17,"CONYERS, DONALD",718-756-5325,"09,10,11,12,SE",NY
P.S. 204 Vince Lombardi,3062940001,BK28,162804,718-232-9265,Bensonhurst West                                                           ,20,,718-236-2906,"PK,0K,01,02,03,04,05,SE",NY
P.S. 189,1021590051,MN35,250073,212-928-7733,Washington Heights North                                                   ,6,,212-927-8303,"PK,0K,01,02,03,04,05,SE",NY
VOYAGES Preparatory,4016000061,QN29,210081,718-271-8549,Elmhurst                                                                   ,24,"MENDEZ, JUAN",718-271-7851,9,NY
Transit Tech Career and Technical Education High S,3041550075,BK82,186599,718-647-4458,East New York                                                              ,19,"WATTS, KAREN",718-647-5204,"09,10,11,12,SE",NY
John Ericsson Middle School 126,3027120001,BK76,201530,718-302-2319,Greenpoint                                                                 ,14,,718-782-2527,"06,07,08,SE",NY
P.S. 093 William H. Prescott,3018680007,BK61,186688,718-771-1369,Crown Heights North                                                        ,13,,718-604-7363,"PK,0K,01,02,03,04,05,SE",NY
Comprehensive Model School Project M.S. 327,2028590077,BX63,246415,718-294-8109,West Concourse                                                             ,9,,718-294-8111,"06,07,08,09,10,11,12,SE",NY
River East Elementary,1018160001,MN34,229613,212-289-9231,East Harlem North                                                          ,4,,212-348-2208,"PK,0K,01,02,03,04,05,SE",NY
Bronx Health Sciences High School,2051410150,BX13,257757,718-904-5451,Co-op City                                                                 ,11,"STAPLE, CARRON",718-904-5450,"09,10,11,12,SE",NY
Red Hook Neighborhood School,3005250001,BK33,186259,718-596-6446,Carroll Gardens-Columbia Street-Red Hook                                   ,15,,718-330-2238,"PK,0K,01,02,03,04,05,SE",NY
Bronxdale High School,2043580001,BX07,252791,718-944-3662,Bronxdale                                                                  ,11,"STAPLE, CARRON",718-944-3655,"09,10,11,12,SE",NY
P.S. 009 Teunis G. Bergen,3011450026,BK64,186494,718-622-2961,Prospect Heights                                                           ,13,,718-638-3260,"PK,0K,01,02,03,04,05,SE",NY
Khalil Gibran International Academy,3001740001,BK38,189259,718-488-1724,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,15,"CONYERS, DONALD",718-237-2502,"09,10,11,12,SE",NY
Bronx Studio School for Writers and Artists,2027230033,BX27,238185,718-893-5982,Hunts Point                                                                ,8,,718-893-5158,"06,07,08,09,10,11,12,SE",NY
New Bridges Elementary,3013890035,BK61,183221,718-363-8202,Crown Heights North                                                        ,17,,718-363-8200,"PK,0K,01,02,03,04,05,SE",NY
J.H.S. 125 Henry Hudson,2037900040,BX55,241392,718-239-3121,Soundview-Bruckner                                                         ,8,,718-822-5186,"06,07,08,SE",NY
I.S. 289,1000160221,MN25,200503,212-587-6610,Battery Park City-Lower Manhattan                                          ,2,,212-571-9268,"06,07,08,SE",NY
P.S. 076 A. Philip Randolph,1019260017,MN11,233123,212-678-2867,Central Harlem South                                                       ,3,,212-678-2865,"PK,0K,01,02,03,04,05,06,07,08,SE",NY
High School for Violin and Dance,2026340001,BX35,240756,718-589-9849,Morrisania-Melrose                                                         ,9,"ALCOFF, MICHAEL",718-842-0687,"09,10,11,12,SE",NY
P.S. 273 Wortman,3044010001,BK82,179209,718-927-2230,East New York                                                              ,19,,718-649-5739,"PK,0K,01,02,03,04,05,SE",NY
New Utrecht High School,3062710001,BK28,162624,718-259-5526,Bensonhurst West                                                           ,20,"PRAYOR, MICHAEL",718-232-2500,"09,10,11,12,SE",NY
P.S. 072 Dr. William Dorney,2054400001,BX52,239257,718-828-4459,Schuylerville-Throgs Neck-Edgewater Park                                   ,8,,718-822-5311,"PK,0K,01,02,03,04,05,SE",NY
P.S. 130 The Parkside,3053190001,BK40,175698,718-854-9756,Windsor Terrace                                                            ,15,,718-686-1940,"PK,0K,01,02,03,04,05,SE",NY
P.S. 086 Kingsbridge Heights,2032470070,BX28,255917,718-584-7027,Van Cortlandt Village                                                      ,10,,718-584-5585,"PK,0K,01,02,03,04,05,06,SE",NY
P.S. 153 Helen Keller,2051410150,BX13,257757,718-904-5564,Co-op City                                                                 ,11,,718-904-5550,"PK,0K,01,02,03,04,05,SE",NY
Young Leaders Elementary School,2022840034,BX39,234057,718-292-8535,Mott Haven-Port Morris                                                     ,7,,718-292-7391,"PK,0K,01,02,03,04,05,SE",NY
P.S. 067 Charles A. Dorsey,3020390002,BK68,192608,718-834-6719,Fort Greene                                                                ,13,,718-834-6756,"PK,0K,01,02,03,04,05,SE",NY
P.S. 126 Jacob August Riis,1001110160,MN27,198186,212-349-7342,Chinatown                                                                  ,2,,212-962-2188,"PK,0K,01,02,03,04,05,06,07,08,SE",NY
Riverdale / Kingsbridge Academy (Middle School / H,2059180376,BX22,262596,718-796-8657,North Riverdale-Fieldston-Riverdale                                        ,10,,718-796-8516,"06,07,08,09,10,11,12,SE",NY
Central Park East II,1016090007,MN33,227938,212-410-6041,East Harlem South                                                          ,4,,212-860-5992,"PK,0K,01,02,03,04,05,06,07,08,SE",NY
P.S./M.S. 194,2038340070,BX59,243677,718-892-2495,Westchester-Unionport                                                      ,11,,718-892-5270,"0K,01,02,03,04,05,06,07,08,SE",NY
Manhattan Bridges High School,1010790029,MN15,218160,646-557-3926,Clinton                                                                    ,2,"CONYERS, DONALD",212-757-5274,"09,10,11,12",NY
Academy for Social Action,1019840033,MN06,236479,212-234-8597,Manhattanville                                                             ,5,"CONYERS, DONALD",212-543-6301,"09,10,11,12,SE",NY
The Fresh Creek School,3081580040,BK50,177334,718-272-2813,Canarsie                                                                   ,19,,718-272-1843,"PK,0K,01,02,03,04,05,SE",NY
Holcombe L. Rucker School of Community Research,2027100001,BX33,237219,718-860-1321,Longwood                                                                   ,8,"ALCOFF, MICHAEL",718-860-1053,"09,10,11,12,SE",NY
P.S. 131 Brooklyn,3056030001,BK88,172711,718-431-1970,Borough Park                                                               ,15,,718-431-1960,"PK,0K,01,02,03,04,05,SE",NY
The Math & Science Exploratory School,3001920013,BK38,188459,718-330-0944,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,15,,718-330-9328,"06,07,08,SE",NY
Explore Empower Charter School,3013670022,BK61,184371,718-771-2128,Crown Heights North                                                        ,17,,718-771-2090,"0K,01,02,03,04,05,06,07,08",NY
Careers in Sports High School,2024430078,BX14,238701,718-292-5565,East Concourse-Concourse Village                                           ,7,"STAPLE, CARRON",718-292-7110,"09,10,11,12,SE",NY
Frederick Douglass Academy,1020160100,MN03,239485,212-491-4414,Central Harlem North-Polo Grounds                                          ,5,,212-491-4107,"06,07,08,09,10,11,12,SE",NY
P.S. 048 Joseph R. Drake,2027660001,BX27,235872,718-842-6993,Hunts Point                                                                ,8,,718-589-4312,"PK,0K,01,02,03,04,05,SE",NY
P.S. 053 Basheer Quisim,2024350075,BX14,242646,718-681-7298,East Concourse-Concourse Village                                           ,9,,718-681-7276,"PK,0K,01,02,03,04,05,SE",NY
I.S. 219 New Venture School,2029250001,BX01,242956,718-681-7324,Claremont-Bathgate                                                         ,9,,718-681-7093,"06,07,08,SE",NY
P.S. 028 Wright Brothers,1021070026,MN36,242268,212-368-5978,Washington Heights South                                                   ,6,,212-690-3014,"PK,0K,01,02,03,04,05,SE",NY
Academy for Language and Technology,2028660070,BX36,248754,718-731-2031,University Heights-Morris Heights                                          ,9,"ALCOFF, MICHAEL",718-731-0219,"09,10,11,12,SE",NY
P.S./I.S. 210 - Twenty-first Century Academy for C,1020840129,MN04,241675,212-283-0017,Hamilton Heights                                                           ,6,,212-283-0012,"PK,0K,01,02,03,04,05,06,07,08,SE",NY
P.S. 160 Walt Disney,2051350200,BX13,254132,718-822-8146,Co-op City                                                                 ,11,,718-822-8402,"PK,0K,01,02,03,04,05,06,SE",NY
Research and Service High School,3017010001,BK61,186472,718-804-6801,Crown Heights North                                                        ,16,"ALCOFF, MICHAEL",718-804-6800,"09,10,11,12,SE",NY
Bronx Regional High School,2026980012,BX33,239180,718-617-0257,Longwood                                                                   ,12,"ROTONDO, PAUL",718-991-2020,"10,11,12",NY
P.S. 316 Elijah Stroud,3011670018,BK64,185085,718-230-5366,Prospect Heights                                                           ,17,,718-638-4043,"PK,0K,01,02,03,04,05,06,SE",NY
P.S. 011 William T. Harris,1007440024,MN13,210404,212-989-7816,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,2,,212-929-1743,"PK,0K,01,02,03,04,05,SE",NY
Muscota,1022340007,MN01,254933,212-544-2678,Marble Hill-Inwood                                                         ,6,,212-544-0614,"0K,01,02,03,04,05",NY
P.S. 106 Parkchester,2039460007,BX46,244243,718-823-8008,Parkchester                                                                ,11,,718-892-1006,"PK,0K,01,02,03,04,05,SE",NY
P.S. 158 Bayard Taylor,1014890001,MN31,219891,212-772-8424,Lenox Hill-Roosevelt Island                                                ,2,,212-744-6562,"PK,0K,01,02,03,04,05,06,SE",NY
Mosaic Preparatory Academy,1016390003,MN33,229322,212-722-3167,East Harlem South                                                          ,4,,212-722-3109,"PK,0K,01,02,03,04,05,SE",NY
Digital Arts and Cinema Technology High School,3004020001,BK38,188843,718-694-9745,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,15,"PRAYOR, MICHAEL",718-694-9741,"09,10,11,12,SE",NY
Pace High School,1003010003,MN27,200219,212-334-4919,Chinatown                                                                  ,2,"ROSALES, MARISOL",212-334-4663,"09,10,11,12,SE",NY
Coalition School for Social Change,1017970100,MN34,230478,212-831-5951,East Harlem North                                                          ,4,,212-831-5153,"09,10,11,12,SE",NY
P.S. 115 Alexander Humboldt,1021330040,MN36,247547,212-795-4051,Washington Heights South                                                   ,6,,212-927-9233,"PK,0K,01,02,03,04,05,SE",NY
M.S. 442 Carroll Gardens School for Innovation,0,BK40,178619,718-222-6425,Windsor Terrace                                                            ,15,,718-222-6420,"06,07,08,SE",NY
P.S. 155 William Paca,1016890005,MN34,229837,212-860-5856,East Harlem North                                                          ,4,,212-860-5885,"PK,0K,01,02,03,04,05,SE",NY
"Elementary School for Math, Science, and Technolog",2031700001,BX40,250915,718-933-8157,Fordham South                                                              ,10,,718-933-8061,"0K,01,02,03,04,05,SE",NY
Bronx High School for Medical Science,2028170002,BX14,245072,718-992-4129,East Concourse-Concourse Village                                           ,9,"ALCOFF, MICHAEL",718-410-4040,"06,07,08,09,10,11,12,SE",NY
P.S. 134 Henrietta Szold,1002880001,MN28,199497,212-475-6142,Lower East Side                                                            ,1,,212-673-4470,"PK,0K,01,02,03,04,05,SE",NY
Baychester Middle School,2049350001,BX03,262113,718-547-1895,Eastchester-Edenwald-Baychester                                            ,11,,718-547-1890,"06,07,08,SE",NY
P.S. 306 Ethan Allen,3043920001,BK82,178055,718-927-2243,East New York                                                              ,19,,718-649-3155,"PK,0K,01,02,03,04,05,SE",NY
Academy for College Preparation and Career Explora,3051030010,BK95,175947,718-564-2567,Erasmus                                                                    ,17,"PRAYOR, MICHAEL",718-564-2566,"06,07,08,09,10,11,12,SE",NY
J.H.S. 223 The Montauk,3053620021,BK88,170661,718-871-7477,Borough Park                                                               ,20,,718-438-0155,"06,07,08,SE",NY
Harlem Renaissance High School,1017520059,MN03,233547,212-996-4354,Central Harlem North-Polo Grounds                                          ,5,"ROTONDO, PAUL",212-996-3795,"09,10,11,12,SE",NY
P.S. 003 The Bedford Village,3019980001,BK69,187864,718-623-3193,Clinton Hill                                                               ,13,,718-622-2960,"PK,0K,01,02,03,04,05,SE",NY
P.S. 157 Grove Hill,2026250001,BX34,237827,718-292-5258,Melrose South-Mott Haven North                                             ,7,,718-292-5255,"PK,0K,01,02,03,04,05,SE",NY
P.S. 008 Isaac Varian,2032990060,BX05,257087,718-584-7376,Bedford Park-Fordham North                                                 ,10,,718-584-3043,"0K,01,02,03,04,05,SE",NY
I.S. 340,3011640064,BK64,185693,718-230-5479,Prospect Heights                                                           ,13,,718-857-5516,"06,07,08,SE",NY
Claremont International HS,2028170002,BX14,245072,718-410-4038,East Concourse-Concourse Village                                           ,9,"PELLES, KATHY",718-410-4001,"09,10,11,12",NY
Vista Academy,3039690001,BK82,185988,718-647-0919,East New York                                                              ,19,,718-647-0913,"06,07,08,SE",NY
P.S. 135 Sheldon A. Brookner,3046730001,BK91,177223,718-941-0847,East Flatbush-Farragut                                                     ,18,,718-693-4363,"PK,0K,01,02,03,04,05,SE",NY
