ats_system_code,beds_number,location_type_description,community_school_sup_name,administrative_district_name,open_date,principal_name,admin_district_location_code,:@computed_region_92fq_4b7q,census_tract,field_support_center_name,location_1
11X299      ,321100011299,General Academic,,,2004-09-08T00:00:00.000,Sandra Burgos,HS08,12,32400,Affinity Group,"{'latitude': '40.860443', 'longitude': '-73.860729', 'human_address': '{""address"": ""925 ASTOR AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10469""}'}"
02M041      ,310200010041,General Academic,"LABOY, BONNIE",COMMUNITY SCHOOL DISTRICT 02,1958-07-01T00:00:00.000,KELLY SHANNON,M802,10,7100,Field Support Center - Manhattan,"{'latitude': '40.73545', 'longitude': '-73.999094', 'human_address': '{""address"": ""116 WEST 11 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10011""}'}"
17K161      ,331700010161,General Academic,"ELLIS, CLARENCE",COMMUNITY SCHOOL DISTRICT 17,1923-07-01T00:00:00.000,Michael Johnson,K817,48,31900,Field Support Center - Brooklyn South,"{'latitude': '40.665757', 'longitude': '-73.949243', 'human_address': '{""address"": ""330 CROWN STREET"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11225""}'}"
16K308      ,331600010308,General Academic,"AMON, RAHESHA",COMMUNITY SCHOOL DISTRICT 16,1975-07-01T00:00:00.000,Sharon Odwin,K816,49,29300,Field Support Center - Brooklyn North,"{'latitude': '40.688323', 'longitude': '-73.935509', 'human_address': '{""address"": ""616 QUINCY STREET"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11221""}'}"
06M322      ,310600010322,General Academic,"RAMIREZ, MANUEL",COMMUNITY SCHOOL DISTRICT 06,2005-07-01T00:00:00.000,ERICA ZIGELMAN,M806,39,28500,Field Support Center - Manhattan,"{'latitude': '40.860951', 'longitude': '-73.930082', 'human_address': '{""address"": ""4600 BROADWAY"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10040""}'}"
08X071      ,320800010071,General Academic,"AMES, KAREN",COMMUNITY SCHOOL DISTRICT 08,1925-07-01T00:00:00.000,Margaret Mirando,X808,12,26602,Field Support Center - Bronx,"{'latitude': '40.845379', 'longitude': '-73.829562', 'human_address': '{""address"": ""3040 ROBERTS AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10461""}'}"
02M545      ,310200011545,General Academic,,,2003-07-01T00:00:00.000,LI YAN,HS04,32,1800,Field Support Center - Manhattan,"{'latitude': '40.717329', 'longitude': '-73.989329', 'human_address': '{""address"": ""350 GRAND STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10002""}'}"
10X315      ,321000010315,General Academic,"HULLA, MARIBEL",COMMUNITY SCHOOL DISTRICT 10,1997-04-29T00:00:00.000,Gaby Flores,X810,29,26702,Field Support Center - Bronx,"{'latitude': '40.873659', 'longitude': '-73.900068', 'human_address': '{""address"": ""2865 CLAFLIN AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10468""}'}"
16K594      ,331600011594,General Academic,,,2007-07-01T00:00:00.000,ALEXANDER WHITE,HS12,17,37900,Affinity Group,"{'latitude': '40.680239', 'longitude': '-73.921099', 'human_address': '{""address"": ""265 RALPH AVENUE"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11233""}'}"
02M139      ,310200011139,Career Technical,,,2013-07-01T00:00:00.000,Larry Gabbard,HS03,10,12700,Affinity Group,"{'latitude': '40.763655', 'longitude': '-73.990318', 'human_address': '{""address"": ""439 WEST 49TH STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10019""}'}"
02M290      ,310200010290,General Academic,"LABOY, BONNIE",COMMUNITY SCHOOL DISTRICT 02,1999-07-01T00:00:00.000,Doreen Esposito,M802,1,13800,Field Support Center - Manhattan,"{'latitude': '40.775181', 'longitude': '-73.952777', 'human_address': '{""address"": ""311 EAST 82 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10028""}'}"
