cd_21,multi_ethnic,cd_01,cd_22,unknown_cd,cd_31,cd_28,cd_45,cd_14,cd_04,cd_51,cd_42,cd_18,caucasian,_25_44,hispanic,cd_48
0,0,0,0,*,0,0,0,0,0,0,*,*,0,*,*,0
61,434,36,52,941,115,84,93,231,15,18,145,200,309,"3,362","2,034",45
0,*,0,0,*,*,0,0,0,0,0,0,0,*,*,*,0
0,0,0,0,0,0,0,0,*,0,0,0,0,0,*,*,0
0,*,0,0,*,0,0,0,0,0,0,0,0,*,*,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
0,*,0,0,*,*,*,0,*,0,0,*,0,*,17,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,13,*,0,0
25,56,*,36,86,13,*,*,27,*,*,12,12,67,313,250,10
0,0,*,0,*,0,0,0,0,0,0,0,0,0,*,*,0
0,*,0,0,*,0,0,0,0,0,0,0,0,0,0,*,0
0,0,0,0,0,0,0,*,*,0,0,0,0,0,*,*,0
*,86,*,11,198,33,34,17,17,*,0,31,*,161,608,302,10
0,0,0,0,*,0,0,0,0,0,0,0,0,0,0,*,0
*,*,*,0,12,0,*,0,*,0,*,0,*,*,23,13,*
88,823,73,81,2962,200,129,155,182,79,32,182,151,719,4927,3273,80
23,226,21,22,604,67,29,49,94,*,10,89,87,209,1538,980,21
0,0,0,0,*,0,0,0,0,0,0,0,0,0,*,*,0
0,*,0,*,*,0,0,*,*,0,0,*,0,*,12,10,0
0,*,0,0,*,0,*,0,0,0,*,0,0,*,*,*,0
*,0,*,0,*,0,0,0,0,0,0,0,0,*,10,*,0
10,76,*,*,108,13,*,*,21,*,*,12,12,54,308,203,*
0,*,0,0,0,*,0,0,0,0,0,0,0,0,*,0,0
0,*,0,0,*,0,0,0,*,0,0,0,0,*,*,10,0
*,*,0,0,*,0,0,0,*,0,*,0,0,*,*,*,*
0,*,0,0,*,0,0,*,*,0,0,0,0,*,*,*,0
0,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0,0
*,36,*,*,65,*,*,*,*,12,0,10,*,25,188,138,*
0,*,0,0,*,0,0,*,*,0,0,*,0,0,*,*,0
0,*,0,0,*,0,0,0,*,0,*,*,*,*,*,*,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0
*,30,*,*,23,*,*,*,12,0,*,*,*,25,104,105,*
0,*,0,0,*,*,*,0,*,*,0,*,0,*,15,13,0
0,*,*,0,12,*,*,*,0,*,0,*,*,*,28,14,0
21,170,*,16,193,28,26,24,32,*,16,29,40,176,622,428,16
*,17,*,*,24,*,*,*,*,0,*,*,*,14,103,75,*
0,0,0,0,*,0,0,0,*,0,0,*,*,0,0,*,0
*,51,*,*,128,*,16,*,27,*,*,18,24,61,146,212,*
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0
0,*,0,*,*,0,*,0,*,0,0,0,*,*,25,26,0
10,112,14,*,240,15,*,16,21,*,*,31,21,83,514,288,*
54,367,28,20,758,56,55,32,135,*,24,97,122,335,1707,1398,42
*,26,*,*,43,*,*,*,*,0,*,*,*,38,120,93,*
0,16,*,*,24,*,*,0,*,*,*,*,*,14,71,57,*
32,186,14,28,399,25,15,26,65,24,11,70,55,146,1126,685,20
222,1482,72,132,1422,274,209,213,294,49,120,305,238,1337,5696,3613,171
0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,0
0,0,0,0,*,0,0,0,0,0,0,0,0,0,*,*,0
*,11,*,*,29,*,*,0,*,*,0,*,*,12,57,46,0
*,0,0,0,*,*,0,*,*,0,0,0,0,*,*,*,0
0,*,0,0,0,0,0,0,*,0,0,0,0,0,*,*,0
0,0,0,0,*,0,*,0,0,0,0,0,0,0,*,0,0
18,230,56,19,502,25,40,36,42,55,*,23,29,155,1449,1063,34
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0
0,0,0,0,0,0,0,0,0,0,0,*,0,0,*,*,0
41,729,101,52,880,169,83,186,344,56,25,358,253,557,3496,2595,63
*,111,16,*,112,21,16,17,20,*,*,24,22,113,309,259,*
*,46,*,*,126,11,*,12,16,*,*,20,14,97,155,216,11
11,49,*,*,130,13,14,*,30,*,0,23,25,74,148,224,*
0,0,0,0,20,0,0,*,*,0,0,*,0,*,17,*,0
*,123,21,13,294,23,16,14,49,20,*,18,24,176,734,440,*
56,310,64,12,762,21,36,36,53,148,0,49,27,258,2118,2140,55
*,23,0,0,31,12,*,*,*,0,*,13,*,23,*,103,*
112,779,58,53,1295,155,104,128,268,28,48,211,173,627,3526,2634,75
0,*,0,0,15,0,0,0,*,*,*,*,0,*,19,10,0
0,*,0,0,0,0,0,0,*,0,0,0,0,0,*,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0
*,81,*,*,83,16,*,*,56,*,*,*,29,48,313,251,*
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0
0,*,0,0,*,0,0,0,0,0,0,0,0,0,*,0,0
0,*,0,0,*,0,*,0,0,*,0,0,0,*,*,*,*
0,*,0,0,*,0,0,0,0,0,0,0,0,0,*,0,0
0,0,0,0,*,0,*,0,*,0,0,*,0,*,*,*,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
0,*,0,0,*,0,0,0,*,0,0,0,0,0,*,*,0
*,*,*,*,11,*,*,*,*,0,0,0,0,*,25,19,0
675,"5,397",314,425,9420,979,831,901,1512,154,337,1301,1196,5003,"24,778","17,986",638
0,29,*,*,73,*,*,*,*,*,*,10,*,79,219,96,*
0,*,0,0,*,0,0,0,0,0,0,0,0,0,*,0,0
0,0,0,0,*,*,*,0,*,0,0,*,0,0,*,*,0
0,*,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,*,0,0,*,*,0,0,0,0,0,*,0,*,*,*,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,*,0,0,0,0,0,0,0,0,*,*,*,0
69,738,41,37,"1,366",151,144,81,183,10,27,151,176,520,"2,820","2,144",61
*,98,15,*,111,19,*,22,17,11,*,16,*,112,286,197,13
0,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0
*,*,0,0,15,0,0,*,*,0,0,*,*,*,41,23,0
0,*,0,0,*,0,0,0,0,0,0,0,0,*,*,*,0
0,*,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0
0,*,0,0,*,*,0,0,*,0,0,0,0,0,*,*,0
*,98,*,13,233,27,27,16,22,*,0,35,15,133,682,361,*
43,551,52,40,1971,118,58,84,275,46,14,158,178,509,4043,2514,69
