manhattan_condominiums_comparable_properties_condo_section,manhattan_condominiums_comparable_properties_address,manhattan_condominiums_comparable_properties_boro_block_lot,comparable_rental_3_distance_from_condo_in_miles,postcode,manhattan_condominiums_comparable_properties_gross_sqft,comparable_rental_1_building_classification,comparable_rental_3_market_value_per_sqft,comparable_rental_3_estimated_expense
1160-R1,838 5 AVENUE,1-01379-7504,0.09,10065.0,56729,D9-ELEVATOR,206.27,"587,023"
0640-R1,419 BLEECKER STREET,1-00624-7504,1.26,10014.0,75154,D9-ELEVATOR,226.14,"421,819"
2075-R1,211 WEST 88 STREET,1-01236-7503, ,10024.0,10789,C7-WALK-UP, , 
0296-R1,530 WEST END AVENUE,1-01233-7501, ,10024.0,79554,D3-ELEVATOR, , 
2145-R1,196 STANTON STREET,1-00345-7502,0.21,10002.0,44742,D6-ELEVATOR,148.84,"72,201"
1390-R1,19 WEST HOUSTON STREET,1-00513-7503, ,10012.0,56800,D1-ELEVATOR, , 
1426-R1,157  LUDLOW STREET,1-00411-7502,0.24,10002.0,11517,D5-ELEVATOR,194.17,"355,488"
0185-R1,2E4S,1-01323-7501, ,10017.0,193134,D6-ELEVATOR, , 
0059-R1,415 EAST 54 STREET,1-01366-7501, ,10022.0,174032,D8-ELEVATOR, , 
0999-R1,27 GREAT JONES STREET,1-00530-7502, ,10012.0,18572,D7-ELEVATOR, , 
0646-R1,177 THOMPSON STREET,1-00525-7503, ,10012.0,23688,D1-ELEVATOR, , 
0147-R1,111 EAST 30 STREET,1-00886-7501,0.25,10016.0,65112,D3-ELEVATOR,256.96,"596,729"
0971-R1,40 EAST 21 STREET,1-00849-7503,0.16,10010.0,21375,D8-ELEVATOR,301.96,"280,294"
1641-R1,125 WEST 31 STREET,1-00807-7501, ,10001.0,341960,D8-ELEVATOR, , 
0007-R2,1360 6 AVENUE,1-01271-7501,0.42,10019.0,141738,D7-ELEVATOR,200.71,"1,693,275"
1234-R1,151 WEST 17 STREET,1-00793-7505,0.28,10011.0,111514,D7-ELEVATOR,180.93,"815,472"
1720-R1,310 EAST HOUSTON STREET,1-00384-7503, ,10002.0,34734,D1-ELEVATOR, , 
1026-R1,177 DUANE STREET,1-00143-7502, ,10013.0,15500,D7-ELEVATOR, , 
0445-R1,2 HORATIO STREET,1-00616-7501, ,10014.0,209011,D6-ELEVATOR, , 
1010-R1,42 WOOSTER STREET,1-00475-7505, ,10013.0,55210,D9-ELEVATOR, , 
0025-R1,261 BROADWAY,1-00135-7501,0.52,10007.0,112500,D5-ELEVATOR,113.81,"326,119"
0366-R1,45 christopher street,1-00610-7501, ,10014.0,120723,D9-ELEVATOR, , 
1866-R2,500 WEST 53 STREET,1-01081-7502, ,10019.0,41598,D1-ELEVATOR, , 
0992-R1,704 BROADWAY,1-00545-7502, ,10003.0,46022,D9-ELEVATOR, , 
1742-R1,108 3 AVENUE,1-00559-7501, ,10003.0,100500,D6-ELEVATOR, , 
1694-R1,8 UNION SQUARE SOUTH,1-00571-7505, ,10003.0,36330,D5-ELEVATOR, , 
1427-R1,200 WEST 24 STREET,1-00773-7501, ,10011.0,36967,D7-ELEVATOR, , 
1343-R1,425 5 AVENUE,1-00868-7503,0.57,10016.0,162488,D6-ELEVATOR,205.1,"1,585,522"
1870-R1,15 EAST 26 STREET,1-00856-7503,0.26,10010.0,180112,D9-ELEVATOR,247.48,"962,364"
0241-R1,29 WEST 65 STREET,1-01118-7501, ,10023.0,40545,D9-ELEVATOR, , 
1034-R1,114 LIBERTY STREET,1-00052-7502,0.58,10006.0,65992,D5-ELEVATOR,113.81,"326,119"
2162-R1,246 SPRING STREET,1-00491-7503,1.85,10013.0,343599,D7-ELEVATOR,254.56,"4,080,038"
1759-R1,124 WEST 60 STREET,1-01131-7502,0.27,10023.0,441871,D8-ELEVATOR,210.91,"4,605,726"
2080-R1,200 WEST 72 STREET,1-01163-7503,0.21,10023.0,203946,D5-ELEVATOR,222.31,"2,864,467"
0770-R1,130 EAST 63 STREET,1-01397-7504,0.35,10065.0,104981,D6-ELEVATOR,158.09,"1,015,643"
0896-R1,250 EAST 54 STREET,1-01327-7502, ,10022.0,237531,D8-ELEVATOR, , 
0308-R1,377 RECTOR PLACE,1-00016-7501, ,10280.0,219495,D8-ELEVATOR, , 
1674-R1,2112 BROADWAY,1-01165-7505,0.14,10023.0,90440,D6-ELEVATOR,275.39,"414,836"
