school_name,survey_pp_es,n_chronic_absent_ems_allem,teacher_ethnicity_pacific,n_chronic_absent_ems_allep,n_pct_accel_try_all,n_pct_core_soc_all,n_chronic_absent_ems_allgf,val_prof_pct_watn3_elalevel34,n_prof_2plus_watn5_elalevel1,val_pct_accel_p_lote_all,ethnicity_black_pct,val_prof_pct_watn5_elalevel2,qr_5_1,ethnicity_hispanic_pct_dist,val_chronic_absent_ems_allea,n_prof_2plus_watn3_elalevel1,rating_ela_grade_5_pct_rs,ethnicity_white_pct,qr_4_1,val_interaction_k8_all,n_pct_accel_p_all,qr_2_2,near_pct_white,survey_pp_ct,val_pct_core_mth_all,teacher_ethnicity_black_pct,n_pct_accel_p_sci_all,n_pct_accelerated_all,n_chronic_absent_ems_all,n_prof_pct_watn3_mthlevel2,teacher_ethnicity_amerindian,n_pct_accel_sci_all,qr_1_3,val_pct_core_soc_all,n_hs_9gr_credits_all,n_attendance_k8_all,near_pct_black,n_chronic_absent_ems_allei,ethnicity_amerindian_pct,temp_housing_pct,val_pct_accel_lote_all,val_prof_2plus_watn5_elalevel1,ethnicity_pacific_pct_dist,n_pct_accel_p_lote_all,n_pct_core_ela_all,ethnicity_black_pct_dist,val_prof_pct_watn5_elalevel34,val_prof_pct_watn3_elalevel2,teach_3_more_exp,n_chronic_absent_ems_alleh,n_prof_2plus_watn5_mthlevel1
P.S. 099 Kew Gardens,0.97,37,0,3,No Data,No Data,350,0.754,No Data,No Data,0.048,No Data,Proficient,0.274,0.844,13,No Data,0.282,Well Developed,0.991,No Data,Proficient,0.271,0.97,No Data,No Data,No Data,No Data,723,14,0,No Data,Well Developed,No Data,No Data,763,0.127,12,0.017,0.112,No Data,No Data,0.012,No Data,No Data,0.193,No Data,0.269,0.948,267,No Data
P.S. 098 Shorac Kappock,0.48,1,0,No Data,No Data,No Data,171,No Data,No Data,No Data,0.016,No Data,Proficient,0.851,No Data,23,No Data,0.029,Proficient,0.849,No Data,Proficient,0.092,0.61,No Data,No Data,No Data,No Data,335,13,0,No Data,Proficient,No Data,No Data,346,0.021,No Data,0.0,0.224,No Data,No Data,0.001,No Data,No Data,0.059,No Data,No Data,0.946,317,No Data
The School For Future Leaders,0.99,1,0,4,No Data,No Data,218,0.691,No Data,No Data,0.0,No Data,Well Developed,0.247,0.931,3,No Data,0.039,Well Developed,0.95,No Data,Well Developed,0.051,1,No Data,No Data,No Data,No Data,442,12,0,No Data,Well Developed,No Data,No Data,450,0.007,No Data,0.0,0.096,No Data,No Data,0.001,No Data,No Data,0.009,No Data,No Data,0.875,44,No Data
"Queens School of Inquiry, The",0.85,1,0,No Data,76,245,133,No Data,16,0,0.132,0.333,Well Developed,0.266,0.9,No Data,2.9,0.164,Proficient,0.945,76,Well Developed,0.123,0.83,1,0,76,76,250,No Data,0,76,Well Developed,0.906,84,253,0.087,No Data,0.0,0.022,0,0.5,0.003,75,245,0.036,0.816,No Data,0.804,55,10
I.S. 250 The Robert F. Kennedy Community Middle Sc,0.85,No Data,0,6,126,345,169,No Data,33,No Data,0.262,0.654,Proficient,0.266,0.928,No Data,2.41,0.065,Proficient,0.862,27,Proficient,0.162,0.9,0.954,No Data,27,126,373,No Data,0,126,Proficient,0.954,117,392,0.123,12,0.034,0.121,0,0.606,0.003,No Data,345,0.036,0.875,No Data,0.968,135,38
P.S. 277,0.63,1,0,No Data,No Data,No Data,168,0.381,No Data,No Data,0.243,No Data,Proficient,0.669,No Data,6,No Data,0.006,Well Developed,0.762,No Data,Proficient,0.011,0.68,No Data,0.214,No Data,No Data,351,20,0,No Data,Proficient,No Data,No Data,364,0.313,9,0.026,0.219,No Data,No Data,0.003,No Data,No Data,0.294,No Data,0,0.548,250,No Data
Parkside Preparatory Academy,0.87,2,0,No Data,152,420,227,No Data,69,No Data,0.74,0.605,Proficient,0.142,0.778,No Data,2.36,0.037,Well Developed,0.821,59,Proficient,0.047,0.77,0.99,0.618,59,152,447,No Data,0,152,Well Developed,0.99,153,454,0.768,11,0.026,0.142,0,0.754,0.004,No Data,420,0.775,0.68,No Data,0.735,68,61
P.S. 068 Cambridge,0.9,3,0,1,No Data,No Data,231,0.559,No Data,No Data,0.015,No Data,Proficient,0.687,No Data,24,No Data,0.048,Proficient,0.928,No Data,Proficient,0.084,0.93,No Data,No Data,No Data,No Data,494,34,0,No Data,Proficient,No Data,No Data,507,0.018,No Data,0.0,0.064,No Data,No Data,0.002,No Data,No Data,0.016,No Data,0.103,0.909,446,No Data
P.S. 028 The Warren Prep Academy,0.83,1,0,No Data,No Data,No Data,38,No Data,No Data,No Data,0.81,No Data,Proficient,0.232,No Data,3,No Data,0.0,Well Developed,0.972,No Data,Proficient,0.041,0.72,No Data,0.455,No Data,No Data,84,9,0,No Data,Well Developed,No Data,No Data,88,0.711,No Data,0.0,0.165,No Data,No Data,0.01,No Data,No Data,0.697,No Data,No Data,1,14,No Data
P.S. 021 Edward Hart,0.82,16,0,3,No Data,No Data,623,0.779,No Data,No Data,0.01,No Data,Proficient,0.271,0.91,13,No Data,0.051,Well Developed,0.943,No Data,Proficient,0.137,0.86,No Data,0,No Data,No Data,1275,39,0,No Data,Well Developed,No Data,No Data,1297,0.009,4,0.003,0.147,No Data,No Data,0.002,No Data,No Data,0.034,No Data,0.163,0.875,382,No Data
Liberty Avenue Middle School,0.83,1,0,1,170,496,269,No Data,55,No Data,0.237,0.362,Proficient,0.455,0.905,No Data,2.43,0.014,Well Developed,0.887,61,Well Developed,0.017,0.87,0.984,0.196,27,170,534,No Data,0,170,Well Developed,0.938,153,550,0.314,12,0.021,0.216,0,0.582,0.007,No Data,496,0.442,0.724,No Data,0.826,365,48
P.S. 506: The School of Journalism & Technology,0.9,1,0,No Data,No Data,No Data,377,0.862,No Data,No Data,0.009,No Data,Proficient,0.247,0.941,24,No Data,0.037,Proficient,0.92,No Data,Proficient,0.048,0.97,No Data,No Data,No Data,No Data,751,34,No Data,No Data,Well Developed,No Data,No Data,767,0.011,1,0.001,0.084,No Data,No Data,0.001,No Data,No Data,0.009,No Data,0.163,0.844,493,No Data
Mott Hall III,0.84,No Data,0,No Data,106,334,193,No Data,32,No Data,0.335,0.69,Proficient,0.673,No Data,No Data,2.73,0.021,Well Developed,0.958,27,Proficient,0.016,0.85,1,0.2,27,106,343,No Data,0,106,Well Developed,0.988,100,349,0.418,No Data,0.0,0.141,0,0.844,0.003,No Data,334,0.297,0.98,No Data,0.76,219,25
Harold O. Levy School,0.97,No Data,0,No Data,92,259,125,No Data,38,0,0.045,No Data,Developing,0.897,No Data,No Data,2.05,0.011,Proficient,0.855,29,Proficient,0.053,0.95,0.969,0,No Data,92,275,No Data,0,92,Proficient,0.969,77,279,0.031,2,0.007,0.157,0,0.632,0.001,29,259,0.064,No Data,No Data,0.852,256,33
P.S. 108 Assemblyman Angelo Del Toro Educational C,0.9,4,No Data,1,59,182,180,No Data,34,No Data,0.338,0.563,Developing,0.562,No Data,No Data,No Data,0.03,Well Developed,0.759,No Data,Proficient,0.048,0.88,0.989,0.128,No Data,59,414,No Data,No Data,59,Proficient,0.989,51,424,0.34,4,0.01,0.217,0,0.735,0.004,No Data,182,0.321,No Data,No Data,0.872,244,25
P.S. 140 Nathan Straus,0.89,No Data,0,1,63,180,175,No Data,29,No Data,0.154,0.2,Well Developed,0.45,No Data,No Data,No Data,0.019,Proficient,0.904,No Data,Proficient,0.128,0.85,0.961,No Data,No Data,63,376,No Data,0,63,Well Developed,1,53,401,0.142,1,0.003,0.236,0,0.759,0.004,No Data,180,0.173,No Data,No Data,0.821,296,24
