tr6_no,block,exterior_wall_type_s_,qewi_zip,qewi_signed_date,lot,prior_cycle_filing_date
TR6-806290-8A-N1,1829,,,,33,
TR6-814073-8C-N1,161,,,,43,
TR6-814210-8C-N1,2262,,,,7508,
TR6-903123-9B-N1,1010,,,,7501,
TR6-903183-9C-N1,1022,,,,35,
TR6-807539-8C-N1,2443,,,,170,
TR6-709737-7A-q1,3709,BRICK MASONRY; OTHER,,,1,
TR6-812959-8C-N1,1963,,,,6,
TR6-808958-8C-N1,5953,,,,550,
TR6-811154-8B-N1,3168,,,,40,
TR6-801839-8C-N1,802,,,,54,
TR6-901071-9C-N1,543,,,,7501,
TR6-813395-8C-I1,1171,BRICK MASONRY; METAL & GLASS,10010,2018-09-03T20:00:00.000,7505,2012-12-18T00:00:00.000
TR6-904726-9A-A1,1349,STEEL FRAME,07632,2025-11-24T00:00:00.000,41,2025-08-29T00:00:00.000
TR6-816522-8C-I1,1992,STONE LIMESTONE; BRICK MASONRY; METAL & GLASS; METAL SIDING/PANELS; STUCCO,10001,2018-01-23T19:00:00.000,7501,
TR6-908087-9B-N1,3250,,,,40,
TR6-803191-8A-I1,1024,METAL & GLASS; OTHER,10001,2017-03-06T00:00:00.000,15,2011-09-29T00:00:00.000
TR6-705476-7B-I1,1498,BRICK MASONRY; OTHER,,2012-08-17T00:00:00.000,27,2007-05-23T00:00:00.000
TR6-905068-9A-N1,1405,,,,7501,
TR6-602211-NA-I1,838,BRICK MASONRY; TERRA COTTA,,2011-03-20T00:00:00.000,62,2000-02-08T00:00:00.000
TR6-903894-9C-N1,1233,,,,16,
TR6-911552-9A-N1,9204,,,,9,
TR6-804555-8A-I1,1315,BRICK MASONRY; METAL & GLASS; OTHER,20910,2018-09-03T20:00:00.000,44,2012-02-16T00:00:00.000
TR6-812425-8A-N1,2176,,,,5,
TR6-908104-9C-N1,3253,,,,262,
TR6-905305-9A-N1-,1456,,,,35,
TR6-814584-8A-N1,1929,,,,7503,
TR6-901536-9B-N1,757,,,,54,
TR6-813250-8C-N1,5183,,,,20,
TR6-707988-7C-N1,3112,,,,30,
TR6-800537-8C-N1,253,,,,1,
TR6-918607-9A-N1,8676,,,,7503,
TR6-913422-9B-N1,797,,,,7,
TR6-705251-7C-I1,1443,BRICK MASONRY; OTHER,,2014-04-10T00:00:00.000,11,2007-01-10T00:00:00.000
TR6-803566-8A-N1,1154,,,,101,
TR6-918129-9A-N1,375,,,,1,
TR6-810778-8B-N1,1440,,,,1,
TR6-914223-9A-N1,2264,,,,7521,
TR6-911857-9A-N1,16234,,,,44,
TR6-807710-8A-N1,2639,,,,1,
TR6-910953-9A-N1,2116,,,,6,
TR6-608006-NA-I1,3138,BRICK MASONRY; STUCCO,,2006-04-10T00:00:00.000,1,2001-03-06T00:00:00.000
TR6-800263-8A-N1,94,,,,1,
TR6-807291-8A-N1,2179,,,,429,
TR6-716762-7C-N1,5101,,,,42,
TR6-906939-9A-N1,2029,,,,1,
TR6-917532-9C-N1,762,,,,16,
TR6-804744-8C-N1,1361,,,,1,
TR6-805446-8A-I4,1495,CONCRETE; BRICK MASONRY,10018,2019-07-25T20:00:00.000,4,2012-02-17T00:00:00.000
TR6-808244-8B-N1,3537,,,,1,
TR6-914887-9A-N1,4286,,,,13,
TR6-913182-9A-N1,2264,,,,7518,
TR6-812711-8A-N1,3356,,,,180,
TR6-600700-NA-N1,362,,,,10,
TR6-904578-9A-N1,1319,,,,34,
TR6-800182-8A-A1,65,BRICK MASONRY; OTHER,10016,2017-01-19T00:00:00.000,17,2016-02-29T00:00:00.000
TR6-808096-8C-N1,3252,,,,276,
TR6-802181-8B-N1,837,,,,15,
TR6-808654-8B-N1,4428,,,,56,
TR6-905260-9A-N1,1445,,,,23,
TR6-916828-9A-N1,2264,,,,7511,
TR6-816704-8A-N1,4976,,,,7501,
TR6-910139-9A-N1,6694,,,,1,
TR6-604552-NA-I1,1314,BRICK MASONRY; GLASS; OTHER,,2005-10-03T00:00:00.000,7502,2005-10-20T00:00:00.000
TR6-911818-9C-N1,16002,,,,1,
TR6-816894-8C-N1,3741,,,,5,
TR6-814464-8A-N1,5066,,,,7503,
TR6-804120-8C-I1,1261,METAL SIDING/PANELS; BRICK MASONRY,10018,,57,2013-02-21T00:00:00.000
TR6-806826-8C-I1,1982,BRICK MASONRY; TERRA COTTA,10011,2018-10-27T20:00:00.000,69,
TR6-918195-9B-N1,15950,,,,7501,
TR6-911317-9A-N1,4995,,,,64,
TR6-800970-8A-N1,515,,,,31,
TR6-900825-9A-N1,459,,,,7501,
TR6-908880-9A-N1,5785,,,,268,
TR6-913289-9A-N1,2064,,,,18,
