id,daterequested,otherstudies,locationnotes,schoolcrossing,studyunit,datecreated,compassdirectionone,mainstreet,midblock,tentativesignalinstalldate,removal
129480,2005-05-06T00:00:00.000,,,No,SE,,,ARCHER AVENUE,No,,No
38057,2014-10-09T00:00:00.000,,,No,SE,,,BRUCKNER BOULEVARD,No,,No
133369,2016-08-03T00:00:00.000,,,No,SE,2016-08-03T11:22:59.000,,36 AVENUE,No,,No
34879,2013-05-09T00:00:00.000,,,No,SE,,,FRANKLIN AVENUE,No,,No
134747,2016-10-24T00:00:00.000,,,No,SE,2016-10-24T10:34:11.000,,RICHMOND ROAD,No,,No
122675,2000-09-25T00:00:00.000,,,No,SE,,,QUEENS VARIOUS,No,,No
127975,2004-06-17T00:00:00.000,,,No,SE,,,DE REIMER (3410),No,,No
113546,2015-11-19T00:00:00.000,,,No,SE,2015-11-19T09:41:31.000,,QUEENS BOULEVARD,No,,No
122498,2000-08-25T00:00:00.000,,,No,SE,,,VAN NEST AVENUE,No,,No
37241,2014-05-01T00:00:00.000,,,No,SE,,,11 AVENUE,No,,No
133199,2016-06-30T00:00:00.000,,,No,SE,2016-06-30T07:38:35.000,,S/B WOODHAVEN BOULEVARD  FROM  ROCKAWAY BOULEVARD/LIBERTY AVENUE/107TH AVENUE/109TH AVENUE/SUTTER AVENUE,No,,No
1.22e+05,2000-09-19T00:00:00.000,,,No,SE,,,CENTER DRIVE,No,,No
129804,2004-04-15T00:00:00.000,,,No,SE,,,72 DRIVE,No,,No
143361,2018-06-15T00:00:00.000,,,No,SE,2018-06-15T08:49:27.000,,AVENUE X,No,,No
24421,2008-10-29T00:00:00.000,,,No,SE,,,JAY STREET,No,,No
119522,1998-08-07T00:00:00.000,,,No,SE,,,EAST   96 STREET,No,,No
131618,2005-03-18T00:00:00.000,,,No,SE,,,ATLANTIC AVENUE,No,,No
33368,2012-09-19T00:00:00.000,,,No,SE,,,JUNCTION BOULEVARD,No,,No
37413,2014-06-03T00:00:00.000,,,No,SE,,,B   54 STREET,No,,No
146118,2018-12-12T00:00:00.000,,,No,ICU,2018-12-12T09:44:06.000,,COLDEN STREET,No,,No
129041,2004-10-08T00:00:00.000,,,No,SE,,,AVENUE T,No,,No
19123,2006/07/10 00:00,,,No,SE,,,MOSHOLU PARKWAY,No,,No
113621,2015-11-30T00:00:00.000,,,No,SE,2015-12-01T11:43:18.000,,CYPRESS HILLS STREET,No,,No
