externalreferencenumber,pedestriancount,dateassigned,pedestriancount2,statusdescription,targetdate,pm_count,studystatus,consultant
XBC06-55,,,,Engineering Study Completed     (Signals Engineering),2006-03-17T00:00:00.000,,CLOSED,No
QBC11-945,,,,Engineering Study Completed     (Signals Engineering),2011-08-22T00:00:00.000,,CLOSED,No
48,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
QBC09-997,,,,Engineering Study Completed     (Signals Engineering),2009-10-15T00:00:00.000,,CLOSED,No
QBC00-1298,,,,Engineering Study Completed     (Signals Engineering),2000-10-13T00:00:00.000,,CLOSED,No
DOT-324492-X9T3,,2017-01-31T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2017-03-21T00:00:00.000,,CLOSED,No
DOT-387770-Y6J1,,2018-08-28T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2018-12-17T00:00:00.000,,CLOSED,No
COMM. LOG #2139,,,,L/T Approval,2003-03-05T00:00:00.000,,CLOSED,No
DOT-226139-M3B8,,,,LPI Approval,2014-08-22T00:00:00.000,,CLOSED,No
QBC11-1753/112TH PCT. - #59 - 60,,2016-10-27T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2011-12-19T00:00:00.000,,CLOSED,No
DOT-442486-P7G2,,2019-12-10T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2020-03-27T00:00:00.000,,CLOSED,No
DOT-383463-M4X0,,2018-08-03T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2018-09-07T00:00:00.000,,CLOSED,No
23290,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
DOT-330536-L3B6/111386111996/866892,,2017-04-27T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2017-06-30T00:00:00.000,,CLOSED,No
,,2016-08-03T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2016-10-14T00:00:00.000,,CLOSED,No
SBE1856/TO50536,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
QBC13-1093/177/PBQN/110TH PCT. #13,,,,Engineering Study Completed     (Signals Engineering),2013-11-07T00:00:00.000,,CLOSED,No
MAN. LOG #7557; CCU-06-2427; MAN. LOG #7955; MAN. LOG #8217,,,,LPI Approval,2006-07-22T00:00:00.000,,CLOSED,No
CCU13-81/11811751103,,,,Engineering Study Completed     (Signals Engineering),2013-02-28T00:00:00.000,,CLOSED,No
DOT-246174-V4L1,,,,Engineering Study Completed     (Signals Engineering),2015-02-14T00:00:00.000,,CLOSED,No
,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
9612,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
DOT-313086-R2F2,,2016-10-12T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2016-12-27T00:00:00.000,,CLOSED,No
BT5296/R42001-19,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
4,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
BBC08-1916,,,,Engineering Study Completed     (Signals Engineering),2008-12-30T00:00:00.000,,CLOSED,No
DOT-355171-Z4Z4/111479250036,,2018-02-27T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2018-02-16T00:00:00.000,,CLOSED,No
DOT-397032-M2Z3,,2018-11-29T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2019-02-08T00:00:00.000,,CLOSED,No
,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
DOT-248346-K5Q5/CRM0419142,,,,Engineering Study Completed     (Signals Engineering),2015-03-12T00:00:00.000,,CLOSED,No
DOT-261828-S0H5; DOT-266707-B6W1,,,,LPI Approval,2015-11-17T00:00:00.000,,CLOSED,No
DOT-258001-S6K0,,2017-07-10T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2017-11-03T00:00:00.000,,CLOSED,No
DOT-350737-C0Q5,,2017-10-12T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2018-01-05T00:00:00.000,,CLOSED,No
CCU06-701/11213294700,,,,Engineering Study Completed     (Signals Engineering),2006-03-04T00:00:00.000,,CLOSED,No
CCU08-2818,,,,Engineering Study Completed     (Signals Engineering),2008-05-30T00:00:00.000,,CLOSED,No
