location_name,geocode,vio_n,rangea,:@computed_region_92fq_4b7q,postcode,major_n,census_tract
P.S. K140,"{'latitude': '35.200279', 'longitude': '-83.820244', 'human_address': '{""address"": ""141 MACON STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,501-750,,11216.0,0.0,269.0
In-Tech Academy (M.S. / High School 368),"{'latitude': '40.877814', 'longitude': '-73.911868', 'human_address': '{""address"": ""2975 TIBBETT AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,39.0,10463.0,,29302.0
High School for Service & Learning at Erasmus,"{'latitude': '40.649522', 'longitude': '-73.958489', 'human_address': '{""address"": ""911 FLATBUSH AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,11.0,11226.0,,794.0
P.S. 158 Bayard Taylor,"{'latitude': '40.770522', 'longitude': '-73.951072', 'human_address': '{""address"": ""1458 YORK AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,251-500,1.0,10075.0,1.0,132.0
Bronx Community High School,"{'latitude': '37.665046', 'longitude': '-120.962673', 'human_address': '{""address"": ""1980 LAFAYETTE AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,,10473.0,,16.0
George Washington Yabc,"{'latitude': '28.010919', 'longitude': '-80.660106', 'human_address': '{""address"": ""549 AUDUBON AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,,10040.0,,277.0
P.S. Q086,"{'latitude': '41.12133', 'longitude': '-72.339742', 'human_address': '{""address"": ""87 41 PARSONS BOULEVARD"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,501-750,,11432.0,0.0,448.0
The Mott Hall School,"{'latitude': '40.815876', 'longitude': '-73.952864', 'human_address': '{""address"": ""71 111 CONVENT AVE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,501-750,36.0,10027.0,,21703.0
FUTURE LEADERS INSTITUTE CHARTER SCHOOL(MN),"{'latitude': '42.256066', 'longitude': '-72.251068', 'human_address': '{""address"": ""134 WEST 122 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,1-250,,10027.0,,220.0
85 WATKINS STREET CONSOLIDATED LOCATION,"{'latitude': '40.670936', 'longitude': '-73.908193', 'human_address': '{""address"": ""85 WATKINS STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,1-250,37.0,11212.0,,906.0
