latitude,longitude,nta,nocrim_n,school_year,register,schools_in_building,nypd_site_code
40.695332,-73.969243,Clinton Hill                                                               ,0.0,2016 - 17,511.0,EBC High School for Public Service - Bushwick,211.0
40.738548,-73.982455,Gramercy                                                                   ,,2016 - 17,195.0,47 The American Sign Language and English Secondar |  The 47 American Sign Language & English Lower Scho |  223 EAST 23 STREET CONSOLIDATED LOCATION,550.0
40.74056,-73.854131,Corona                                                                     ,0.0,2016 - 17,1122.0,P.S. 011 Kathryn Phelan,849.0
40.685004,-73.947152,Bedford                                                                    ,23.0,2016 - 17,926.0,Boys and Girls High School |  Research and Service High School | NELSON MANDELA HIGH SCHOOL |1700 FULTON STREET CONSOLIDATED LOCATION,193.0
40.698869,-73.945042,Bedford                                                                    ,,2016 - 17,394.0,P.S. 147 Isaac Remsen |  Young Women's Leadership School of Brooklyn |  325 BUSHWICK AVENUE CONSOLIDATED LOCATION,92.0
40.660306,-73.907355,Brownsville                                                                ,5.0,2016 - 17,476.0,P.S. 041 Francis White,66.0
40.821535,-73.940941,Central Harlem North-Polo Grounds                                          ,,2016 - 17,281.0,P.S. 192 Jacob H. Schiff| Hamilton Grange Middle School| P.S. 325| 500 WEST 138 STREET CONSOLIDATED LOCATION,626.0
40.618415,-74.028842,Bay Ridge                                                                  ,4.0,2016 - 17,1278.0,P.S./I.S. 104 The Fort Hamilton School,219.0
40.789526,-73.967574,Upper West Side                                                            ,1.0,2016 - 17,806.0,P.S. 083 Luis Munoz Rivera |  The Bilingual Bicultural School |  219 EAST 109 STREET CONSOLIDATED LOCATION,586.0
40.69719,-73.787192,South Jamaica                                                              ,4.0,2016 - 17,1836.0,I.S. 5 - The Walter Crowley Intermediate School,638.0
40.761448,-73.988019,Clinton                                                                    ,1.0,2016 - 17,178.0,P.S. 015 Roberto Clemente,549.0
40.640463,-73.977642,Kensington-Ocean Parkway                                                   ,6.0,2016 - 17,370.0,P.S. 178 Saint Clair Mckelway,244.0
40.780822,-73.976855,Upper West Side                                                            ,,2016 - 17,551.0,M.S. M245 The Computer School |  The Anderson School |  P.S. 452 |  100 WEST  77 STREET CONSOLIDATED LOCATION,559.0
40.681896,-73.935963,Stuyvesant Heights                                                         ,,2016 - 17,244.0,Brooklyn Brownstone School |  M.S. 035 Stephen Decatur |  272 MACDONOUGH STREET CONSOLIDATED LOCATION,63.0
40.715905,-73.990895,Chinatown                                                                  ,1.0,2016 - 17,699.0,P.S. 041 Greenwich Village,682.0
40.646877,-73.920977,Rugby-Remsen Village                                                       ,1.0,2016 - 17,476.0,P.S. 284 Lew Wallace,180.0
40.594124,-73.937696,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,,2016 - 17,209.0,Origins High School| Professional Pathways High School| New Visions Charter High School for Advanced Math| New Visions Charter High School for the Humanities| 3000 AVENUE X CONSOLIDATED LOCATION,10.0
40.631523,-74.144297,Port Richmond                                                              ,0.0,2016 - 17,575.0,P.S. 018 John G. Whittier,1110.0
40.621224,-73.91287,Georgetown-Marine Park-Bergen Beach-Mill Basin                             ,,2016 - 17,588.0,J.H.S. 078 Roy H. Mann |SUCCESS ACADEMY CHARTER SCHOOL - BERGEN BEACH(BS)  | CONSOLIDATED LOCATION,78.0
40.761448,-73.988019,Clinton                                                                    ,,2016 - 17,375.0,P.S. 212 Midtown West |  Professional Performing Arts High School |  328 WEST  48 STREET CONSOLIDATED LOCATION,549.0
40.688419,-73.924833,Stuyvesant Heights                                                         ,,2016 - 17,204.0,P.S. 309 The George E. Wibecan Preparatory Academy |Excellence Girls Charter School |794 MONROE STREET CONSOLIDATED LOCATION,124.0
40.705204,-73.939407,Bushwick South                                                             ,2.0,2016 - 17,619.0,P.S. 145 Andrew Jackson,162.0
40.579451,-73.943819,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,3.0,2016 - 17,519.0,P.S. 194 Raoul Wallenberg,103.0
40.71602,-74.011035,SoHo-TriBeCa-Civic Center-Little Italy                                     ,,2016 - 17,321.0,I.S. 218 Salome Urena |  City College Academy of the Arts |  Middle School 322 |  4600 BROADWAY CONSOLIDATED LOCATION,1065.0
40.694926,-73.986015,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,,2016 - 17,449.0,"George Westinghouse Career and Technical Education|City Polytechnic High School of Engineering, Archi|105 TECH PLACE CONSOLIDATED LOCATION",148.0
40.594124,-73.937696,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,,2016 - 17,434.0,Origins High School| Professional Pathways High School| New Visions Charter High School for Advanced Math| New Visions Charter High School for the Humanities| 3000 AVENUE X CONSOLIDATED LOCATION,10.0
40.879368,-73.909896,Spuyten Duyvil-Kingsbridge                                                 ,,2016 - 17,400.0,Academy for Scholarship and Entrepreneurship: A Co |  New World High School |  The Bronxwood Preparatory Academy |  921 EAST 228TH STREET CONSOLIDATED LOCATION,456.0
40.860043,-73.888267,Belmont                                                                    ,50.0,2016 - 17,2397.0,"Kingsbridge International High School |  International School for Liberal Arts |  High School for Teaching and the Professions |  Celia Cruz Bronx High School of Music, The |  Walton Yabc |  Discovery High School |  2780 RESERVOIR AVENUE CONSOLIDATED LOCATION",1402.0
40.70644,-74.017818,Battery Park City-Lower Manhattan                                          ,1.0,2016 - 17,563.0,Washington Heights Academy,546.0
