geocode,longitude,avgofmajor_n,community_board,nypd_site_name,council_district,:@computed_region_f5dn_yrer,latitude-oth_n
"{'latitude': '41.756114', 'longitude': '-124.216226', 'human_address': '{""address"": ""350 GRAND STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",-73.989337,,3.0,HS FOR HUMANITIES,1.0,,40.716778-nan
"{'latitude': '41.889272', 'longitude': '-84.042283', 'human_address': '{""address"": ""713 CATON AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",-73.973362,0.64,7.0,Spring Creek Community School,39.0,,40.64759-8.0
"{'latitude': '40.773477', 'longitude': '-111.886448', 'human_address': '{""address"": ""160 EAST 120 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",-73.939349,0.28,11.0,PS 001M,8.0,,40.801007-0.0
"{'latitude': '40.770522', 'longitude': '-73.951072', 'human_address': '{""address"": ""1458 YORK AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",-73.951135,0.27,8.0,PS 152M,5.0,23.0,40.770419-3.0
"{'''''""ES""""""""""""",-73.945042,,3.0,PS 145K,36.0,,40.698869-nan
"{'latitude': '41.840689', 'longitude': '-73.406223', 'human_address': '{""address"": ""176 EAST 115 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",-73.94128,0.28,11.0,JHS 052M,8.0,,40.797577-1.0
"{'latitude': '28.010919', 'longitude': '-80.660106', 'human_address': '{""address"": ""549 AUDUBON AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",-73.927051,,12.0,SEWARD PARK HS,10.0,,40.855954-nan
"{'latitude': '41.986541', 'longitude': '-87.8328', 'human_address': '{""address"": ""1919 PROSPECT AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",-73.889755,,6.0,IS 203X,17.0,,40.843546-nan
"{'latitude': '33.880725', 'longitude': '-118.206822', 'human_address': '{""address"": ""270 WEST 70 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",-73.984449,,7.0,East Harlem Village Academy Charter School,6.0,,40.778059-nan
"{'latitude': '40.701328', 'longitude': '-73.981737', 'human_address': '{""address"": ""209 YORK STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",-73.982314,,2.0,PS 304K,33.0,68.0,40.701343-nan
"{'latitude': '29.791239', 'longitude': '-95.406189', 'human_address': '{""address"": ""1137 HERKIMER STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",-73.915843,0.57,16.0,PS 269K,41.0,,40.677805-3.0
"{'latitude': '40.726673', 'longitude': '-73.953962', 'human_address': '{""address"": ""75 MESEROLE AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",-73.95427,0.28,1.0,PS 029K,33.0,36.0,40.726587-0.0
