mn_death_count,mn_all_case_count_7day_avg,bx_death_count,bx_all_case_count_7day_avg
2,1022,1,576
2,448,3,412
2,776,2,440
0,331,1,246
1,532,1,115
4,53,1,67
1,135,0,134
7,390,7,458
0,231,3,127
9,579,7,645
3,215,3,74
73,601,151,1171
9,679,21,1044
3,593,11,867
2,347,2,292
0,815,2,548
72,359,86,890
1,124,0,124
1,220,2,124
7,344,3,413
0,657,0,426
12,638,15,705
0,110,2,70
3,336,2,299
1,306,2,183
9,824,8,1089
0,48,1,48
13,783,13,1084
3,44,0,62
27,235,56,461
6,467,6,526
13,572,6,658
2,38,1,51
4,587,2,663
14,799,12,1125
11,626,13,698
2,116,1,111
3,53,2,68
0,179,1,106
0,68,1,59
14,642,15,829
1,216,4,56
1,368,2,328
5,707,12,922
6,825,5,1128
0,350,3,331
3,443,4,401
1,87,0,33
4,79,6,148
6,123,15,183
1,37,1,48
3,394,4,372
4,408,3,342
2,68,2,81
3,282,3,134
2,454,6,417
0,356,1,322
11,903,15,1185
3,315,3,261
1,339,1,289
0,76,1,77
0,43,0,44
2,675,2,434
4,37,1,40
2,696,0,414
2,196,5,278
1,156,0,113
8,65,5,117
0,662,0,209
2,933,1,508
1,346,1,300
0,56,0,51
2,5532,2,2479
17,3171,33,3347
3,463,1,392
13,576,16,823
1,919,1,319
1,400,0,81
5,183,5,260
3,76,5,83
5,589,4,821
2,130,3,129
0,124,0,73
2,140,1,136
47,537,47,832
3,550,5,620
3,74,1,84
2,417,1,374
4,721,0,469
0,200,4,198
2,87,1,86
1,418,5,386
4,434,1,346
22,136,12,260
0,36,0,28
1,167,1,128
0,474,3,96
10,104,9,176
2,660,0,207
4,174,5,253
8,112,12,190
3,97,12,164
2,839,0,195
30,223,41,425
1,39,2,56
1,503,2,436
2,500,2,455
3,246,3,208
2,625,0,407
0,830,1,305
2,368,2,337
4,347,0,318
7,6160,15,7135
2,116,1,49
1,319,2,261
0,47,1,56
11,576,13,645
0,42,1,61
0,295,5,257
1,733,4,697
1,36,1,60
3,473,0,430
2,537,4,611
0,765,0,198
38,234,33,454
2,204,3,68
2,38,2,53
0,585,2,369
2,595,1,132
0,77,0,76
5,567,19,742
79,450,151,1088
8,615,5,805
0,52,3,50
0,83,2,82
2,339,2,264
7,535,8,653
12,246,5,98
1,69,1,57
1,461,2,349
0,33,1,29
2,456,1,88
3,416,5,428
0,360,3,287
0,279,1,66
1,427,1,400
57,332,74,776
0,235,1,138
1,230,2,49
2,776,1,429
0,38,2,68
0,77,4,107
9,499,12,495
1,392,1,270
4,4229,4,1398
0,375,3,347
2,394,3,275
4,57,6,75
12,2381,25,2326
1,203,0,114
0,162,1,122
16,6398,25,7219
2,215,4,60
7,62,9,109
1,61,12,104
2,5769,4,3215
0,51,0,57
4,422,1,317
1,488,2,495
5,579,9,670
1,423,2,378
9,454,9,290
19,518,14,640
0,90,1,59
1,486,1,103
24,525,35,724
0,32,1,33
2,408,6,304
9,614,7,688
2,56,3,66
5,351,4,420
0,52,1,33
19,627,13,829
1,32,1,36
1,645,1,409
3,597,1,585
0,978,0,568
8,360,8,186
1,432,3,401
69,402,121,1004
1,558,2,120
47,324,65,655
1,448,5,406
46,336,63,705
3,338,2,295
1,255,0,155
11,603,11,746
2,387,4,275
3,59,3,67
0,44,1,57
3,497,2,450
3,79,1,116
2,94,1,138
0,0,0,0
6,622,17,694
9,463,6,527
2,477,2,439
2,459,2,392
0,83,0,55
3,498,1,449
2,288,2,253
1,362,2,370
1,47,1,61
1,365,1,337
0,54,1,51
0,253,2,215
0,408,0,330
16,6791,17,7596
0,48,0,61
3,352,0,265
2,235,0,179
2,119,2,119
1,342,0,295
4,440,0,333
5,636,12,700
1,69,1,58
1,328,2,267
1,263,1,228
3,406,4,350
21,148,16,250
3,483,2,490
5,324,5,396
4,531,1,551
0,59,2,38
0,426,1,82
2,363,0,312
21,5607,20,6260
1,332,2,297
1,36,1,29
3,508,1,522
