hospitalized_count,qn_hospitalized_count_7day_avg,qn_probable_case_count_7day_avg,bk_hospitalized_count_7day_avg,qn_hospitalized_count,bx_case_count_7day_avg,mn_death_count_7day_avg,qn_case_count,bx_probable_case_count_7day_avg,bx_probable_case_count,si_all_case_count_7day_avg,all_case_count_7day_avg
134,28,208,31,32,430,2,1277,146,210,333,4399
128,28,161,40,29,302,3,570,110,106,155,2386
105,24,143,29,27,343,1,951,97,137,227,3354
89,22,103,25,18,176,1,382,70,71,149,1680
34,9,51,8,5,94,1,285,21,21,85,1479
56,16,5,17,24,63,3,123,4,5,15,345
59,12,50,21,12,104,1,156,30,36,82,793
192,61,202,61,52,331,7,636,127,115,240,2874
35,9,66,15,11,88,0,246,39,37,79,1077
272,81,291,89,97,475,10,681,170,127,288,3841
38,16,21,17,12,66,5,160,8,8,53,765
1712,552,35,481,559,1148,58,1762,23,36,304,5179
355,100,261,117,91,826,13,1005,218,190,290,4661
297,88,310,92,94,695,6,434,172,162,486,4753
103,26,123,33,27,215,2,499,77,96,121,1793
162,32,192,38,34,414,2,877,134,150,222,3706
584,273,40,242,184,858,75,705,32,24,247,3505
56,14,48,21,22,99,1,154,24,34,68,749
44,9,62,16,8,85,0,270,39,52,74,1038
167,57,179,66,44,303,6,296,110,84,212,2519
95,28,144,34,28,319,1,507,107,91,194,3000
267,91,316,97,78,522,8,741,183,137,334,4216
27,8,31,8,8,48,0,97,21,32,47,504
95,28,75,31,24,221,2,304,77,80,174,1759
47,15,94,15,13,122,1,253,61,57,120,1466
303,104,295,108,88,851,13,911,238,200,323,5380
25,7,7,10,7,44,0,70,4,4,24,291
416,112,322,117,121,842,10,1501,241,272,411,5583
25,6,6,11,2,56,1,51,6,7,15,268
208,89,10,78,64,452,36,333,9,7,99,1945
190,68,219,70,58,381,7,583,145,131,277,3245
293,85,292,84,95,486,9,1093,172,178,279,3874
35,8,16,10,10,39,1,76,12,21,22,255
238,69,287,70,62,507,4,1092,156,187,356,3877
390,109,309,118,110,893,8,1494,232,225,478,5887
312,88,321,94,98,515,9,1131,184,210,319,4164
60,15,45,20,18,91,0,161,20,26,61,728
49,15,5,17,17,64,3,92,4,3,14,345
54,11,45,15,14,72,0,146,35,29,66,772
34,6,9,11,5,52,0,104,6,6,20,398
436,93,226,112,107,641,10,1403,188,251,248,4155
39,11,18,10,14,45,2,106,11,7,36,612
98,30,102,38,25,245,1,419,83,90,162,1984
289,98,261,103,70,707,12,234,215,110,268,4566
428,110,326,112,113,899,9,1530,229,264,500,5988
105,30,94,35,28,247,1,156,84,46,160,1899
140,27,162,37,32,296,3,538,106,103,153,2340
177,31,0,23,72,33,0,194,0,0,10,274
81,21,2,22,15,146,7,158,2,5,33,627
102,25,3,30,26,182,10,237,1,2,40,857
49,10,16,20,13,62,0,140,8,8,38,596
84,22,76,28,22,205,1,287,65,60,150,1681
134,41,163,40,43,303,2,302,105,77,126,2455
1590,535,57,446,532,1256,92,1949,38,46,435,5462
44,9,15,11,14,40,1,68,14,26,24,254
47,11,5,16,14,61,3,132,3,1,18,333
93,30,118,32,25,259,2,320,101,75,130,2018
43,12,19,12,12,59,3,164,9,10,46,663
144,31,140,35,39,284,2,589,97,135,138,2156
138,32,138,37,34,275,2,576,100,126,135,2119
741,142,797,194,162,3888,3,6585,702,696,1660,27562
142,37,184,39,44,275,1,748,104,121,269,2992
52,18,39,20,18,75,2,102,28,23,53,571
641,233,34,204,186,866,68,1223,29,23,235,3470
135,30,107,33,37,224,2,438,70,45,169,1913
322,109,259,137,85,1004,15,1159,176,81,559,8478
127,29,75,33,37,227,1,359,76,81,172,1802
48,8,57,10,6,113,1,368,27,32,90,1726
110,31,131,33,29,261,2,501,98,89,132,2068
306,84,281,85,85,575,11,861,194,226,279,3969
114,35,176,41,26,332,3,403,112,105,144,2565
40,14,28,21,11,73,1,123,20,11,47,626
20,10,19,10,5,44,1,69,10,7,36,604
71,17,133,16,26,189,1,758,64,64,177,2569
24,8,31,8,5,49,0,110,20,27,42,479
965,156,902,218,197,4768,3,14240,827,1508,2003,31256
90,24,93,30,26,184,1,365,72,83,154,1857
28,8,7,10,5,53,1,66,6,8,14,259
29,9,53,9,8,97,1,175,21,14,82,1512
52,15,76,17,18,107,2,239,50,42,98,1245
50,15,54,19,11,92,1,171,43,41,103,1066
137,30,156,31,36,239,2,462,79,82,154,2056
1535,347,5,310,451,776,16,1644,2,8,320,3902
44,14,6,18,13,64,3,58,3,2,15,340
77,17,149,19,18,222,1,763,76,76,180,2930
23,10,8,8,11,50,1,40,7,7,14,260
158,39,148,38,38,314,2,650,98,145,266,2291
127,37,176,45,35,333,2,452,123,92,150,2630
51,12,17,12,17,51,2,155,10,13,42,645
206,71,138,89,52,497,14,756,79,51,303,4512
115,36,186,46,29,470,2,518,160,128,226,3489
47,14,45,22,6,93,0,103,21,24,61,735
258,82,231,92,81,569,11,554,178,164,224,3627
45,10,5,15,14,59,3,117,3,2,22,362
266,78,231,87,86,425,6,975,151,166,281,3488
45,11,70,16,10,96,1,153,48,33,90,1183
50,11,5,13,17,77,2,106,5,4,23,394
55,14,52,19,11,102,1,102,37,55,93,843
142,43,58,55,28,279,14,457,38,29,155,2270
61,17,23,21,20,79,5,174,10,10,63,879
20,6,14,7,6,21,1,51,10,14,34,232
35,14,25,21,9,72,1,110,19,14,42,597
25,15,6,17,8,64,3,54,4,4,14,341
879,199,1116,288,209,7144,6,3734,1082,448,2819,41923
38,8,4,11,7,56,1,73,3,2,22,282
138,36,165,43,31,327,2,388,108,117,123,2506
128,35,46,41,28,181,9,314,23,13,120,1715
34,7,9,13,13,53,1,107,7,11,23,421
57,17,36,19,12,70,2,106,28,24,47,533
261,80,281,85,66,468,10,895,178,187,284,3809
39,10,5,8,12,54,0,87,5,5,14,277
53,14,41,19,16,86,0,182,19,13,59,708
24,7,10,8,6,23,1,48,8,8,26,197
77,17,74,17,32,125,1,286,60,94,109,1300
227,65,280,65,78,479,4,676,155,145,354,3733
23,6,13,9,4,45,1,40,16,11,22,239
45,11,5,16,10,62,3,114,3,2,20,342
194,46,238,53,45,538,2,1073,193,205,276,4385
180,43,3,50,58,228,20,376,4,4,46,1100
251,84,285,85,73,485,9,934,173,186,279,3841
356,119,18,107,106,582,48,896,13,11,119,2411
130,36,3,44,27,263,18,307,3,2,40,1056
31,6,6,10,11,55,1,86,6,5,16,270
310,97,218,120,75,680,11,453,187,154,239,4068
41,10,62,15,8,76,0,136,37,34,64,961
41,7,6,11,9,53,1,77,5,8,13,255
106,14,0,11,35,9,0,80,0,0,3,96
28,7,15,7,9,40,1,119,9,17,32,626
147,43,234,53,30,511,2,688,194,176,278,4216
56,15,103,16,18,128,1,414,62,75,127,1548
80,29,3,32,15,178,13,256,1,0,35,840
61,15,60,18,20,101,1,207,48,37,106,1180
294,87,313,93,91,495,9,1011,177,218,310,4006
60,17,4,21,20,95,5,146,2,4,22,426
64,20,2,23,14,123,7,163,2,0,30,559
300,77,284,78,94,510,11,918,181,203,284,3774
402,114,276,148,77,1064,17,1712,189,126,601,8977
353,91,250,94,118,579,11,943,184,187,231,3816
24,7,15,7,11,42,1,93,10,16,31,664
71,18,93,26,14,129,1,267,69,60,106,1426
55,22,31,31,13,132,6,110,17,10,86,1231
55,20,112,30,13,163,1,201,90,65,127,1643
39,9,38,10,9,58,0,77,30,24,54,635
48,12,78,16,16,96,1,321,52,68,97,1237
121,30,154,33,25,239,3,438,79,65,146,2037
38,8,5,10,10,58,1,79,3,2,23,285
26,7,5,11,6,54,1,36,5,4,13,260
403,108,338,110,110,930,11,1631,251,275,386,5771
91,33,3,40,30,237,16,136,2,1,35,982
94,25,153,30,27,333,1,823,104,113,223,3341
276,82,282,86,70,478,10,942,176,221,278,3841
68,17,110,17,16,127,0,386,61,65,139,1587
429,114,325,117,120,861,9,1291,248,273,410,5585
1,0,0,0,0,0,0,0,0,0,0,0
44,11,18,13,11,54,2,119,8,4,43,637
105,36,181,41,26,336,2,460,127,86,152,2680
178,54,228,49,58,463,3,597,140,112,416,3487
117,30,132,35,19,258,2,411,96,83,129,2035
39,10,5,15,12,58,2,94,3,6,24,345
150,35,134,35,38,316,1,605,94,107,249,2190
51,14,50,19,18,85,1,166,37,44,90,967
66,16,124,17,16,177,1,768,62,123,165,2460
87,20,184,22,26,268,1,982,91,87,238,3717
156,48,239,49,39,559,2,705,196,135,279,4522
44,10,16,21,11,61,0,84,7,10,38,596
117,50,150,61,35,252,5,388,106,106,193,2123
72,24,59,28,16,125,4,193,49,36,84,973
45,13,49,20,14,107,1,202,26,28,84,806
1460,562,41,478,521,1184,66,1203,27,44,316,5256
205,63,212,63,64,364,7,743,142,125,263,3100
106,34,118,36,28,227,1,266,80,50,185,2036
68,18,24,26,21,94,5,219,12,8,70,983
324,108,333,115,82,871,10,1022,249,216,403,5600
866,347,50,303,262,1016,86,1180,38,33,286,4112
50,9,47,12,10,73,1,191,34,37,69,857
177,37,188,47,39,471,2,801,161,146,229,3516
342,91,242,107,88,744,12,929,201,197,274,4270
100,24,69,28,25,196,2,390,64,60,167,1575
37,8,4,12,11,55,1,61,2,1,19,271
31,7,38,8,10,85,1,304,20,26,65,1309
122,27,143,34,36,308,2,879,97,124,190,2940
451,170,550,209,123,2466,21,2060,401,187,1076,16909
47,12,4,11,12,57,2,106,3,4,22,333
76,18,76,17,18,130,1,318,62,62,114,1355
137,33,125,31,43,258,1,573,95,109,153,2075
