bx_hospitalized_count_7day_avg,incomplete,case_count,probable_case_count,si_case_count_7day_avg,mn_probable_case_count,qn_death_count_7day_avg,bk_death_count,bx_hospitalized_count,bk_case_count_7day_avg,hosp_count_7day_avg,si_probable_case_count_7day_avg
23,0,4704,988,279,238,3,4,19,1059,116,55
31,0,2049,538,122,102,4,3,32,531,126,34
18,0,3608,742,191,185,2,3,18,855,98,36
12,0,1612,424,121,83,2,5,12,422,77,28
5,0,1337,260,72,97,1,1,5,388,32,13
11,0,378,8,15,0,6,5,9,98,50,0
9,0,621,225,58,44,1,2,11,190,51,25
36,0,2240,646,193,110,14,11,36,712,197,47
9,0,1037,276,64,65,2,5,5,300,40,15
50,0,2093,818,220,138,15,12,34,874,274,68
12,0,559,92,48,30,9,9,11,210,57,5
354,0,5670,179,301,22,152,209,381,1417,1677,3
89,0,3777,984,227,183,24,20,83,1082,383,63
56,0,1340,785,403,122,10,19,59,1100,298,83
21,0,1802,427,99,75,2,4,15,408,100,22
30,0,3150,729,184,143,4,6,52,889,133,37
195,0,2172,123,241,15,193,152,133,873,873,6
9,0,695,218,49,44,1,3,9,190,55,19
9,0,1135,306,60,79,2,1,13,292,43,14
34,0,1049,476,167,63,11,18,30,621,193,45
24,0,1577,450,159,85,1,1,12,730,112,35
54,0,2218,819,265,157,16,19,54,968,295,70
5,0,457,192,39,55,1,1,6,120,26,8
26,0,1430,334,147,63,4,5,31,454,109,27
8,0,827,292,99,57,3,3,8,373,48,21
83,0,2894,948,259,189,26,27,63,1281,367,64
5,0,323,28,23,8,1,2,2,92,26,1
79,0,4942,1246,332,170,23,23,87,1296,389,79
8,0,263,28,14,3,2,1,10,75,30,1
72,0,1058,35,96,5,87,59,50,527,296,3
43,0,1723,599,219,84,15,15,34,787,221,58
53,0,3394,1087,214,179,16,17,62,896,274,64
6,0,289,66,18,4,2,8,5,53,31,5
47,0,3681,944,288,159,9,12,41,873,244,68
76,0,4845,1081,393,145,25,11,72,1412,384,85
53,0,3799,1216,251,212,16,24,52,958,288,68
8,0,601,173,46,34,1,0,9,189,55,15
11,0,356,13,13,5,7,7,11,98,49,0
8,0,708,230,54,58,2,2,7,185,43,12
6,0,441,35,19,6,2,1,10,144,29,1
83,0,5144,1083,199,204,26,20,95,1001,357,49
8,0,461,69,31,22,4,4,8,157,39,5
23,0,1692,437,128,90,3,7,19,512,118,34
80,0,977,547,213,98,26,22,83,1078,351,54
73,0,5184,1217,415,197,23,23,94,1431,369,84
26,0,719,208,129,50,3,6,23,491,117,31
32,0,1914,531,119,81,4,3,38,521,125,34
16,0,642,1,10,1,0,1,22,70,90,0
17,0,686,12,33,2,14,10,17,196,73,0
21,0,1036,14,40,1,23,23,25,272,94,0
21,0,1958,470,155,77,3,5,23,452,120,35
37,0,2364,719,195,107,15,13,30,733,201,50
13,0,383,58,53,16,8,8,11,239,62,5
23,0,3297,606,160,131,2,0,27,724,115,34
11,0,1139,393,87,75,2,4,14,260,65,35
280,0,49279,5428,2596,887,17,37,320,11544,1024,233
21,0,1739,439,127,84,4,4,15,501,99,25
6,0,95,40,18,7,1,4,4,44,23,5
6,0,705,79,34,9,1,3,7,227,41,3
11,0,1024,293,87,44,4,2,11,382,57,19
9,0,160,25,11,4,1,1,7,72,32,1
12,0,687,224,81,40,4,5,11,417,63,21
6,0,625,110,27,41,3,4,8,172,28,5
21,0,2964,256,243,67,3,2,20,1005,118,50
7,0,1886,294,91,100,1,1,10,516,39,13
12,0,610,241,81,43,3,3,14,439,65,22
45,0,3002,936,226,182,16,15,56,824,252,59
29,0,2282,599,112,103,5,7,30,639,133,37
9,0,175,27,24,5,4,4,7,97,41,1
21,0,1153,305,107,60,4,4,21,445,118,39
12,0,363,20,14,1,10,14,14,100,59,1
19,0,578,216,89,36,10,12,13,354,113,22
37,0,3060,904,311,158,7,9,39,775,196,80
24,0,894,8,35,2,27,20,21,275,114,0
18,0,2922,601,174,135,3,5,21,803,97,34
20,0,1651,408,116,78,4,3,21,509,100,31
5,0,217,23,20,4,1,0,2,79,24,1
126,0,2535,66,167,9,141,113,99,766,541,5
12,0,849,324,104,54,1,4,8,366,68,26
48,0,5392,1192,338,158,11,13,66,1029,285,77
6,0,107,42,18,9,1,3,4,44,24,5
38,0,2362,657,223,105,4,1,38,1080,180,60
7,0,1272,336,78,58,2,1,7,348,45,21
30,0,2795,769,245,211,4,7,27,872,144,43
27,0,2245,589,106,102,4,3,33,494,131,34
37,0,2033,676,209,111,5,7,32,959,174,66
8,0,898,239,74,45,4,5,5,276,46,12
283,0,40283,4470,2444,752,21,23,288,11100,1050,222
13,0,2180,625,149,104,3,8,15,444,76,32
90,0,4762,470,379,107,29,37,84,1876,371,41
48,0,2888,919,319,125,12,16,34,987,281,77
11,0,2326,617,130,132,3,5,13,397,69,31
19,0,1892,445,143,75,2,3,29,481,101,30
66,0,3473,1055,184,169,20,22,69,873,300,48
50,0,3110,279,200,61,24,37,57,953,229,14
31,0,1264,406,131,59,5,5,30,565,128,31
24,0,3306,721,252,160,3,3,23,1027,123,56
19,0,4285,862,195,186,2,3,21,867,102,38
79,0,5140,1338,346,211,25,31,73,1344,399,82
35,0,4358,954,203,194,2,3,44,874,146,47
21,0,1655,436,97,80,4,5,23,436,107,29
18,0,941,110,65,34,10,5,14,307,83,8
19,0,3533,743,257,187,2,1,23,1043,96,48
23,0,1548,412,126,90,5,6,26,414,96,25
9,0,872,299,87,54,3,6,10,348,58,20
61,0,3108,1014,214,177,21,15,55,923,293,54
133,0,10923,1192,753,214,32,37,122,3833,599,84
13,0,425,72,53,23,8,10,11,244,65,6
75,0,5264,1129,411,181,25,24,78,1420,379,84
5,0,456,37,20,3,2,0,7,139,27,1
32,0,1606,487,161,71,10,15,26,555,182,43
5,0,171,45,19,10,2,2,3,44,25,7
16,0,3572,717,187,172,1,1,23,915,79,36
33,0,1295,426,153,63,4,6,18,649,141,43
30,0,1627,389,106,69,5,8,34,603,138,31
11,0,2668,502,151,106,2,1,10,685,70,28
33,0,2945,907,318,159,5,4,47,739,176,81
295,0,3560,66,318,11,70,110,320,1169,1413,1
9,0,411,22,21,2,4,1,13,99,39,1
14,0,782,236,67,25,8,10,10,265,85,18
12,0,1583,457,113,104,2,0,18,403,75,28
5,0,353,31,22,4,1,0,6,88,25,2
3,0,212,53,27,7,1,2,1,47,21,6
16,0,1774,472,180,115,2,1,8,842,97,39
9,0,404,30,24,6,4,3,12,92,39,1
33,0,3815,917,221,182,2,3,32,963,154,50
27,0,2171,609,107,99,5,3,23,589,138,45
14,0,1080,361,80,75,3,2,15,437,70,23
1,0,21,0,0,0,0,0,5,2,8,0
9,0,635,280,68,68,1,0,8,266,49,22
5,0,393,23,21,5,1,1,8,84,25,1
6,0,229,20,20,4,1,1,10,80,26,1
50,0,4339,1044,297,146,11,8,63,917,253,67
28,0,2111,536,128,105,5,2,27,579,129,33
8,0,656,84,29,33,4,2,3,158,33,5
6,0,207,24,20,6,1,1,4,85,28,1
7,0,588,111,33,23,1,3,9,183,48,7
9,0,361,68,36,23,6,4,5,167,40,5
21,0,1835,460,131,66,4,1,28,431,106,39
69,0,3434,1024,190,158,25,24,64,871,308,54
190,0,16100,1921,1220,311,34,48,158,5780,786,130
284,0,16206,2065,2273,345,29,43,202,10585,1019,201
32,0,2213,665,195,143,3,7,29,895,136,41
60,0,3464,1021,432,159,11,12,53,1134,315,85
10,0,186,61,30,8,3,3,4,116,54,9
24,0,1002,9,34,0,26,21,26,264,114,0
37,0,2315,632,167,95,5,5,34,684,149,44
59,0,3204,1086,222,172,18,19,57,881,272,60
7,0,1184,383,94,73,2,2,4,367,48,22
5,0,1311,204,31,60,1,2,6,259,27,9
7,0,189,12,16,2,2,4,5,76,33,1
36,0,3747,828,224,133,4,3,44,1098,178,60
89,0,4778,1156,279,187,24,17,106,1337,382,71
33,0,5234,1069,193,221,3,7,51,845,140,42
36,0,3216,862,217,150,5,6,23,976,179,63
8,0,277,22,15,3,1,2,6,77,32,1
47,0,2049,584,231,96,17,19,46,837,262,60
4,0,754,108,28,35,3,1,4,229,26,5
37,0,2451,4,44,0,1,7,60,344,207,0
86,0,5003,1198,290,206,23,31,87,1333,386,75
49,0,5206,1004,369,126,11,16,63,1052,290,77
