s_dv_cat,k_isolate,s_puboff_no,s_fam,word_count
999.0,0,999,0,122
999.0,0,2,0,316
999.0,0,999,0,156
1.0,0,2,0,1446
999.0,0,999,0,754
999.0,0,999,0,720
999.0,0,999,0,362
999.0,0,2,1,681
999.0,0,999,0,331
999.0,0,999,0,339
999.0,0,999,1,445
999.0,0,999,0,121
999.0,0,999,0,619
999.0,0,999,1,545
999.0,0,999,0,113
999.0,0,1,0,634
999.0,0,999,0,305
999.0,0,999,0,82
999.0,0,999,0,177
999.0,0,999,0,575
999.0,0,1,0,151
999.0,0,999,1,555
999.0,0,999,0,173
999.0,0,1,0,230
999.0,0,999,1,589
999.0,0,999,0,363
999.0,0,999,0,669
999.0,0,999,0,61
999.0,0,999,1,163
999.0,0,999,0,106
999.0,0,999,0,291
999.0,0,999,0,128
999.0,0,999,0,68
999.0,0,999,1,235
999.0,0,1,1,725
999.0,0,1,0,140
999.0,0,999,0,305
999.0,0,999,0,291
999.0,0,999,0,175
999.0,0,999,0,264
999.0,0,999,0,143
999.0,0,999,0,403
999.0,0,999,0,85
999.0,0,999,0,126
999.0,0,999,0,200
999.0,0,999,0,191
999.0,0,999,0,365
999.0,0,999,0,121
999.0,0,999,0,121
999.0,0,999,1,350
999.0,0,999,1,384
999.0,0,999,0,392
5.0,0,999,0,622
999.0,0,999,0,138
999.0,0,999,0,59
999.0,0,1,0,598
999.0,0,999,0,173
999.0,0,999,0,128
5.0,0,1,0,491
999.0,0,999,0,47
999.0,0,999,0,95
999.0,0,999,0,208
999.0,0,999,0,130
999.0,0,999,0,139
999.0,0,1,0,391
999.0,0,999,0,151
999.0,0,999,0,618
999.0,0,999,0,147
999.0,0,1,0,588
999.0,0,999,0,264
999.0,0,999,0,141
999.0,0,1,0,150
999.0,0,1,0,156
999.0,0,1,0,103
999.0,0,999,1,248
999.0,0,999,0,591
999.0,0,999,1,354
999.0,0,999,0,168
999.0,0,999,0,110
999.0,0,1,0,384
999.0,0,999,0,424
999.0,0,999,1,177
