s_puboff_cat,id,s_dv_no,s_add,s_add_no,c_policeframe,pub_date
999.0,201656,999,0,999,1,2016-12-04T00:00:00.000
1.9,201601,999,0,999,0,2016-01-13T00:00:00.000
999.0,201545,999,1,1,0,2015-12-08T00:00:00.000
1.0,201403,1,1,1,0,2014-05-12T00:00:00.000
999.0,201453,999,0,999,1,2014-11-11T00:00:00.000
999.0,201539,999,0,999,1,2015-12-11T00:00:00.000
999.0,201418,999,1,2,0,2014-04-27T00:00:00.000
2.3,201310,999,1,2,0,2014-06-28T00:00:00.000
999.0,201338,999,0,999,0,2013-08-29T00:00:00.000
999.0,201637,999,1,1,0,2016-08-06T00:00:00.000
999.0,201612,999,0,999,0,2016-03-12T00:00:00.000
999.0,201437,999,0,999,1,2014-09-09T00:00:00.000
999.0,201434,999,0,999,1,2014-08-11T00:00:00.000
999.0,201658,999,0,999,0,2016-12-27T00:00:00.000
999.0,201356,999,0,999,1,2013-12-21T00:00:00.000
1.0,201361,999,0,999,1,2013-12-24T00:00:00.000
999.0,201530,999,1,2,0,2015-08-21T00:00:00.000
999.0,201311,999,0,999,1,2015-03-07T00:00:00.000
999.0,201335,999,0,999,1,2013-08-05T00:00:00.000
999.0,201403,999,1,1,0,2014-01-25T00:00:00.000
2.0,201637,999,0,999,0,2016-08-25T00:00:00.000
999.0,201463,999,0,999,0,2014-12-19T00:00:00.000
999.0,201318,999,0,999,0,2013-04-17T00:00:00.000
7.0,201333,999,1,3,0,2016-01-27T00:00:00.000
999.0,201337,999,1,1,0,2013-08-18T00:00:00.000
999.0,201338,999,1,1,0,2013-08-29T00:00:00.000
999.0,201546,999,0,999,1,2015-12-10T00:00:00.000
2.0,201658,999,1,1,0,2016-12-29T00:00:00.000
999.0,201419,999,0,999,1,2014-05-03T00:00:00.000
2.0,201403,999,0,999,0,2014-01-25T00:00:00.000
2.0,201418,999,0,999,0,2014-04-21T00:00:00.000
999.0,201619,999,0,999,0,2016-05-22T00:00:00.000
999.0,201506,999,0,999,0,2015-01-24T00:00:00.000
2.0,201637,999,0,999,0,2016-08-24T00:00:00.000
999.0,201419,999,0,999,0,2014-05-08T00:00:00.000
1.0,201406,999,1,2,0,2014-01-30T00:00:00.000
999.0,201601,999,0,999,1,2016-01-14T00:00:00.000
999.0,201316,999,1,1,0,2013-04-15T00:00:00.000
2.0,201609,2,0,999,0,2016-04-16T00:00:00.000
2.0,201606,999,0,999,0,2016-02-15T00:00:00.000
1.0,201406,999,1,2,0,2014-01-30T00:00:00.000
2.0,201606,2,0,999,0,2016-04-16T00:00:00.000
999.0,201649,999,0,999,1,2016-10-06T00:00:00.000
1.0,201334,999,1,2,0,2013-07-22T00:00:00.000
999.0,201606,1,0,999,0,2016-02-13T00:00:00.000
999.0,201606,999,0,999,1,2016-02-15T00:00:00.000
999.0,201658,999,0,999,0,2016-12-27T00:00:00.000
2.0,201530,999,1,1,0,2015-08-20T00:00:00.000
999.0,201633,999,0,999,0,2016-09-07T00:00:00.000
999.0,201623,999,0,999,1,2016-05-29T00:00:00.000
1.11,201611,1,1,1,0,2016-04-10T00:00:00.000
2.0,201463,999,0,999,1,2015-11-03T00:00:00.000
999.0,201544,999,0,999,1,2015-12-07T00:00:00.000
2.0,201612,999,1,1,0,2016-06-11T00:00:00.000
1.0,201336,999,1,1,0,2013-08-05T00:00:00.000
999.0,201418,999,0,2,0,2014-04-27T00:00:00.000
999.0,201606,999,1,1,0,2016-02-19T00:00:00.000
999.0,201658,999,1,1,0,2016-12-28T00:00:00.000
3.7,201346,999,1,1,0,2015-10-05T00:00:00.000
999.0,201314,999,1,1,0,2013-09-28T00:00:00.000
2.0,201530,999,1,1,0,2015-08-20T00:00:00.000
999.0,201624,999,0,999,1,2016-09-14T00:00:00.000
999.0,201311,999,1,1,0,2015-04-02T00:00:00.000
999.0,201641,999,1,1,0,2016-09-15T00:00:00.000
999.0,201310,999,0,999,0,2013-03-04T00:00:00.000
999.0,201437,999,0,999,1,2014-09-09T00:00:00.000
2.0,201606,999,1,1,0,2016-02-17T00:00:00.000
999.0,201432,999,0,999,1,2014-07-24T00:00:00.000
9.0,201601,999,0,999,0,2016-01-03T00:00:00.000
999.0,201444,999,1,1,1,2014-10-09T00:00:00.000
999.0,201657,999,1,1,0,2016-12-06T00:00:00.000
999.0,201324,999,0,999,1,2013-05-17T00:00:00.000
999.0,201658,999,0,999,0,2016-12-28T00:00:00.000
999.0,201601,999,0,999,1,2016-01-04T00:00:00.000
999.0,201629,999,0,999,1,2016-06-21T00:00:00.000
999.0,201621,999,0,999,1,2016-05-22T00:00:00.000
12.0,201658,999,1,1,0,2016-12-28T00:00:00.000
999.0,201307,999,0,999,0,2013-02-18T00:00:00.000
999.0,201322,999,0,999,0,2013-05-05T00:00:00.000
999.0,201633,999,1,2,0,2016-08-24T00:00:00.000
999.0,201621,999,1,1,0,2016-05-23T00:00:00.000
999.0,201403,999,0,999,0,2014-01-21T00:00:00.000
