method,s_puboff,c_dv_hom,news,s_fam_no,v_age,c_dv,c_highrisk,c_dvresource_cat
1,0,0,3,999,68,0,1,999.0
2,1,0,7,999,19,0,0,999.0
1,0,1,1,999,32,1,1,999.0
1,1,0,6,999,21,1,1,999.0
1,0,0,2,999,68,0,0,999.0
4,0,0,2,999,28,0,0,999.0
3,0,0,1,999,40,0,1,999.0
3,1,0,5,1,39,1,1,999.0
1,0,0,3,999,20,0,1,999.0
2,0,0,1,999,61,0,0,999.0
4,0,0,5,2,23,0,1,999.0
3,0,0,1,999,46,0,1,999.0
1,0,0,4,999,24,0,0,999.0
4,0,0,2,2,34,0,0,999.0
2,0,0,1,999,38,0,0,999.0
1,1,0,2,999,47,0,1,999.0
1,0,0,2,999,33,0,1,999.0
1,0,0,1,999,19,0,1,999.0
4,0,0,3,999,32,0,0,999.0
1,0,0,6,999,21,1,1,999.0
2,1,0,1,999,61,0,0,999.0
1,0,0,1,2,36,0,1,999.0
1,0,0,1,999,52,0,0,999.0
1,0,0,6,999,46,1,1,999.0
1,0,0,6,999,68,0,0,999.0
4,0,0,7,999,25,0,0,999.0
2,1,0,3,999,56,0,0,999.0
2,0,0,4,999,19,0,0,999.0
1,0,0,7,999,26,0,0,999.0
3,1,0,1,4,55,0,1,999.0
4,1,0,2,3,15,0,0,999.0
3,0,0,7,999,43,0,1,999.0
3,0,0,1,2,32,0,1,999.0
1,0,0,5,999,44,1,1,999.0
3,0,0,6,999,40,0,0,999.0
3,0,0,1,1,36,0,1,999.0
2,0,0,6,999,56,0,0,999.0
3,0,0,3,999,40,0,1,999.0
3,1,0,1,3,31,1,1,999.0
4,0,0,3,999,34,0,0,999.0
1,0,0,8,999,26,0,0,999.0
2,1,0,2,999,19,0,0,999.0
2,0,0,7,999,61,0,0,999.0
1,0,0,1,999,46,0,0,999.0
4,0,0,4,999,29,0,0,999.0
3,0,0,5,999,39,0,1,999.0
1,0,0,1,999,31,0,1,999.0
1,0,0,6,999,21,0,0,999.0
1,0,0,3,999,31,0,1,999.0
2,0,0,4,999,19,0,0,999.0
1,0,0,2,999,48,0,0,999.0
1,0,0,1,999,49,0,0,999.0
1,0,0,2,999,46,0,0,999.0
1,0,0,3,999,36,0,0,999.0
2,0,0,3,999,33,0,0,999.0
1,0,0,1,999,22,0,0,999.0
1,1,0,6,1,19,0,1,999.0
1,0,0,1,999,51,0,0,999.0
3,0,0,4,999,40,0,1,999.0
1,1,0,5,999,26,0,0,999.0
3,0,0,3,999,39,0,0,999.0
3,0,0,2,999,15,0,1,999.0
1,0,0,5,999,26,0,1,999.0
2,0,0,3,999,19,0,0,999.0
1,0,0,3,999,31,0,1,999.0
1,0,0,1,3,36,0,1,999.0
1,0,0,3,999,43,0,0,999.0
1,0,0,1,2,49,0,0,999.0
3,0,0,5,999,68,0,1,999.0
3,0,0,1,999,43,0,1,999.0
1,0,0,1,1,21,0,0,999.0
4,1,0,5,999,23,0,0,999.0
1,1,0,3,999,26,0,1,999.0
3,1,0,2,2,31,1,1,999.0
3,0,0,2,999,32,0,0,999.0
2,1,0,3,999,19,0,0,999.0
1,0,1,5,999,44,1,0,999.0
2,0,0,3,999,26,0,1,999.0
4,0,0,3,999,15,0,1,999.0
1,0,0,2,999,45,0,0,999.0
3,0,0,7,999,55,0,1,999.0
2,0,0,1,999,26,0,1,999.0
