school_name,ell_arabic_2,math_l3_l4_1,year,math_level_2_1,ell_korean_1,math_level_1_2,math_level_3_1,grade_4,female_1,ell_other_1,math_level_4_1,other_2,white_2,ell_french_2,other_1,math_level_3_2,white_1,ell_russian_2,female_2,math_level_2_2,ell_russian_1,asian_2,hispanic_2,ela_test_takers,black_2,ela_level_3_1
P.S. 163 Alfred E. Smith,No Data,s,2016-17,s,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,s,s,s
P.S. 209 Clearview Gardens,No Data,s,2016-17,s,No Data,s,s,No Data,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,s,s,s
P.S. 046 Edgar Allan Poe,No Data,s,2016-17,11,No Data,35.0%,s,8,20,No Data,s,s,s,No Data,s,s,s,No Data,55.6%,55.0%,No Data,s,100.0%,19,s,s
P.S. 229 Emanuel Kaplan,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
Dr. Jacqueline Peek-Davis School,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 81Q Jean Paul Richter,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 250 George H. Lindsay,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
Soundview Academy for Culture and Scholarship,No Data,s,2016-17,s,No Data,s,s,No Data,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,100.0%,8,s,s
I.S. 061 Leonardo Da Vinci,No Data,s,2016-17,8,No Data,64.3%,s,No Data,14,No Data,s,s,s,No Data,s,s,s,No Data,48.3%,28.6%,No Data,s,100.0%,29,s,s
I.S. 228 David A. Boody,No Data,s,2016-17,s,No Data,s,s,No Data,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,s,s,s
P.S. 153 Adam Clayton Powell,s,s,2016-17,11,s,67.5%,s,16,60,s,s,s,s,s,s,s,s,s,55.6%,27.5%,s,s,99.1%,38,s,s
P.S. 018 John Peter Zenger,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,100.0%,No Data,s,No Data
P.S. 179 Kensington,No Data,s,2016-17,7,No Data,46.7%,s,15,8,No Data,s,s,s,No Data,s,s,s,No Data,53.3%,46.7%,No Data,s,93.3%,15,s,s
