beds,council_district,community_district_1,tier_3_support_location_name,highschool_network,borough_block_lot,administrative_district_code,open_date
307900013612,2,105,,,1008580049,79,2001-07-01T00:00:00.000
333200860906,37,304,,,3032980001,84,2006-07-01T00:00:00.000
331500010447,33,302,NYCDOE Borough Office - Brooklyn North,,3001920013,15,2003-07-01T00:00:00.000
332100860949,47,313,,,3072500025,84,2009-07-01T00:00:00.000
310300011415,9,110,NYCDOE Citywide Office - Affinity Schools,"CINTRON, RICHARD",1018300019,3,1996-06-05T00:00:00.000
331700010399,40,317,NYCDOE Borough Office - Brooklyn South,,3051110001,17,1981-07-01T00:00:00.000
331300011595,36,303,NYCDOE Borough Office - Brooklyn North,"ROSS, JANICE",3018120001,13,2003-07-01T00:00:00.000
331600011498,41,303,NYCDOE Borough Office - Brooklyn North,"ROSS, JANICE",3014820001,16,1999-06-25T00:00:00.000
310100010370,2,103,,,1004390017,1,1997-08-20T00:00:00.000
310100010134,1,103,NYCDOE Borough Office - Manhattan,,1002880001,1,1960-07-01T00:00:00.000
310400861081,8,111,,,1016100001,84,2016-07-01T00:00:00.000
310100010188,2,103,NYCDOE Borough Office - Manhattan,,1003560100,1,1904-07-01T00:00:00.000
310200010412,3,104,NYCDOE Borough Office - Manhattan,"ORLEN, VIVIAN",1007410010,2,1999-07-01T00:00:00.000
310600010132,10,112,NYCDOE Borough Office - Manhattan,,1021650026,6,1905-07-01T00:00:00.000
331300861079,33,302,,,3001470044,84,2015-07-01T00:00:00.000
331700010705,35,308,NYCDOE Borough Office - Brooklyn South,,3011480050,17,2012-07-01T00:00:00.000
331500010131,39,312,NYCDOE Borough Office - Brooklyn North,,3056030001,15,1901-07-01T00:00:00.000
310500861001,9,110,,,1019320010,84,2012-07-01T00:00:00.000
331900011659,37,305,NYCDOE Borough Office - Brooklyn North,"ROSS, JANICE",3040940001,19,2008-07-01T00:00:00.000
331900860891,42,305,,,3043490050,84,2005-07-01T00:00:00.000
310200010217,5,108,NYCDOE Borough Office - Manhattan,,1013730001,2,1999-07-01T00:00:00.000
331900011618,37,305,NYCDOE Citywide Office - Affinity Schools,"CINTRON, RICHARD",3040940001,19,2008-07-01T00:00:00.000
310400010101,8,111,,,1016390003,4,1910-07-01T00:00:00.000
310400010037,8,111,NYCDOE Borough Office - Manhattan,,1017970100,4,1999-07-01T00:00:00.000
