source_relation,campaign_applicable_budget_rule_id,campaign_applicable_budget_rule_name,campaign_bidding_strategy,campaign_budget_amount,campaign_budget_currency_code,campaign_budget_type,campaign_id,campaign_rule_based_budget_amount,clicks,cost,date_day,impressions,purchases_30_d,sales_30_d,sales_7_d,purchases_alias,purchases_14_d
"",,,optimizeForSales,2000,USD,DAILY_BUDGET,2187,,5,8.5,2022-07-26,2500,44,545,12,44,0
"",,,optimizeForSales,2000,USD,DAILY_BUDGET,2187,,3,5.25,2022-07-21,1800,34,345,2,34,0
"",,,optimizeForSales,2000,USD,DAILY_BUDGET,2187,,2,3.4,2022-08-29,1200,18,250,5,18,0
"",,,optimizeForSales,2000,USD,DAILY_BUDGET,2187,,4,6.8,2022-08-31,2100,22,380,7,22,0
"",,,optimizeForSales,2000,USD,DAILY_BUDGET,2187,,6,10.2,2022-07-27,2800,35,350,3,35,0
"",,,optimizeForSales,2000,USD,DAILY_BUDGET,2187,,3,5.1,2022-08-28,1650,25,420,8,25,0
"",,,optimizeForSales,2000,USD,DAILY_BUDGET,2187,,7,11.9,2022-09-06,3200,24,335,4,24,0
"",,,optimizeForSales,2000,USD,DAILY_BUDGET,2187,,2,1.67,2022-07-11,1095,64,634,10,64,0
"",,,optimizeForSales,2000,USD,DAILY_BUDGET,2187,,4,6.8,2022-07-15,2200,28,455,6,28,0
"",,,optimizeForSales,2000,USD,DAILY_BUDGET,2187,,5,8.5,2022-07-18,2400,31,520,9,31,0
"",,,legacyForSales,250,USD,DAILY_BUDGET,5555,,8,12.5,2022-11-20,3500,45,780,15,45,0
"",,,legacyForSales,250,USD,DAILY_BUDGET,5555,,12,18.6,2022-11-25,4200,55,950,20,55,0
"",,,legacyForSales,250,USD,DAILY_BUDGET,5555,,10,15.4,2022-12-01,3800,50,870,18,50,0
"",,,legacyForSales,250,USD,DAILY_BUDGET,5555,,15,23.25,2022-12-05,5000,60,1100,25,60,0
"",,,legacyForSales,250,USD,DAILY_BUDGET,5555,,11,17.05,2022-12-10,4000,58,1020,22,58,0
"",,,optimizeForSales,1500,USD,DAILY_BUDGET,2188,,9,14.4,2022-07-20,3600,42,720,14,42,0
"",,,optimizeForSales,1800,USD,DAILY_BUDGET,2188,,13,20.8,2022-07-25,4500,48,890,19,48,0
"",,,optimizeForSales,1800,USD,DAILY_BUDGET,2188,,11,17.6,2022-08-01,3900,45,810,16,45,0
"",,,optimizeForSales,1200,USD,DAILY_BUDGET,2189,,7,11.2,2022-07-25,3100,38,650,12,38,0
"",,,optimizeForSales,1200,USD,DAILY_BUDGET,2189,,10,16,2022-08-02,3700,43,740,17,43,0
"",,,legacyForSales,2500,USD,DAILY_BUDGET,2190,,16,25.6,2022-08-05,5500,65,1250,28,65,0
"",,,legacyForSales,2500,USD,DAILY_BUDGET,2190,,14,22.4,2022-08-10,5000,62,1180,24,62,0
"",,,optimizeForSales,3000,USD,DAILY_BUDGET,2191,,18,28.8,2022-08-10,6000,70,1400,30,70,0
"",,,optimizeForSales,3000,USD,DAILY_BUDGET,2191,,20,32,2022-08-15,6500,75,1520,35,75,0
"",,,optimizeForSales,1800,USD,DAILY_BUDGET,2192,,12,19.2,2022-08-15,4300,52,960,21,52,0
"",,,optimizeForSales,1800,USD,DAILY_BUDGET,2192,,13,20.8,2022-08-20,4600,54,1010,23,54,0
"",,,legacyForSales,2200,USD,DAILY_BUDGET,2193,,15,24,2022-08-17,5200,63,1180,26,63,0
"",,,legacyForSales,2200,USD,DAILY_BUDGET,2193,,17,27.2,2022-08-22,5700,67,1300,29,67,0
"",,,optimizeForSales,1600,USD,DAILY_BUDGET,2194,,11,17.6,2022-08-20,4000,49,890,19,49,0
"",,,optimizeForSales,1600,USD,DAILY_BUDGET,2194,,14,22.4,2022-08-25,4500,53,980,22,53,0
"",,,legacyForSales,1900,USD,DAILY_BUDGET,2195,,10,16,2022-08-23,3800,47,820,17,47,0
"",,,legacyForSales,1900,USD,DAILY_BUDGET,2195,,12,19.2,2022-08-28,4200,51,920,20,51,0
"",,,optimizeForSales,2100,USD,DAILY_BUDGET,2196,,16,25.6,2022-08-25,5300,64,1220,27,64,0
"",,,optimizeForSales,2100,USD,DAILY_BUDGET,2196,,18,28.8,2022-08-30,5800,68,1340,31,68,0
"",,,optimizeForSales,1700,USD,DAILY_BUDGET,2197,,9,14.4,2022-08-27,3500,44,760,15,44,0
"",,,optimizeForSales,1700,USD,DAILY_BUDGET,2197,,11,17.6,2022-09-01,3900,48,850,18,48,0
"",,,legacyForSales,2800,USD,DAILY_BUDGET,2198,,21,33.6,2022-08-30,6800,78,1560,36,78,0
"",,,legacyForSales,2800,USD,DAILY_BUDGET,2198,,19,30.4,2022-09-05,6200,73,1450,33,73,0
