source_relation,date_day,account_name,account_id,country_code,profile_id,cost,clicks,impressions,purchases_30_d,sales_30_d,sales_7_d,purchases_alias,purchases_14_d
"",2022-08-23,Vader,ENTITY31176,US,68,16,10,3800,47,820,17,47,0
"",2022-08-05,Palpatine,ENTITY31174,US,66,25.6,16,5500,65,1250,28,65,0
"",2022-08-20,Skywalker,ENTITY31175,US,67,20.8,13,4600,54,1010,23,54,0
"",2022-07-15,Palpatine,ENTITY31174,US,66,6.8,4,2200,28,455,6,28,0
"",2022-08-25,Vader,ENTITY31176,US,68,22.4,14,4500,53,980,22,53,0
"",2022-08-28,Palpatine,ENTITY31174,US,66,5.1,3,1650,25,420,8,25,0
"",2022-08-30,Kenobi,ENTITY31178,UK,70,33.6,21,6800,78,1560,36,78,0
"",2022-08-30,Yoda,ENTITY31177,US,69,28.8,18,5800,68,1340,31,68,0
"",2022-09-01,Yoda,ENTITY31177,US,69,17.6,11,3900,48,850,18,48,0
"",2022-08-29,Palpatine,ENTITY31174,US,66,3.4,2,1200,18,250,5,18,0
"",2022-08-28,Vader,ENTITY31176,US,68,19.2,12,4200,51,920,20,51,0
"",2022-07-27,Palpatine,ENTITY31174,US,66,10.2,6,2800,35,350,3,35,0
"",2022-08-02,Palpatine,ENTITY31174,US,66,16,10,3700,43,740,17,43,0
"",2022-11-20,Palpatine,ENTITY31174,US,66,12.5,8,3500,45,780,15,45,0
"",2022-07-26,Palpatine,ENTITY31174,US,66,8.5,5,2500,44,545,12,44,0
"",2022-08-27,Yoda,ENTITY31177,US,69,14.4,9,3500,44,760,15,44,0
"",2022-08-01,Palpatine,ENTITY31174,US,66,17.6,11,3900,45,810,16,45,0
"",2022-08-10,Palpatine,ENTITY31174,US,66,22.4,14,5000,62,1180,24,62,0
"",2022-07-25,Palpatine,ENTITY31174,US,66,32,20,7600,86,1540,31,86,0
"",2022-09-06,Palpatine,ENTITY31174,US,66,11.9,7,3200,24,335,4,24,0
"",2022-08-31,Palpatine,ENTITY31174,US,66,6.8,4,2100,22,380,7,22,0
"",2022-11-25,Palpatine,ENTITY31174,US,66,18.6,12,4200,55,950,20,55,0
"",2022-08-22,Skywalker,ENTITY31175,US,67,27.2,17,5700,67,1300,29,67,0
"",2022-08-20,Vader,ENTITY31176,US,68,17.6,11,4000,49,890,19,49,0
"",2022-08-10,Skywalker,ENTITY31175,US,67,28.8,18,6000,70,1400,30,70,0
"",2022-08-17,Skywalker,ENTITY31175,US,67,24,15,5200,63,1180,26,63,0
"",2022-07-11,Palpatine,ENTITY31174,US,66,1.67,2,1095,64,634,10,64,0
"",2022-09-05,Kenobi,ENTITY31178,UK,70,30.4,19,6200,73,1450,33,73,0
"",2022-07-18,Palpatine,ENTITY31174,US,66,8.5,5,2400,31,520,9,31,0
"",2022-07-20,Palpatine,ENTITY31174,US,66,14.4,9,3600,42,720,14,42,0
"",2022-08-15,Skywalker,ENTITY31175,US,67,51.2,32,10800,127,2480,56,127,0
"",2022-08-25,Yoda,ENTITY31177,US,69,25.6,16,5300,64,1220,27,64,0
"",2022-12-01,Palpatine,ENTITY31174,US,66,15.4,10,3800,50,870,18,50,0
"",2022-12-05,Palpatine,ENTITY31174,US,66,23.25,15,5000,60,1100,25,60,0
"",2022-07-21,Palpatine,ENTITY31174,US,66,5.25,3,1800,34,345,2,34,0
"",2022-12-10,Palpatine,ENTITY31174,US,66,17.05,11,4000,58,1020,22,58,0
