address,bin,dsny_section
Business has no physical store,,QE132
"155 Norway Avenue, Staten Island, NY, USA",5109514.0,SI021
"726 E 213th St, Bronx, NY 10467, USA",2057701.0,BX121
"295 Saint Ann's Avenue, The Bronx, NY, USA",2000081.0,BX012
"1513 Forest Avenue, Staten Island, NY, USA",5110056.0,SI013
"950 Allerton Avenue, The Bronx, NY, USA",2051712.0,BX112
"976 Park Place, Brooklyn, NY, USA",3031601.0,BKN082
"130 Crosby Street, New York, NY 10012, USA",1007944.0,MN021
"25 McGuinness Blvd, Brooklyn, NY, USA",3066846.0,BKN013
"175 Tompkins Avenue, Brooklyn, NY 11206, USA",3049352.0,BKN031
"150 52nd Street, Brooklyn, NY, USA",3337255.0,BKS073
"576 Blake Avenue, Brooklyn, NY, USA",3336125.0,BKN054
"609 E 182nd St, Bronx, NY 10457, USA",2012068.0,BX061
"1360 Fulton Street, Brooklyn, NY 11216, USA",3329709.0,BKN033
"17 Brook Street, Staten Island, NY 10301, USA",5000385.0,SI012
"178-36 Wexford Terrace, Jamaica, NY, USA",4534092.0,QE082
"3139 Veterans Road West, Staten Island, NY 10309, USA",5155332.0,SI036
"569 Wilson Avenue, Brooklyn, NY, USA",3079058.0,BKN043
"5 Blue Slip, Brooklyn, NY, USA",3418261.0,BKN011
"126-06 15th Avenue, College Point, NY, USA",4437977.0,QE075
"5361 Preston Ct, Brooklyn, NY, USA",3350216.0,BKS185
"181 Lexington Avenue, Brooklyn, NY, USA",3056359.0,BKN032
"3055 Westchester Avenue, Bronx, NY, USA",,BX101
"626 Pelham Parkway South, The Bronx, NY, USA",2049390.0,BX111
"2150 Hempstead Turnpike, Elmont, NY, USA",,
Business has no physical store,,QW015
"265 Nagle Avenue, New York, NY, USA",1064706.0,MN124
"2196a White Plains Rd, The Bronx, NY 10462, USA",2049397.0,BX111
"2720 Veterans Road West, Staten Island, NY 10309, USA",5170012.0,SI036
"1 Cedar Grove Avenue, Staten Island, NY, USA",,SI022
"360 Van Brunt Street, Brooklyn, NY, USA",3336621.0,BKS061
,,BKN015
"245 West 10th Street, New York, NY 10014, USA",1011183.0,MN022
"33-34 21st Street, Long Island City, NY, USA",4005788.0,QW013
"14 West 8th Street, New York, NY, USA",1008860.0,MN022
"195 Linden Street, Brooklyn, NY 11221, USA",3076116.0,BKN042
"167 North 9th Street, Brooklyn, NY, USA",3061704.0,BKN011
"74-39 Jamaica Avenue, Woodhaven, NY, USA",4180778.0,QW092
"2275 Richmond Avenue, Staten Island, NY, USA",5107371.0,SI024
"672 Driggs Avenue, Brooklyn, NY, USA",3062466.0,BKN012
"64 North 9th Street, Brooklyn, NY 11249, USA",3392437.0,BKN012
"183-14 Hillside Avenue, Jamaica, NY, USA",4212730.0,QE122
